train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
99,406,0.0002104043960571289,-99921.31944444444,-8.465473175048828,0.9922194480895996,-240.3699951171875,48.916666666666664,4,2000,0.0007,100,1035.969482421875
199,404,-1.1920928955078125e-07,-100119.73484848485,-8.470596313476562,0.9922736883163452,-280.5317077636719,58.621212121212125,9,4000,0.0007,200,1025.1212158203125
299,404,1.7881393432617188e-07,-100260.225,-8.49233627319336,0.9962835311889648,-268.33905029296875,57.15,14,6000,0.0007,300,1015.1658325195312
399,404,-2.384185791015625e-07,-100191.8,-8.501789093017578,0.9981299638748169,-43553.3515625,50.4,19,8000,0.0007,400,499714304.0
499,405,0.0,-99674.45,-8.517523765563965,1.0009430646896362,-237.01382446289062,39.11,24,10000,0.0007,500,997.6447143554688
599,404,2.1398067474365234e-05,-99677.4,-8.522334098815918,1.0014657974243164,-250.4649658203125,39.4,29,12000,0.0007,600,988.4855346679688
699,403,1.7881393432617188e-07,-99553.0825,-8.540600776672363,1.004371166229248,-260.6344299316406,46.86,34,14000,0.0007,700,979.9840087890625
799,405,-1.1920928955078125e-07,-99803.5825,-8.538520812988281,1.004462718963623,-232.4119110107422,41.74,39,16000,0.0007,800,971.099609375
899,406,-1.1920928955078125e-07,-100285.625,-8.558176040649414,1.0078599452972412,-230.1417999267578,39.72,44,18000,0.0007,900,961.8037109375
999,404,0.0,-100377.425,-8.550622940063477,1.0067092180252075,-223.5867156982422,48.9,49,20000,0.0007,1000,953.1088256835938
1099,404,-1.7881393432617188e-06,-100127.5375,-8.55491828918457,1.0075325965881348,-215.029052734375,64.95,54,22000,0.0007,1100,944.6868286132812
1199,403,1.7881393432617188e-07,-99315.95555556,-8.555818557739258,1.0072898864746094,-242.60595703125,76.03,59,24000,0.0007,1200,937.0997924804688
