rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/kl_divergence_loss,train/std,train/is_line_search_success,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/policy_objective
-313620.16484131,66.37,13,8192,623,1,,,,,,,,
-281219.68055092,63.74,19,10000,514,,0.00564922671765089,0.9907094240188599,1.0,-2.384185791015625e-07,4704198952.0,1,0.001,0.055771373212337494
-249907.87793296002,62.59,29,16384,557,2,,,,,,,,
-206308.12230119004,51.79,38,20000,514,,0.006264328490942717,0.9927518963813782,1.0,0.0,3708571250.8,2,0.001,0.05511412024497986
-183105.60301696003,45.11,46,24576,532,3,,,,,,,,
-166728.98356246998,41.63,58,30000,515,,0.004981808364391327,0.985357940196991,1.0,1.1920928955078125e-07,3437733918.4,3,0.001,0.043242063373327255
-178219.28849146998,48.41,63,32768,515,4,,,,,,,,
-172281.19113276002,45.26,79,40000,503,,0.004795101471245289,0.9813690185546875,1.0,0.0,3127227560.0,4,0.001,0.03987735137343407
-169936.09289409,44.36,80,40960,506,5,,,,,,,,
-165266.90111884,46.64,97,49152,505,6,0.005281583871692419,0.9773585200309753,1.0,0.0,3045147756.8,5,0.001,0.04230246692895889
-171505.64470518,48.98,102,50000,487,,0.00540570355951786,0.9738087058067322,1.0,0.0,2880261896.0,6,0.001,0.046330053359270096
-158765.18792955,44.31,114,57344,500,7,,,,,,,,
-149901.42302316998,40.1,123,60000,487,,0.004626130219548941,0.9616572260856628,1.0,-1.1920928955078125e-07,3090067466.8,7,0.001,0.04302395135164261
-154663.90800221,44.38,132,65536,495,8,,,,,,,,
-152672.59382689,48.16,143,70000,488,,0.00478221382945776,0.9519256949424744,1.0,0.0,2957808122.2,8,0.001,0.043368469923734665
-152702.50717855,45.38,149,73728,493,9,,,,,,,,
-141296.71722428,48.07,163,80000,490,,0.004726866725832224,0.9442418217658997,1.0,1.1920928955078125e-07,2666858869.8,9,0.001,0.04628165066242218
-145536.87640959,51.9,166,81920,493,10,,,,,,,,
-151355.49137181,50.82,182,90000,494,,0.00473822932690382,0.9413935542106628,1.0,0.0,2419708456.0,10,0.001,0.04579392075538635
-152783.24098298003,52.58,182,90112,494,11,,,,,,,,
-140836.49488338002,48.65,199,98304,493,12,0.005734100006520748,0.9277990460395813,1.0,0.0,2526700604.4,11,0.001,0.0500737726688385
-143902.01324796,46.72,205,100000,486,,0.005362880881875753,0.9279342293739319,1.0,0.0,2434768343.0,12,0.001,0.052570685744285583
-154777.81464996998,52.93,216,106496,492,13,,,,,,,,
-142627.13210307,48.26,225,110000,487,,0.005394154693931341,0.9286215305328369,1.0,-1.1920928955078125e-07,2415939022.6,13,0.001,0.055021047592163086
-143294.0677108,53.69,233,114688,491,14,,,,,,,,
-138128.32678166,49.9,245,120000,488,,0.005388829857110977,0.9254981279373169,1.0,1.1920928955078125e-07,2400520467.6,14,0.001,0.05649536848068237
-144381.28337726,55.93,250,122880,490,15,,,,,,,,
-147728.18109904,56.79,266,130000,488,,0.004497523885220289,0.9220526814460754,1.0,0.0,2244565147.0,15,0.001,0.049203623086214066
-140036.49943011996,54.7,267,131072,489,16,,,,,,,,
-134087.23069260002,49.15,284,139264,488,17,0.005616689566522837,0.9066807627677917,1.0,0.0,2131279520.0,16,0.001,0.0520084947347641
-137760.43980247,51.75,289,140000,482,,0.006132974289357662,0.9078097939491272,1.0,1.7881393432617188e-07,2337418117.4,17,0.001,0.05722637474536896
-128974.36099461999,57.73,302,147456,488,18,,,,,,,,
-130786.73916297998,57.76,310,150000,483,,0.005075416527688503,0.8988121747970581,1.0,0.0,1931974036.8,18,0.001,0.05598568916320801
-127484.47649402996,50.43,319,155648,487,19,,,,,,,,
-136914.37408279997,58.88,330,160000,484,,0.006078912876546383,0.9013802409172058,1.0,0.0,2081846654.2,19,0.001,0.0544939860701561
-126972.76990604,58.38,336,163840,486,20,,,,,,,,
-128420.99419796998,68.29,351,170000,483,,0.0048997849225997925,0.8882817625999451,1.0,0.0,1909418482.6,20,0.001,0.051678866147994995
-131337.93344542998,69.31,354,172032,484,21,,,,,,,,
-109477.28712681998,62.2,372,180000,483,,0.005439107771962881,0.8729934692382812,1.0,0.0,1796608139.2,21,0.001,0.051678553223609924
-106947.15435375,61.9,373,180224,483,22,,,,,,,,
-112713.37153799,65.52,392,188416,479,23,0.005128141492605209,0.8622282147407532,1.0,0.0,1748691601.8,22,0.001,0.05018205568194389
-114408.76091715001,67.43,400,190000,474,,0.006478852592408657,0.8532543778419495,1.0,0.0,1785473857.8,23,0.001,0.0589773990213871
-121582.63799778998,66.92,412,196608,477,24,,,,,,,,
-111001.8837037,62.99,421,200000,474,,0.006082902662456036,0.8478014469146729,1.0,-1.1920928955078125e-07,1656958877.6,24,0.001,0.052671607583761215
-123395.94482156001,65.42,430,204800,475,25,,,,,,,,
-114927.18239406002,62.76,442,210000,474,,0.006037961691617966,0.8423829078674316,1.0,0.0,1778045185.2,25,0.001,0.054605964571237564
-107761.10385448,61.91,447,212992,475,26,,,,,,,,
-106168.78145622002,62.77,463,220000,474,,0.006661762949079275,0.8383705615997314,1.0,0.0,1747140485.0,26,0.001,0.057079702615737915
-110396.48488221,64.94,465,221184,474,27,,,,,,,,
-80372.85839349999,73.85,483,229376,474,28,0.006189397070556879,0.8277398347854614,1.0,0.0,1683045157.0,27,0.001,0.055940475314855576
-79880.87883782,72.65,487,230000,471,,0.006019900552928448,0.819984495639801,1.0,0.0,1412091439.7,28,0.001,0.058512914925813675
-67104.37664381998,70.82,500,237568,474,29,,,,,,,,
-53747.50097187,70.8,508,240000,471,,0.007087646517902613,0.8176251649856567,1.0,0.0,1431578333.0,29,0.001,0.05641612783074379
-51933.275683930005,71.19,518,245760,474,30,,,,,,,,
-32831.24363262,76.66,529,250000,472,,0.007133019622415304,0.8187738060951233,1.0,0.008689820766448975,1310687711.9,30,0.001,0.055937789380550385
-34668.17457430001,77.49,535,253952,474,31,,,,,,,,
-15906.400945139998,72.93,550,260000,472,,0.007006337400525808,0.8112792372703552,1.0,0.01539158821105957,1227091134.9,31,0.001,0.05351175367832184
-11583.89236675,72.65,553,262144,473,32,,,,,,,,
14626.49072655,74.85,571,270000,472,,0.007164346519857645,0.8071600794792175,1.0,0.016466498374938965,1246678603.8,32,0.001,0.05705392733216286
15244.32683738,76.42,571,270336,472,33,,,,,,,,
24962.068894480002,77.05,588,278528,473,34,0.007077899295836687,0.7998855710029602,1.0,0.02495640516281128,1138338450.0,33,0.001,0.0575866661965847
22255.122550059998,76.25,594,280000,470,,0.007348990999162197,0.7985295653343201,1.0,0.01988983154296875,1139958075.1,34,0.001,0.052163902670145035
6032.398067199999,84.18,605,286720,473,35,,,,,,,,
5143.113873730001,91.34,614,290000,471,,0.007390194572508335,0.7879263758659363,1.0,0.019212841987609863,1100051512.6,35,0.001,0.05440017208456993
-7939.7535101799995,92.51,622,294912,473,36,,,,,,,,
