train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.001,2106,-0.5220259428024292,1.5309703350067139,52,283.0,53,319,16952,64154.49609375,127.61524200439453,-22998.859718307696,,
0.001,2229,-0.43149280548095703,1.5495506525039673,56,273.69642857142856,55,320,17936,37340.12890625,288.1898193359375,-21765.735733750003,,
0.001,2425,-0.6049054861068726,1.5930570363998413,60,286.2,60,322,19504,14959.5537109375,166.2760009765625,-21670.539760316668,,
0.001,2487,-0.4902498424053192,1.6012533903121948,63,297.3492063492063,61,323,20000,15323.373046875,153.50076293945312,-21572.507407142853,,
,,,,,,,,20000,,,,-5831.587072599999,392.2
0.001,2559,-0.5093002915382385,1.612643837928772,64,302.46875,66,310,20576,236101.65625,184.68917846679688,-21315.106625468754,,
0.001,2995,-0.34155115485191345,1.6757750511169434,68,307.97058823529414,77,311,24064,163940.71875,131.4437255859375,-20805.83071779412,,
0.001,3245,-0.11951912194490433,1.7036731243133545,72,317.5416666666667,83,313,26064,12733.9443359375,117.44670104980469,-20563.470359902778,,
0.001,3465,-0.2840925455093384,1.7180930376052856,76,333.10526315789474,88,315,27824,113584.7109375,197.87799072265625,-20315.58837967105,,
0.001,3608,-0.248722106218338,1.7259801626205444,80,333.375,91,316,28968,119966.2265625,59.41156768798828,-19513.9932183875,,
0.001,3737,-0.31113308668136597,1.7347255945205688,81,336.85185185185185,94,316,30000,166027.21875,112.87120056152344,-19434.306830419755,,
,,,,,,,,30000,,,,-2448.6628790000004,598.2
0.001,4004,-0.397705614566803,1.7439271211624146,84,350.1309523809524,105,303,32136,163171.578125,30.004043579101562,-18928.536343726195,,
0.001,4142,-0.4356592893600464,1.7562276124954224,88,350.17045454545456,109,304,33240,115084.953125,-42.96828079223633,-18954.560465181818,,
0.001,4465,0.11213361471891403,1.7538925409317017,92,368.4347826086956,116,306,35824,203160.234375,63.86283874511719,-18513.782537760868,,
0.001,4637,-0.22095242142677307,1.7450971603393555,96,370.8125,121,307,37200,75695.3203125,110.43212890625,-17767.835671833334,,
0.001,4796,0.31226813793182373,1.7506301403045654,100,366.41,124,308,38472,213100.65625,205.9691619873047,-17269.318559630003,,
0.001,4954,0.17239554226398468,1.7391108274459839,104,378.87,128,309,39736,170281.625,84.03004455566406,-17121.212662759997,,
0.001,4987,-0.20124424993991852,1.7385354042053223,106,380.69,129,309,40000,17413.28125,-40.97332000732422,-17009.90675237,,
,,,,,,,,40000,,,,-6799.082626,661.2
0.001,5050,0.23533663153648376,1.7379883527755737,108,383.02,135,299,40504,18318.99609375,105.60028839111328,-16801.249272049998,,
0.001,5260,-0.218703955411911,1.7363979816436768,112,384.06,140,300,42184,16011.212890625,171.1892852783203,-15841.496161609999,,
0.001,5420,0.26420459151268005,1.7299426794052124,116,388.3,144,300,43464,17685.115234375,197.51300048828125,-15056.615895129999,,
0.001,5555,0.31470268964767456,1.725683569908142,120,392.12,147,301,44544,67569.609375,-54.98371887207031,-13304.577808259997,,
0.001,5688,0.29011040925979614,1.7124117612838745,124,390.47,151,301,45608,16309.818359375,-2.567760467529297,-11832.138484299998,,
0.001,5863,0.13651317358016968,1.6995652914047241,128,392.9,155,302,47008,94578.3125,11.603296279907227,-10113.12690237,,
0.001,5933,-0.14245232939720154,1.6984686851501465,132,383.08,156,303,47568,124805.109375,24.834707260131836,-9099.29753194,,
0.001,6145,0.19597169756889343,1.6949838399887085,136,365.38,161,304,49264,173601.90625,115.60000610351562,-7981.584949230001,,
0.001,6237,0.18523269891738892,1.693638563156128,137,366.65,164,304,50000,22713.369140625,3.594790458679199,-7833.473541709999,,
,,,,,,,,50000,,,,-2762.6215091999998,365.0
0.001,6320,0.26244819164276123,1.682092547416687,140,377.74,168,300,50664,27693.75390625,-134.70640563964844,-7959.523931989999,,
0.001,6824,0.07536153495311737,1.6331061124801636,144,389.57,180,302,54696,20644.01171875,-126.02032470703125,-8483.68109167,,
0.001,7145,-0.21049711108207703,1.6367254257202148,148,408.44,188,303,57264,12365.345703125,-137.2899169921875,-8556.399729570001,,
0.001,7416,-0.014264993369579315,1.6390624046325684,152,419.08,194,304,59432,15488.0009765625,8.118371963500977,-7890.5244748099985,,
0.001,7487,0.07750870287418365,1.6406219005584717,154,426.15,196,305,60000,10367.091796875,-186.31631469726562,-7756.0506616699995,,
,,,,,,,,60000,,,,2330.353591,1000.0
0.001,7783,0.22063320875167847,1.6039414405822754,156,440.41,211,295,62368,81986.421875,-155.1050262451172,-7767.344825449999,,
0.001,8145,0.05488388240337372,1.552372694015503,160,438.1,219,297,65264,10755.587890625,-324.5335693359375,-7068.9610761,,
0.001,8262,0.14358451962471008,1.5419704914093018,164,436.45,222,297,66200,7861.77197265625,-195.40866088867188,-6571.36227138,,
0.001,8503,0.20677323639392853,1.5302544832229614,168,448.98,228,298,68128,162363.796875,-321.8162536621094,-5936.174816149999,,
0.001,8737,-0.07052601128816605,1.5067964792251587,171,454.47,234,299,70000,117918.5078125,-312.665283203125,-5688.1146588699985,,
,,,,,,,,70000,,,,-40865.2734432,474.4
0.001,8802,0.16749954223632812,1.5046463012695312,172,454.47,239,294,70520,193281.703125,-156.59820556640625,-5612.692101729999,,
0.001,9336,0.18307317793369293,1.476528525352478,176,455.96,251,296,74792,16141.05859375,-282.5189208984375,-5024.328322290001,,
0.001,9553,0.0032562315464019775,1.4595569372177124,180,467.52,257,297,76528,119041.71875,-373.72119140625,-4980.180674950001,,
