rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/std,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates
134.40677966101694,1,-98530.72645950847,14,8192,557,,,,,,,,,,,
147.03,2,-98223.51666666001,39,16384,416,0.0042145625,-0.0026672803807741728,505872992.0,0.2,2.1457672119140625e-06,1.000964879989624,0.0003,619393565.28125,-8.517425858974457,0.01639404296875,10
159.87,3,-98136.27222222001,63,24576,388,0.004318627,-0.002331708797282772,312467008.0,0.2,-2.9802322387695312e-06,1.0006133317947388,0.0003,495166567.9875,-8.518738593161107,0.01092529296875,20
161.27,4,-97337.74369658,87,32768,374,0.0037219194,-0.00166761738146306,225831920.0,0.2,-1.1920928955078125e-07,0.9982703924179077,0.0003,565210215.35625,-8.510476030409336,0.00650634765625,30
183.2,5,-96953.85897436,111,40960,366,0.003993457,-0.0022501805109641283,206023040.0,0.2,-1.1920928955078125e-07,0.9981536865234375,0.0003,499874295.88125,-8.503000644594431,0.01260986328125,40
187.26,6,-97559.85861111998,137,49152,357,0.0030890685,-0.0015164526561420645,159490496.0,0.2,5.960464477539063e-08,0.9989344477653503,0.0003,430729012.9140625,-8.505418091267348,0.00535888671875,50
191.43,7,-97882.22194445,164,57344,348,0.0037673363,-0.0018371197431406472,174547936.0,0.2,0.0,0.9979469180107117,0.0003,451396827.471875,-8.505271675437688,0.0099853515625,60
199.81,8,-98108.02333334,188,65536,347,0.003961794,-0.002173330683581298,89987464.0,0.2,5.960464477539063e-08,0.9973064661026001,0.0003,421146236.1828125,-8.4983013369143,0.00865478515625,70
205.91,9,-98319.6125,212,73728,346,0.004463149,-0.0024818631645757705,304490688.0,0.2,0.0,0.9936968088150024,0.0003,395277598.96875,-8.488079707324506,0.017822265625,80
187.8,10,-98356.72777777999,236,81920,345,0.0044727195,-0.003754166878206888,197776192.0,0.2,0.0,0.9907280206680298,0.0003,420399099.9984375,-8.465882308781147,0.02529296875,90
187.9,11,-97348.45736209002,261,90112,345,0.0040054433,-0.002336519138771109,192857440.0,0.2,0.0,0.991297721862793,0.0003,481542794.9625,-8.459311749786139,0.0109375,100
199.93,12,-97656.48375096999,287,98304,342,0.0034199685,-0.0021922103504039116,129970448.0,0.2,0.0,0.9909501075744629,0.0003,428998195.85625,-8.459557551890612,0.00732421875,110
203.64,13,-96420.41590908001,311,106496,341,0.0041814,-0.0031425081841007342,153456736.0,0.2,0.0,0.9896755218505859,0.0003,407573902.3125,-8.455249311029911,0.01666259765625,120
213.87,14,-96293.43749999,335,114688,341,0.0042174854,-0.003774244006126537,99075920.0,0.2,1.7881393432617188e-07,0.9914340972900391,0.0003,405065847.4,-8.458738327771425,0.02498779296875,130
216.08,15,-95656.72888888,359,122880,341,0.0029356992,-0.0023374355900159572,259819904.0,0.2,1.1920928955078125e-07,0.9900935888290405,0.0003,398211269.58125,-8.45865227356553,0.00458984375,140
212.84,16,-96019.29160255,384,131072,341,0.0040150024,-0.0029376282007433476,208194240.0,0.2,0.0,0.9923251867294312,0.0003,384201583.378125,-8.459141276031733,0.01407470703125,150
213.85,17,-95764.04465811,408,139264,340,0.004184263,-0.0023970129801455186,197321488.0,0.2,0.0,0.9900619387626648,0.0003,395193163.8671875,-8.459929257631302,0.01568603515625,160
207.13,18,-95799.35305555999,432,147456,340,0.003400771,-0.0022934085987799334,390485824.0,0.2,0.0,0.989098072052002,0.0003,415812558.10625,-8.451972411572934,0.00968017578125,170
205.12,19,-96169.51916667,457,155648,340,0.0023607714,-0.0019580080595915208,161411872.0,0.2,0.0,0.9897968769073486,0.0003,406741207.809375,-8.450293619185686,0.0018798828125,180
207.8,20,-97042.4842735,481,163840,340,0.005140312,-0.00431436039179971,185767456.0,0.2,0.0,0.9904335737228394,0.0003,423637204.7625,-8.45394962579012,0.03455810546875,190
216.85,21,-96959.05883698999,506,172032,339,0.004127626,-0.00343375617521815,140755424.0,0.2,0.0,0.9890812635421753,0.0003,415205152.421875,-8.451738265156745,0.0201171875,200
221.34,22,-97009.03411477998,530,180224,339,0.005058961,-0.004608835282124346,47624848.0,0.2,0.0,0.9919115900993347,0.0003,344029979.096875,-8.455753351002931,0.0368896484375,210
216.62,23,-96793.82527779,555,188416,339,0.004520136,-0.004068088459825958,162180816.0,0.2,1.1920928955078125e-07,0.9923829436302185,0.0003,403321615.625,-8.465694684535265,0.0261474609375,220
219.53,24,-96718.82408730999,579,196608,339,0.003934835,-0.003902628891955828,134886880.0,0.2,-2.384185791015625e-07,0.9928370714187622,0.0003,398257716.1703125,-8.46835004761815,0.0213134765625,230
237.68,25,-96640.06547618,603,204800,339,0.0037500502,-0.0033334419877064647,103940632.0,0.2,1.1920928955078125e-07,0.9903408885002136,0.0003,327687716.0609375,-8.464198810607195,0.02177734375,240
254.13,26,-96841.08353174,627,212992,339,0.0042389715,-0.003983275224163663,114624848.0,0.2,0.0,0.9903313517570496,0.0003,333313470.59453124,-8.454251562803984,0.0244384765625,250
