time/episodes,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
4,-10.666357040405273,3090.457275390625,-320793.04425449995,0.0003,1,49,65.0,159,300,-0.19852131605148315,0.9868175387382507
8,-30.06414031982422,3241.069580078125,-268115.94113037497,0.0003,3,102,47.125,140,512,-0.45477786660194397,0.9703966975212097
12,429.43560791015625,3044.701416015625,-272373.4628285,0.0003,6,174,47.083333333333336,131,800,-0.7645940780639648,0.9490975141525269
16,1075.781494140625,3667.64453125,-278980.2167276875,0.0003,7,202,45.125,127,912,-0.8117111921310425,0.9413233399391174
20,3153.111572265625,3162.9169921875,-343766.97644430003,0.0003,8,246,49.05,125,1088,-0.8797517418861389,0.9302375316619873
24,4492.875,3606.28564453125,-395278.5715327083,0.0003,9,269,48.041666666666664,124,1180,-0.9889823198318481,0.9247121810913086
28,11187.580078125,3431.36865234375,-495329.0502308571,0.0003,13,386,49.57142857142857,122,1648,-0.2398989200592041,0.9015382528305054
32,14467.095703125,3936.431884765625,-724533.1946783124,0.0003,15,434,56.1875,122,1840,-0.47766754031181335,0.8983817100524902
36,18760.1640625,3946.517578125,-779696.8754726943,0.0003,17,502,55.583333333333336,121,2112,0.1780436933040619,0.8939471244812012
40,38332.62890625,4587.34716796875,-1233904.7760632248,0.0003,25,735,69.55,119,3044,-0.2701931595802307,0.9096590876579285
44,38518.21875,4982.11328125,-1130790.4840537498,0.0003,25,744,63.61363636363637,119,3080,-0.6162449717521667,0.9092180728912354
48,66492.7734375,5076.40087890625,-1369946.0686940625,0.0003,35,1020,70.41666666666667,118,4184,0.16714781522750854,0.9614951014518738
52,88267.609375,5251.7431640625,-1918223.6278228078,0.0003,42,1229,88.21153846153847,118,5020,0.02995362877845764,0.9964088797569275
56,118705.453125,5362.52978515625,-2265125.5051440895,0.0003,50,1488,99.16071428571429,118,6056,-0.8728224635124207,1.0992631912231445
60,126910.125,5448.1044921875,-2317055.6294366173,0.0003,53,1560,99.53333333333333,119,6344,-0.05502408742904663,1.1171143054962158
64,127574.421875,5403.9150390625,-2212108.6754045314,0.0003,53,1567,94.703125,118,6372,0.061909276992082596,1.1176815032958984
68,127784.4140625,5469.06640625,-2088021.7889903241,0.0003,53,1575,89.36764705882354,118,6404,0.20032666623592377,1.1178107261657715
72,147635.21875,5622.6455078125,-2041130.435837653,0.0003,59,1743,86.84722222222223,118,7076,-0.4290236532688141,1.1545385122299194
76,185558.515625,5861.40576171875,-2368577.487387606,0.0003,69,2042,97.52631578947368,118,8272,-2.0390233993530273,1.2839545011520386
80,215957.6875,6163.61669921875,-2555722.7723375373,0.0003,77,2281,103.3125,118,9228,-1.7417469024658203,1.3670835494995117
84,226196.46875,5568.41748046875,-2718521.555863464,0.0003,80,2349,108.48809523809524,118,9500,-2.6219100952148438,1.3885550498962402
88,242911.5,6496.8076171875,-2649877.8712363862,0.0003,84,2489,105.70454545454545,118,10060,-1.9018421173095703,1.4476501941680908
92,247004.0625,6064.61083984375,-2817735.5877578915,0.0003,86,2549,111.27173913043478,118,10300,-2.1775379180908203,1.4655506610870361
96,312259.84375,5462.14599609375,-2956165.8417305523,0.0003,105,3083,116.19791666666667,118,12436,-4.722521781921387,1.6935410499572754
100,329884.9375,5764.14794921875,-3224064.4368959395,0.0003,108,3187,125.63,118,12852,-4.598217010498047,1.749743938446045
104,348175.96875,6362.3505859375,-3409902.28952845,0.0003,114,3365,130.07,118,13564,-3.2336080074310303,1.8380147218704224
108,373583.0625,6760.86865234375,-3546848.885111879,0.0003,122,3588,133.95,118,14456,-6.648570537567139,1.9570152759552002
112,372457.53125,6301.16552734375,-3540181.9487344706,0.0003,123,3608,132.27,118,14536,-7.056166172027588,1.9722024202346802
116,379392.0625,6788.5,-3532797.44326959,0.0003,123,3628,130.9,118,14616,-8.194229125976562,1.988128662109375
120,382603.9375,5820.85302734375,-3513347.22404306,0.0003,124,3648,128.51,118,14696,-8.207296371459961,2.004441499710083
124,386307.25,5873.71142578125,-3492005.1313667297,0.0003,125,3668,126.99,118,14776,-8.302945137023926,2.0213260650634766
128,385147.21875,5861.40966796875,-3453703.26686205,0.0003,125,3692,124.88,118,14872,-9.446459770202637,2.042813301086426
132,387850.625,7269.890625,-3365316.6300158408,0.0003,126,3712,120.98,118,14952,-9.448407173156738,2.061596393585205
136,387106.25,5231.41845703125,-3321245.79049101,0.0003,127,3732,119.15,118,15032,-10.625837326049805,2.080930709838867
140,392609.6875,6419.57373046875,-3113142.67214368,0.0003,127,3752,111.54,118,15112,-12.062885284423828,2.101710319519043
144,397135.8125,5231.41943359375,-3113926.1023347606,0.0003,128,3772,111.57,118,15192,-12.89204216003418,2.1237082481384277
148,396099.375,7152.62353515625,-2958668.5621942305,0.0003,129,3792,105.96,117,15272,-13.042396545410156,2.146815061569214
152,399356.9375,6324.1083984375,-2623535.64783833,0.0003,130,3812,94.09,117,15352,-14.367177963256836,2.170956611633301
156,402497.0,5873.0244140625,-2357310.9954748405,0.0003,130,3832,84.63,117,15432,-14.873453140258789,2.1957554817199707
160,399889.71875,6481.9501953125,-2240316.82491428,0.0003,131,3852,80.64,117,15512,-15.689433097839355,2.2210183143615723
164,403673.25,6413.89501953125,-2219569.9096611603,0.0003,132,3872,79.95,117,15592,-16.205150604248047,2.2464771270751953
168,402668.28125,8988.40234375,-2220233.4524186,0.0003,132,3892,79.99,117,15672,-17.54535484313965,2.272306442260742
172,407121.78125,7402.3427734375,-2175243.15166703,0.0003,133,3912,78.43,117,15752,-17.34865951538086,2.2985448837280273
176,411864.75,6163.5068359375,-1849507.48288161,0.0003,134,3932,67.04,117,15832,-19.498668670654297,2.3253021240234375
180,417035.5625,6194.90087890625,-1609817.1925463995,0.0003,135,3952,58.71,117,15912,-19.5501651763916,2.3524372577667236
184,411759.15625,6457.8486328125,-1375605.6808142297,0.0003,135,3972,50.43,117,15992,-20.539674758911133,2.379626750946045
188,416820.1875,7591.51220703125,-1332039.87476925,0.0003,136,3992,48.74,117,16072,-21.257490158081055,2.406965970993042
192,415304.4375,7094.896484375,-1076384.4956105999,0.0003,137,4012,39.59,117,16152,-21.66968536376953,2.4345974922180176
196,416644.0,6536.13671875,-835550.1241398298,0.0003,137,4032,30.61,117,16232,-22.128925323486328,2.4624383449554443
200,416655.6875,5812.404296875,-454173.47102426,0.0003,138,4052,16.73,117,16312,-23.471561431884766,2.4903106689453125
204,420046.3125,6617.7294921875,-260272.67991987,0.0003,139,4072,9.89,117,16392,-23.765296936035156,2.518172264099121
208,427002.40625,5878.9794921875,-119477.35395953998,0.0003,139,4092,5.04,117,16472,-24.089418411254883,2.546027660369873
212,428994.25,7512.6904296875,-119677.23508158,0.0003,140,4112,5.04,117,16552,-24.74799919128418,2.5738894939422607
216,431998.3125,5841.78515625,-119878.24189557998,0.0003,141,4132,5.04,117,16632,-26.487228393554688,2.601814031600952
220,424450.84375,7809.34521484375,-119980.51472873999,0.0003,141,4152,5.04,117,16712,-25.884857177734375,2.6298515796661377
224,427542.5,7524.77587890625,-119977.71867521,0.0003,142,4172,5.04,117,16792,-27.14504051208496,2.6577939987182617
228,430887.75,6979.4794921875,-119223.03932494998,0.0003,143,4192,5.0,117,16872,-26.572341918945312,2.6856906414031982
232,435058.125,7744.4755859375,-119219.32888129,0.0003,143,4212,5.0,117,16952,-26.867801666259766,2.713622570037842
236,434441.25,7154.07470703125,-119218.81788733999,0.0003,144,4232,5.0,117,17032,-29.262067794799805,2.7415730953216553
240,439199.5,6375.7607421875,-119219.62438108,0.0003,145,4252,5.0,117,17112,-27.841285705566406,2.7695391178131104
244,435899.6875,7693.4228515625,-119219.19904777,0.0003,146,4272,5.0,117,17192,-29.46484375,2.797395706176758
248,444945.125,7776.58642578125,-119218.89538865998,0.0003,146,4292,5.0,117,17272,-28.957984924316406,2.825195789337158
252,446407.53125,6865.232421875,-119218.79245299999,0.0003,147,4312,5.0,117,17352,-30.91680908203125,2.8529107570648193
