rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/is_line_search_success,train/policy_objective,train/kl_divergence_loss,train/n_updates,train/explained_variance,train/std,train/value_loss,train/learning_rate
-100156.5625,1,8192,537,15,80.0,,,,,,,,
-100265.875,2,16384,512,31,88.05,1.0,0.021531719714403152,0.005015865433961153,1,-9.5367431640625e-07,1.0036261081695557,1063034665.4,0.001
-100181.3,3,24576,503,48,100.79,1.0,0.027161717414855957,0.00552320247516036,2,0.0,1.008765697479248,925009248.2,0.001
-99978.6,4,32768,497,65,119.38,1.0,0.023549357429146767,0.005281021352857351,3,0.0,1.0044803619384766,851248703.2,0.001
-99754.21111111,5,40960,495,82,138.1,1.0,0.023027243092656136,0.00500269141048193,4,-1.1920928955078125e-07,1.0028729438781738,638127471.7,0.001
-99691.58055556,6,49152,494,99,151.86,1.0,0.02225109562277794,0.003828392829746008,5,1.1920928955078125e-07,1.0000094175338745,599469226.275,0.001
-99359.18055555999,7,57344,493,116,188.84,1.0,0.024160895496606827,0.004168729763478041,6,0.0,1.0037386417388916,519626048.8,0.001
-99501.725,8,65536,493,132,202.35,1.0,0.03183905780315399,0.005890428088605404,7,0.0,1.0015368461608887,378037159.4375,0.001
-99179.75,9,73728,492,149,220.85,1.0,0.021931279450654984,0.004084379877895117,8,0.0,1.0161709785461426,396731588.9375,0.001
-99124.65,10,81920,492,166,236.16,1.0,0.020056769251823425,0.00546618364751339,9,1.1920928955078125e-07,1.0053895711898804,380478523.275,0.001
-99385.925,11,90112,493,182,252.58,1.0,0.016047991812229156,0.005217725411057472,10,-1.1920928955078125e-07,1.0140268802642822,292365365.64375,0.001
-99546.725,12,98304,493,199,257.43,1.0,0.021691031754016876,0.005889181047677994,11,0.0,1.023951768875122,335731855.875,0.001
-98787.095,13,106496,493,215,282.64,1.0,0.02246912196278572,0.006009317003190517,12,0.0,1.0071697235107422,326011456.65,0.001
-98788.47,14,114688,493,232,304.42,1.0,0.034051552414894104,0.005764261819422245,13,-1.1920928955078125e-07,0.9927582740783691,251838071.45,0.001
-95867.795,15,122880,494,248,342.51,1.0,0.03295886889100075,0.004731976427137852,14,0.0,0.9862915873527527,199138171.521875,0.001
-94948.495,16,131072,494,264,370.57,1.0,0.022050075232982635,0.005727807059884071,15,1.1920928955078125e-07,0.9919518828392029,156810140.496875,0.001
-91004.875,17,139264,495,281,416.6,1.0,0.02007707580924034,0.005757725797593594,16,0.0,0.9943552017211914,178626103.6796875,0.001
-90355.805,18,147456,495,297,449.59,1.0,0.02453019469976425,0.006116076372563839,17,-2.384185791015625e-07,0.993497371673584,156222419.734375,0.001
-90613.205,19,155648,495,314,465.33,1.0,0.01935325190424919,0.004143241792917252,18,0.0,0.9939813613891602,144587400.659375,0.001
-89934.1925,20,163840,496,330,487.83,1.0,0.028902174904942513,0.006449993699789047,19,-1.1920928955078125e-07,1.000963807106018,157349443.58046874,0.001
-91719.4675,21,172032,496,346,467.12,1.0,0.020158791914582253,0.00504101999104023,20,-1.1920928955078125e-07,0.9969040751457214,187989650.903125,0.001
-89584.85194444,22,180224,496,362,495.13,1.0,0.026835104450583458,0.006076218094676733,21,1.1920928955078125e-07,0.9957749247550964,175820795.50546876,0.001
-91615.57194444,23,188416,497,378,497.79,1.0,0.019831333309412003,0.006811484694480896,22,0.0,0.9911942481994629,114487771.37460938,0.001
-90378.74694444,24,196608,498,394,518.41,1.0,0.023696498945355415,0.006107253488153219,23,0.0,0.9884046912193298,136100160.5359375,0.001
