rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/std,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates
121.859375,1,-97998.11241318751,14,8192,550,,,,,,,,,,,
130.16,2,-97251.06315656,38,16384,429,0.003820438,-0.001663799402740551,438034400.0,0.2,-4.76837158203125e-06,1.000352144241333,0.0003,672581774.7125,-8.515722823143005,0.01107177734375,10
120.42,3,-96274.32573593,61,24576,399,0.004365767,-0.0035649697922053745,460537696.0,0.2,-3.5762786865234375e-07,0.9995562434196472,0.0003,672781775.5625,-8.513729477673769,0.02364501953125,20
118.15,4,-97118.55492424002,84,32768,385,0.0039915973,-0.0021539743604080284,358091008.0,0.2,0.0,1.0001060962677002,0.0003,710403904.85,-8.512916358560323,0.01170654296875,30
122.72,5,-96637.09131313,107,40960,380,0.0045039086,-0.0030454868767264996,221453808.0,0.2,0.0,0.9996364116668701,0.0003,696069471.94375,-8.51330238506198,0.02318115234375,40
130.03,6,-95946.42861111001,130,49152,376,0.00401787,-0.0014798583841184154,229426768.0,0.2,0.0,1.0004091262817383,0.0003,703245413.45,-8.513770784437657,0.00736083984375,50
131.14,7,-96631.03111111,153,57344,374,0.0041462337,-0.0018701949782553128,435670208.0,0.2,0.0,0.9985259771347046,0.0003,627073733.634375,-8.511105936020613,0.00909423828125,60
148.26,8,-94867.45174603,175,65536,372,0.0026099642,-0.0008783983968896792,523314624.0,0.2,0.0,0.9981377124786377,0.0003,606439329.78125,-8.50392680540681,0.00125732421875,70
155.06,9,-94156.04396826,197,73728,373,0.0042841714,-0.0026395760378363775,365619712.0,0.2,0.0,0.999322772026062,0.0003,536664368.903125,-8.506679760664701,0.0203857421875,80
156.93,10,-92617.78435703,220,81920,371,0.003431275,-0.0015813414462172658,240469760.0,0.2,0.0,1.0012156963348389,0.0003,534966673.65625,-8.516305495798587,0.00718994140625,90
145.5,11,-93334.95132672001,242,90112,371,0.0039090444,-0.0017047581386577804,184166592.0,0.2,-1.1920928955078125e-07,0.9997797012329102,0.0003,558968858.13125,-8.516818229854106,0.009326171875,100
161.42,12,-95174.36801587,265,98304,370,0.004160695,-0.00239242503157584,466420512.0,0.2,0.0,1.0006083250045776,0.0003,563828780.26875,-8.515475109219551,0.01751708984375,110
173.82,13,-92215.51977107,287,106496,370,0.004193429,-0.0022719369611877483,250614944.0,0.2,-1.1920928955078125e-07,1.0007822513580322,0.0003,480180492.0,-8.517900794744492,0.01748046875,120
163.8,14,-92005.61453297001,311,114688,368,0.0033721589,-0.0013849940685759065,262436960.0,0.2,0.0,0.9990608096122742,0.0003,501410576.53125,-8.513359040021896,0.0047119140625,130
174.13,15,-93035.13615078,333,122880,368,0.0031630169,-0.001997307356577949,296549120.0,0.2,1.1920928955078125e-07,0.9980313181877136,0.0003,530880371.21875,-8.504203799366952,0.01094970703125,140
179.31,16,-93309.43333332,357,131072,366,0.0043320283,-0.002398250605619978,154517280.0,0.2,0.0,0.9983108043670654,0.0003,423089074.7890625,-8.502418313920497,0.0145751953125,150
173.47,17,-93908.78638887999,379,139264,367,0.004668271,-0.0032843512984982227,283729600.0,0.2,0.0,0.9988548159599304,0.0003,521380924.29375,-8.505224166065455,0.02552490234375,160
175.88,18,-94322.70527777,402,147456,365,0.004653106,-0.003290362712868955,211238976.0,0.2,0.0,0.9976148009300232,0.0003,474221723.884375,-8.502403967827558,0.026806640625,170
183.78,19,-93610.14666666002,424,155648,366,0.0034496214,-0.0019004704055987532,129308352.0,0.2,-1.1920928955078125e-07,0.9975666999816895,0.0003,459602276.075,-8.498987908661366,0.0112548828125,180
194.54,20,-92695.98918802998,447,163840,366,0.0038119212,-0.0020995434824726544,419555072.0,0.2,0.0,0.9955345392227173,0.0003,448771079.91875,-8.492753980308771,0.01494140625,190
211.93,21,-92163.07883089001,469,172032,366,0.0054472536,-0.003928163439559285,275991840.0,0.2,0.0,0.9939748644828796,0.0003,423194216.60625,-8.481215205043554,0.0364013671875,200
224.95,22,-91755.64484127,491,180224,366,0.00474801,-0.0032773996023024664,116681432.0,0.2,1.1920928955078125e-07,0.9906783103942871,0.0003,331938974.41875,-8.465631584823132,0.02291259765625,210
222.75,23,-92064.23272892999,514,188416,366,0.0046931817,-0.0029391466647211927,96560224.0,0.2,0.0,0.9876413345336914,0.0003,386004033.0109375,-8.447858797758817,0.02567138671875,220
202.8,24,-89956.94139665,536,196608,366,0.0031515243,-0.0030896399865014247,121862360.0,0.2,-1.1920928955078125e-07,0.9853044748306274,0.0003,385872693.159375,-8.431375522911548,0.01741943359375,230
201.52,25,-90392.66632644001,559,204800,366,0.005026443,-0.0028374086203257322,494032288.0,0.2,0.0,0.9829776287078857,0.0003,459671415.4453125,-8.417133198678494,0.02203369140625,240
233.25,26,-88051.80280995001,580,212992,366,0.0071752016,-0.004188573655846994,205108016.0,0.2,0.0,0.979587972164154,0.0003,400632216.2984375,-8.402179619669914,0.03870849609375,250
234.35,27,-90825.37768009,604,221184,366,0.01795657,0.018693594871729148,91758704.0,0.2,-1.1920928955078125e-07,0.9808402061462402,0.0003,264240488.83828124,-8.390965723991394,0.38065185546875,260
259.62,28,-91255.06713064,626,229376,366,0.0051008426,-0.002771057946665678,344732416.0,0.2,1.1920928955078125e-07,0.9818186163902283,0.0003,392275595.9296875,-8.398566308617593,0.01903076171875,270
237.83,29,-94570.67429182,649,237568,366,0.004304139,-0.002679808331959066,86517104.0,0.2,0.0,0.9841656684875488,0.0003,309522981.209375,-8.40848890170455,0.01602783203125,280
251.61,30,-93779.43326008,671,245760,366,0.004722126,-0.003422366593440529,211105504.0,0.2,-1.1920928955078125e-07,0.9797741770744324,0.0003,347859491.7367188,-8.40286215096712,0.0278564453125,290
234.47,31,-95013.94825397998,695,253952,365,0.0036328777,-0.003074340928287711,215737088.0,0.2,0.0,0.9765533804893494,0.0003,351449921.4078125,-8.378370418399573,0.0223876953125,300
231.43,32,-96009.31658731001,717,262144,365,0.005272438,-0.003199354766184115,175763680.0,0.2,0.0,0.9740785360336304,0.0003,364134372.93359375,-8.362002532929182,0.02471923828125,310
226.97,33,-96638.77398657,741,270336,364,0.0042899,-0.0032573270094871988,67617504.0,0.2,0.0,0.9735196828842163,0.0003,380958285.73125,-8.352672722935676,0.02247314453125,320
243.12,34,-95355.96037545,763,278528,365,0.004194049,-0.002060068686841987,372501472.0,0.2,0.0,0.9742658138275146,0.0003,384396300.9921875,-8.35264050513506,0.015966796875,330
255.24,35,-94484.42513736,786,286720,364,0.005627259,-0.004021866877155844,179590256.0,0.2,-1.1920928955078125e-07,0.9736277461051941,0.0003,280691414.76484376,-8.354962104558945,0.057470703125,340
265.88,36,-95094.85821428002,810,294912,363,0.0035925582,-0.0018951629495859378,46357128.0,0.2,0.0,0.9706881046295166,0.0003,300411491.99492186,-8.341706229746341,0.01666259765625,350
244.91,37,-95319.39071427999,833,303104,363,0.0049859844,-0.004099733294788166,243861568.0,0.2,-1.1920928955078125e-07,0.9689731597900391,0.0003,360872583.2203125,-8.326891604810953,0.029443359375,360
241.98,38,-95781.89305555001,855,311296,363,0.0034305954,-0.0027974838383670432,98675760.0,0.2,0.0,0.9652925729751587,0.0003,355681072.53125,-8.309442903101445,0.0106689453125,370
261.78,39,-91922.39519841,878,319488,363,0.0036328079,-0.0027917400213482322,135044624.0,0.2,0.0,0.9624271392822266,0.0003,319371812.4765625,-8.289058504998684,0.01556396484375,380
279.07,40,-89885.77876985,900,327680,363,0.007958896,-0.0009651445870986208,158588912.0,0.2,0.0,0.9624367952346802,0.0003,286045359.1617187,-8.282422743737698,0.05560302734375,390
301.42,41,-87514.55722222998,922,335872,363,0.0107797105,-0.0026725307368906217,77988000.0,0.2,-1.1920928955078125e-07,0.9597437381744385,0.0003,268778462.97734374,-8.27992462515831,0.0625732421875,400
320.27,42,-86925.97119047999,945,344064,363,0.005556284,-0.0024115823576721595,87074712.0,0.2,0.0,0.9635462164878845,0.0003,255430567.3375,-8.277399681508541,0.05526123046875,410
324.87,43,-89473.28376984,967,352256,364,0.00548367,-0.0033642477850662545,152330336.0,0.2,0.0,0.9584434032440186,0.0003,225818202.478125,-8.27286443337798,0.062744140625,420
344.22,44,-88767.67266955,989,360448,364,0.004503172,-0.0033316498927888462,156247296.0,0.2,0.0,0.9609004259109497,0.0003,257451179.20234376,-8.259542871266603,0.05047607421875,430
293.79,45,-88722.72682539001,1011,368640,364,0.3458196,0.029470611127180746,69767736.0,0.2,0.0,0.9647531509399414,0.0003,200088459.74921876,-8.267323983460665,0.40557861328125,440
252.62,46,-88837.62246032,1033,376832,364,0.00061714766,-0.0008089815833955072,306195712.0,0.2,0.0,0.9643515348434448,0.0003,430601538.16875,-8.294498484581709,0.0005126953125,450
209.16,47,-93476.73654762999,1055,385024,364,0.003706853,-0.0026398301059089137,212861024.0,0.2,0.0,0.9645664691925049,0.0003,388877290.7859375,-8.293769134581089,0.01177978515625,460
235.51,48,-90557.86154763,1077,393216,364,0.004044936,-0.002166603319346905,140077536.0,0.2,0.0,0.9637905955314636,0.0003,386202701.4640625,-8.291655556857586,0.00849609375,470
231.22,49,-90518.48809524,1100,401408,364,0.0048001865,-0.0006107740595325595,231719984.0,0.2,-1.1920928955078125e-07,0.9664565324783325,0.0003,301939149.61015624,-8.299721322953701,0.041455078125,480
239.68,50,-92913.47238095,1123,409600,364,0.004336127,-0.002305968237487832,355668160.0,0.2,0.0,0.966905951499939,0.0003,395533374.7890625,-8.30704789608717,0.01517333984375,490
247.85,51,-92144.00976191,1144,417792,364,0.004002383,-0.0021779341626825045,153790112.0,0.2,0.0,0.967180609703064,0.0003,344467011.875,-8.31011679843068,0.01729736328125,500
263.13,52,-92170.59726190999,1167,425984,364,0.0077156327,-0.00020482172985794022,223738688.0,0.2,0.0,0.9670029878616333,0.0003,264269513.25,-8.316810854524373,0.14063720703125,510
292.52,53,-91638.96287546,1190,434176,364,0.0058255456,-0.0048894057483266804,113738896.0,0.2,-1.1920928955078125e-07,0.9642130732536316,0.0003,303437112.2015625,-8.300495526194572,0.04481201171875,520
292.14,54,-90493.13715395,1212,442368,364,0.0034512552,-0.0028402132767951114,104867672.0,0.2,0.0,0.9654625654220581,0.0003,285878207.27421874,-8.291538917273282,0.03839111328125,530
247.92,55,-91268.14490119001,1235,450560,364,0.13461922,0.06405702175470651,168661088.0,0.2,0.0,0.9715142250061035,0.0003,267913406.09296876,-8.32943214699626,0.59908447265625,540
189.85,56,-92718.52480351999,1258,458752,364,0.0023219192,-0.0017387889536621514,157425184.0,0.2,-1.1920928955078125e-07,0.9718278646469116,0.0003,463693077.75625,-8.338186452537775,0.0063720703125,550
161.34,57,-94524.77488096,1281,466944,364,0.0012204895,-0.0009959867704310455,187124736.0,0.2,5.960464477539063e-08,0.9715546369552612,0.0003,480572020.803125,-8.338520324230194,0.00208740234375,560
176.27,58,-94422.19738095999,1305,475136,363,0.00472184,-0.0024461357155814768,296639072.0,0.2,5.960464477539063e-08,0.9717482328414917,0.0003,537705043.4,-8.338254003971816,0.01744384765625,570
173.67,59,-94618.1636111,1327,483328,363,0.0023101107,-0.0015409794312290614,148685120.0,0.2,0.0,0.9720360636711121,0.0003,426812547.8109375,-8.339332184195518,0.0150634765625,580
161.87,60,-94297.19363634002,1351,491520,363,0.00484968,-0.0030046916621358833,222358016.0,0.2,-1.1920928955078125e-07,0.9714900851249695,0.0003,524164985.63125,-8.339156524837017,0.02662353515625,590
179.23,61,-94279.23752524,1373,499712,363,0.004780108,-0.003572003777662758,183296640.0,0.2,1.7881393432617188e-07,0.9711973667144775,0.0003,492646298.05,-8.336628542095422,0.02923583984375,600
205.8,62,-90026.83769840002,1396,507904,363,0.0051467754,-0.0031553574659483274,168127648.0,0.2,0.0,0.9692310690879822,0.0003,365391748.496875,-8.32832367643714,0.03785400390625,610
208.84,63,-89342.28242061999,1418,516096,363,0.005287481,-0.00395737301078043,149192992.0,0.2,5.960464477539063e-08,0.9665793776512146,0.0003,419692152.896875,-8.314610615372658,0.0367919921875,620
212.41,64,-89997.60321733002,1440,524288,363,0.004352902,-0.0031292198545997962,247982272.0,0.2,-2.384185791015625e-07,0.965420126914978,0.0003,401524523.475,-8.304216551780701,0.029443359375,630
226.79,65,-88356.7307967,1462,532480,364,0.0056303875,-0.00419306926560239,250011632.0,0.2,0.0,0.9645547866821289,0.0003,350228675.315625,-8.297249628603458,0.0536865234375,640
243.89,66,-87635.86901098,1485,540672,364,0.0051520662,-0.002446993946796283,147818560.0,0.2,0.0,0.9616378545761108,0.0003,328937695.0992187,-8.281794779747724,0.04759521484375,650
257.84,67,-87567.67033884,1508,548864,363,0.0048106555,-0.002738884442806011,179471072.0,0.2,0.0,0.9616756439208984,0.0003,302705903.2121094,-8.27429102435708,0.0465576171875,660
210.94,68,-93147.2449817,1531,557056,363,0.2813983,0.05325966314339894,109185744.0,0.2,0.0,0.96403568983078,0.0003,299744215.61875,-8.274687111377716,0.4060546875,670
170.52,69,-97641.18833333,1555,565248,363,0.0007287592,-0.0011662727160000942,409958720.0,0.2,0.0,0.9640539884567261,0.0003,568188471.025,-8.293135899305344,0.00126953125,680
169.83,70,-97887.20777778,1579,573440,363,0.0011880307,-0.001249471899791388,458046368.0,0.2,0.0,0.9638654589653015,0.0003,436747713.259375,-8.292562951147556,0.00242919921875,690
186.36,71,-98100.16111112,1605,581632,362,0.0015705321,-0.0013982555698021314,191097984.0,0.2,5.960464477539063e-08,0.9638023376464844,0.0003,514224055.46875,-8.291793730854987,0.00303955078125,700
198.58,72,-98282.58944444999,1628,589824,362,0.00439097,-0.00353047558455728,176208576.0,0.2,0.0,0.9638127684593201,0.0003,415731169.15,-8.292069263011218,0.01959228515625,710
212.61,73,-97754.87166666999,1654,598016,361,0.006599325,-0.004862193861845299,159458656.0,0.2,0.0,0.9631452560424805,0.0003,366437384.03125,-8.289924784004688,0.04593505859375,720
242.05,74,-96942.46423078001,1675,606208,361,0.0050998214,-0.0036984549260523636,216398976.0,0.2,0.0,0.962211549282074,0.0003,374793658.93125,-8.284472677111626,0.03355712890625,730
173.41,75,-93748.66547619,1699,614400,361,0.45025063,0.09804318081587553,111085448.0,0.2,0.0,0.9631234407424927,0.0003,221701502.08554688,-8.281725934892894,0.63140869140625,740
122.07,76,-93953.65377899,1721,622592,361,0.0035063324,-0.003318084471538896,360419072.0,0.2,0.0,0.9628820419311523,0.0003,706715142.1125,-8.287050148844719,0.03731689453125,750
153.15,77,-92515.66747862998,1743,630784,361,0.0037155072,-0.002784924268780742,412187584.0,0.2,-1.1920928955078125e-07,0.9628779292106628,0.0003,618473033.3625,-8.286175140738488,0.03072509765625,760
188.44,78,-91280.70817462001,1766,638976,361,0.0039628264,-0.002219642790805665,223010528.0,0.2,-1.1920928955078125e-07,0.963359534740448,0.0003,424828618.2,-8.28758522644639,0.01695556640625,770
218.39,79,-89457.63238097,1788,647168,361,0.0044417516,-0.0025246768789656928,247702864.0,0.2,-1.1920928955078125e-07,0.9640463590621948,0.0003,389065354.4640625,-8.291713792830706,0.02755126953125,780
205.13,80,-90820.24365081,1810,655360,361,0.006921963,-0.001870415286248317,152450512.0,0.2,0.0,0.9607340097427368,0.0003,329413006.7523438,-8.283965704590083,0.0606201171875,790
201.77,81,-91206.30025336999,1831,663552,362,0.0042343815,-0.0026616969691531265,96373536.0,0.2,0.0,0.9587579965591431,0.0003,431850641.2875,-8.266672951728106,0.01851806640625,800
211.79,82,-89864.50742757,1853,671744,362,0.005721342,-0.004975967548671178,112726776.0,0.2,0.0,0.9561783671379089,0.0003,410772400.0,-8.252598917484283,0.0455810546875,810
212.46,83,-89020.6215515,1875,679936,362,0.069952615,0.0012354006175883114,72244456.0,0.2,0.0,0.9577686190605164,0.0003,320984375.884375,-8.248558473587035,0.11932373046875,820
207.88,84,-83497.45647131001,1897,688128,362,0.0055549135,-0.002906980607804144,147526720.0,0.2,5.960464477539063e-08,0.9566057920455933,0.0003,431067321.634375,-8.252202013880014,0.02955322265625,830
