time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
1,144.64,16384,63,-99802.325,259,,,,,,,,,,,
2,178.56,32768,151,-98711.19373932,216,-8.55486250296235,0.040118408203125,0.2,0.0011,778712832.0,10,859684389.86875,1.0118849277496338,-0.003960261666907172,-4.291534423828125e-06,0.0049017896
3,190.82,49152,239,-98624.15166666001,205,-8.635456236451864,0.034857177734375,0.2,0.0011,245046752.0,20,703250839.709375,1.0264922380447388,-0.0032382865947511164,0.0,0.0051852046
4,204.49,65536,327,-98862.55055556,199,-8.729088013619185,0.02391357421875,0.2,0.0011,126464432.0,30,621666867.00625,1.0435214042663574,-0.0028771942170351394,0.0,0.0041463478
5,209.58,81920,416,-99226.70416666001,196,-8.82551807872951,0.02269287109375,0.2,0.0011,396207264.0,40,557801842.6875,1.060906171798706,-0.0022555222973096533,0.0,0.0041315886
6,223.47,98304,509,-99012.77799423001,193,-8.922400779277087,0.023297119140625,0.2,0.0011,372113696.0,50,596495541.415625,1.0765891075134277,-0.0021991296986016095,5.960464477539063e-08,0.0038199988
7,246.13,114688,600,-98453.25874819,191,-9.021745099499821,0.024798583984375,0.2,0.0011,417901792.0,60,532380121.1125,1.0969434976577759,-0.0022660413022094874,0.0,0.0043451553
8,255.87,131072,689,-98732.20583332,189,-9.123923871293664,0.03255615234375,0.2,0.0011,205117456.0,70,494669380.490625,1.1133766174316406,-0.0025325800486825758,1.7881393432617188e-07,0.0049452684
9,256.76,147456,778,-100192.00833333,189,-9.229405487701296,0.022418212890625,0.2,0.0011,420530752.0,80,466872539.840625,1.134813904762268,-0.0016314087148202815,0.0,0.0046811905
10,259.11,163840,871,-99359.39807693001,188,-9.32761706970632,0.029522705078125,0.2,0.0011,376455328.0,90,477488051.590625,1.1532478332519531,-0.0016546494960493873,-1.1920928955078125e-07,0.0044923704
11,252.28,180224,964,-99923.67891026,186,-9.456499715894461,0.047906494140625,0.2,0.0011,411639328.0,100,468723310.85,1.1818442344665527,-0.002968747738668753,5.960464477539063e-08,0.006975212
12,270.15,196608,1057,-99609.49888888001,185,-9.586436095833779,0.03212890625,0.2,0.0011,434376928.0,110,477644291.58125,1.20546555519104,-0.001805087650063797,0.0,0.004900282
13,263.86,212992,1148,-99342.94316238999,185,-9.717122454568743,0.041400146484375,0.2,0.0011,373965152.0,120,445592905.45,1.2333133220672607,-0.002382144740658987,0.0,0.0064090374
14,273.41,229376,1239,-99583.40722222,185,-9.83558884114027,0.04468994140625,0.2,0.0011,272307104.0,130,456974459.5859375,1.256286382675171,-0.001656249799998477,0.0,0.0056600496
15,289.72,245760,1330,-99771.45989315999,184,-9.942140827327966,0.03924560546875,0.2,0.0011,69807424.0,140,408542849.2453125,1.2786808013916016,-0.0017812716081607506,0.0,0.005738034
16,288.57,262144,1419,-100058.27861111,184,-10.082414834201336,0.06480712890625,0.2,0.0011,339817760.0,150,376620172.9398438,1.310710072517395,-0.0023233538635395235,0.0,0.008869385
17,284.02,278528,1507,-99635.72333333001,184,-10.206268933415412,0.0415771484375,0.2,0.0011,213972080.0,160,441646844.7867187,1.3353760242462158,-0.0016464267338960781,0.0,0.0058035306
