time/fps,train/step_size,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,time/total_timesteps
269,1.5057919711125578e-07,-78140.625,314.8125,74,0,0.05,40676.26953125,0.049,20148
269,1.31114020973655e-07,-61253.125,500.875,193,1,0.05,46715.0625,0.049,52204
272,1.27812867845023e-07,-59977.96875,480.0625,304,2,0.05,47921.625,0.049,82928
271,1.3062712866940274e-07,-45133.75,763.75,484,3,0.05,46889.18359375,0.049,131808
271,1.268625453576533e-07,-62969.375,672.5,644,4,0.05,48280.59765625,0.049,174848
271,1.4785685209517396e-07,-33146.875,814.9375,837,5,0.05,41425.203125,0.049,227004
271,1.4038198514754185e-07,-36563.75,719.1875,1006,6,0.05,43630.953125,0.049,273032
271,1.338356128144369e-07,-44259.21875,801.8125,1195,7,0.05,45765.09375,0.049,324348
270,1.4799068992488174e-07,-33125.625,812.8125,1390,8,0.05,41387.73828125,0.049,376368
269,1.3831095202476718e-07,-38883.75,763.6875,1576,9,0.05,44284.2734375,0.049,425244
268,1.45659640793383e-07,-32393.125,875.4375,1794,10,0.05,42050.08203125,0.049,481272
268,1.9631696090982587e-07,-21416.875,891.8125,2005,11,0.05,31199.544921875,0.049,538348
268,1.6821869053273986e-07,-26915.0,879.1875,2213,12,0.05,36410.93359375,0.049,594616
268,1.68475608575136e-07,-26910.0,816.1875,2406,13,0.05,36355.41015625,0.049,646852
268,2.2749026129531558e-07,-19822.75,920.25,2624,14,0.05,26924.228515625,0.049,705748
269,2.5407030079804827e-07,-16026.875,977.75,2855,15,0.05,24107.5,0.049,768324
268,1.529478197426215e-07,-30976.71875,820.8125,3062,16,0.05,40046.3359375,0.049,820856
267,1.419224986420886e-07,-42156.15625,857.1875,3278,17,0.05,43157.35546875,0.049,875716
266,2.846850861715211e-07,-15378.75,975.4375,3515,18,0.05,21515.0,0.049,938144
267,2.0175876613848232e-07,-20357.5,973.375,3742,19,0.05,30358.037109375,0.049,1000440
267,1.7133997687324154e-07,-26620.625,849.75,3943,20,0.05,35747.640625,0.049,1054824
267,1.515596466106217e-07,-32527.5,815.5,4135,21,0.05,40413.12890625,0.049,1107016
267,1.568117227179755e-07,-28165.625,941.75,4357,22,0.05,39059.578125,0.049,1167288
268,1.5435284694831353e-07,-26381.5625,922.0,4572,23,0.05,39681.8046875,0.049,1226296
268,2.449999783493695e-06,-9375.0,1000.0,4807,24,0.05,2500.0,0.049,1290296
268,1.5271351117007725e-07,-32365.625,799.3125,4996,25,0.05,40107.78125,0.049,1341452
268,49000.0,-10000.0,1000.0,5232,26,0.05,0.0,0.049,1405452
268,1.8273654234235437e-07,-22266.25,976.75,5463,27,0.05,33518.19921875,0.049,1467964
268,1.6191296481338213e-07,-26785.0,866.1875,5666,28,0.05,37828.96484375,0.049,1523400
268,1.6724125373457355e-07,-25348.90625,852.5,5867,29,0.05,36623.73828125,0.049,1577960
268,1.480512281659685e-07,-32967.625,922.3125,6085,30,0.05,41370.8125,0.049,1636988
269,2.525973457068176e-07,-14999.53125,967.9375,6313,31,0.05,24248.076171875,0.049,1698936
268,1.5960685573190858e-07,-26828.28125,947.6875,6542,32,0.05,38375.54296875,0.049,1759588
268,2.0399539835125324e-07,-20968.125,909.4375,6762,33,0.05,30025.1875,0.049,1817792
268,1.9608079071531392e-07,-21417.5,954.375,6988,34,0.05,31237.123046875,0.049,1878872
268,49000.0,-10000.0,1000.0,7224,35,0.05,0.0,0.049,1942872
269,3.025811849965976e-07,-15060.625,943.625,7446,36,0.05,20242.5,0.049,2003264
