time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,rollout/ep_len_mean
1632,-1.547045350074768,1.0697156190872192,-2418359.16950825,4,0.001,509277536.0,109,382,14,-673.0859375,145.25
2572,-5.172901630401611,1.1956888437271118,-6051243.519349875,8,0.001,578360448.0,102,617,25,-1713.572998046875,262.875
3076,-7.305298805236816,1.2596607208251953,-5563655.647026917,12,0.001,441209216.0,103,743,29,-1157.64599609375,231.25
3380,-6.821883201599121,1.2947490215301514,-4424011.411651375,16,0.001,357547072.0,103,819,32,-1258.7579345703125,189.5625
3592,-6.8568854331970215,1.3192119598388672,-3713603.2984307506,20,0.001,331392512.0,103,872,34,-974.422607421875,164.4
3876,-8.076162338256836,1.3529249429702759,-3140556.5891908747,24,0.001,448594624.0,102,943,37,-856.2642822265625,144.45833333333334
4036,-8.834587097167969,1.3719984292984009,-2948159.0763025708,28,0.001,327446720.0,102,983,39,-943.3369140625,142.32142857142858
4716,-10.000185012817383,1.4550343751907349,-2745590.5305129997,32,0.001,250362176.0,103,1153,45,-709.1707763671875,134.40625
4936,-9.950115203857422,1.481689691543579,-2501304.1159250275,36,0.001,271930432.0,103,1208,47,-636.8992309570312,128.58333333333334
5136,-9.479724884033203,1.506581425666809,-2416844.4768430246,40,0.001,195994784.0,103,1258,49,-530.377197265625,125.2
5312,-10.016027450561523,1.526794195175171,-2222613.610756591,44,0.001,214258592.0,103,1302,51,-556.7432861328125,119.3409090909091
5540,-10.367327690124512,1.5543359518051147,-2051468.2116661042,48,0.001,155171008.0,103,1359,53,-348.4583740234375,112.41666666666667
5716,-10.932806968688965,1.5760061740875244,-1907135.1892918074,52,0.001,167160000.0,104,1403,54,-586.245849609375,108.15384615384616
5964,-10.913118362426758,1.606810450553894,-1785693.7286522319,56,0.001,139063616.0,104,1465,57,-376.2457275390625,104.82142857142857
6140,-11.051666259765625,1.6273086071014404,-1679061.2769667166,60,0.001,240685712.0,103,1509,59,76.54471588134766,101.41666666666667
6604,-11.40087890625,1.6843756437301636,-1567925.3341306,64,0.001,210951328.0,104,1625,63,905.5043334960938,98.6
6800,-11.931343078613281,1.7082016468048096,-1517424.4708775736,68,0.001,179898272.0,104,1674,65,441.64788818359375,98.38235294117646
7088,-12.331080436706543,1.7457189559936523,-1442756.4113640138,72,0.001,103507760.0,104,1746,67,609.26513671875,95.70833333333333
7172,-12.359872817993164,1.7566496133804321,-1378612.1601428948,76,0.001,102376488.0,104,1767,68,474.77728271484375,93.97368421052632
7340,-12.386571884155273,1.778505563735962,-1317812.3019474498,80,0.001,102516952.0,104,1809,70,1121.292236328125,90.85
7484,-13.188888549804688,1.79728102684021,-1263230.5458521429,84,0.001,100299232.0,104,1845,71,843.260498046875,88.22619047619048
7696,-13.579784393310547,1.8261315822601318,-1213787.8091062726,88,0.001,85384800.0,104,1898,73,1050.647216796875,85.57954545454545
7872,-13.407937049865723,1.850715160369873,-1171223.281585674,92,0.001,66838704.0,104,1942,75,1064.861328125,84.0
