time/episodes,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,train/ent_coef
4,165,82.23921203613281,764,4,-90743.54166675,102.0,92.02513885498047,0.0003,-0.9953620433807373,167,1.045556664466858
8,226,414.23663330078125,1008,6,-92008.55208337499,114.875,101.69473266601562,0.0003,-1.299750566482544,162,1.0639806985855103
12,407,238.96888732910156,1732,10,-94004.76388891666,102.16666666666667,139.71743774414062,0.0003,-2.601576566696167,157,1.1217000484466553
16,690,220.2117156982422,2864,18,-93378.234375,130.3125,181.66000366210938,0.0003,-3.1859190464019775,156,1.213698148727417
20,755,609.9431762695312,3124,19,-94529.0875,137.1,194.7427978515625,0.0003,-3.6098599433898926,156,1.232475757598877
24,851,1039.144287109375,3508,22,-95093.61458333333,122.08333333333333,215.617431640625,0.0003,-4.040313243865967,156,1.2617465257644653
28,979,844.583740234375,4020,25,-94420.27083332143,115.28571428571429,235.33554077148438,0.0003,-4.564375400543213,156,1.3026111125946045
32,1040,1020.0296020507812,4264,27,-94303.00213065626,130.4375,248.1558837890625,0.0003,-4.493339538574219,155,1.3229349851608276
36,1113,805.39404296875,4556,29,-94714.7866161389,122.80555555555556,262.89385986328125,0.0003,-5.389118194580078,155,1.3480970859527588
40,1153,7.007497787475586,4716,30,-95043.05795452501,116.475,270.8765563964844,0.0003,-5.133447170257568,155,1.362183690071106
44,1199,221.2791290283203,4900,31,-95300.53564047728,110.52272727272727,282.5611877441406,0.0003,-5.6692304611206055,155,1.378788709640503
48,1236,825.1064453125,5048,32,-95508.87642043752,104.08333333333333,288.33447265625,0.0003,-5.834121227264404,154,1.3923929929733276
52,1332,416.2029724121094,5432,35,-95700.14073425002,100.11538461538461,305.2513122558594,0.0003,-5.56210994720459,154,1.428540587425232
56,1419,591.7536010742188,5780,37,-96042.45211037502,96.55357142857143,331.45196533203125,0.0003,-6.709285259246826,154,1.4628299474716187
60,1487,7.900082588195801,6052,39,-95990.47613635001,95.45,342.7642822265625,0.0003,-6.932501792907715,153,1.4905362129211426
64,1564,261.1109924316406,6360,41,-95984.87346115625,97.6875,358.5771484375,0.0003,-7.424368858337402,153,1.5223867893218994
68,1703,592.1543579101562,6916,44,-96101.09413991177,95.97058823529412,387.74945068359375,0.0003,-7.628920555114746,153,1.58258056640625
72,1841,612.1964721679688,7468,48,-96084.99168769445,96.90277777777777,419.56231689453125,0.0003,-8.20391845703125,154,1.6450327634811401
76,1934,223.60902404785156,7840,51,-95918.32545851315,98.73684210526316,451.1171875,0.0003,-8.526253700256348,153,1.6888943910598755
80,2093,398.7524108886719,8476,55,-96074.7529355875,103.05,483.78857421875,0.0003,-9.777139663696289,152,1.7670563459396362
84,2194,613.0357666015625,8880,58,-96186.16351008334,102.77380952380952,511.5272521972656,0.0003,-10.260854721069336,153,1.8192260265350342
88,2340,593.49462890625,9464,61,-96172.04812326138,104.63636363636364,543.992919921875,0.0003,-11.227169036865234,153,1.8979295492172241
88,2474,613.677734375,10000,65,-96172.04812326138,104.63636363636364,587.8065185546875,0.0003,-11.421857833862305,153,1.972926139831543
92,2593,458.0701599121094,10476,68,-95948.68008891307,108.8804347826087,583.3468017578125,0.0003,-4.93172550201416,153,2.036189556121826
96,2826,243.6472930908203,11408,74,-95651.065814375,115.0625,512.29931640625,0.0003,6.755033493041992,153,2.002100944519043
100,2973,69.12889099121094,11996,77,-95450.67040402001,115.97,520.3939208984375,0.0003,6.611817359924316,153,1.9455814361572266
104,3074,417.968505859375,12400,80,-95644.09123734999,116.18,515.0739135742188,0.0003,6.32729434967041,153,1.9061574935913086
108,3245,398.10784912109375,13084,84,-95562.20012623999,118.32,505.899169921875,0.0003,6.072305679321289,154,1.8389761447906494
112,3420,262.8732604980469,13784,89,-95369.33762624,120.67,508.50250244140625,0.0003,5.689998626708984,154,1.7697924375534058
116,3497,592.7861938476562,14092,91,-95127.26775445002,119.16,506.61773681640625,0.0003,5.37369441986084,154,1.7393219470977783
120,3627,223.2939910888672,14612,94,-94780.16775445001,116.44,507.32977294921875,0.0003,5.17484188079834,154,1.6880412101745605
124,3822,437.7786560058594,15392,99,-94591.75525445,121.38,507.7537841796875,0.0003,4.61349630355835,154,1.6116474866867065
128,3906,242.90902709960938,15728,101,-94487.48164334001,123.3,501.16229248046875,0.0003,4.406950950622559,154,1.5791431665420532
132,4131,631.276611328125,16628,107,-92056.92596152998,118.48,496.74053955078125,0.0003,3.901791572570801,154,1.4932889938354492
136,4206,9.200516700744629,16928,109,-91650.85096152998,123.85,492.48626708984375,0.0003,3.7424559593200684,154,1.4652334451675415
140,4499,29.305347442626953,18100,116,-91152.93179486,129.34,485.3757019042969,0.0003,2.953733444213867,154,1.358906865119934
144,4729,397.0631408691406,19020,122,-90657.32088576998,137.16,480.2590026855469,0.0003,2.2953133583068848,155,1.2793453931808472
147,4974,28.50094223022461,20000,129,-90362.39406759001,141.2,468.869384765625,0.0003,1.693293809890747,154,1.1988348960876465
148,4982,222.92282104492188,20032,129,-90161.31906759001,142.65,475.55560302734375,0.0003,1.6751160621643066,154,1.196273922920227
152,5155,435.47625732421875,20724,133,-89778.12045648001,150.86,474.9464111328125,0.0003,1.2206361293792725,154,1.1421146392822266
156,5552,416.606201171875,22312,144,-89283.48474219002,156.28,463.1693115234375,0.0003,0.2293284684419632,154,1.026049256324768
160,5853,242.4364471435547,23516,151,-84329.54492089999,176.18,466.00433349609375,0.0003,-0.4951205551624298,155,0.9454653859138489
164,6383,200.91973876953125,25636,164,-83731.99706737,182.28,461.1054992675781,0.0003,-1.658691167831421,155,0.8176381587982178
168,6721,28.997129440307617,26988,172,-82837.63229465,198.08,454.335693359375,0.0003,-2.430698871612549,156,0.7448997497558594
170,7474,629.8336181640625,30000,192,-82643.70979465,203.81,445.3500061035156,0.0003,-3.859377384185791,156,0.6048566699028015
172,7545,495.0979919433594,30284,194,-81275.95365829,222.79,435.6628723144531,0.0003,-3.839167594909668,155,0.5931218266487122
176,8037,455.6579895019531,32252,206,-80910.63199163,237.72,434.51361083984375,0.0003,-4.885017395019531,156,0.5178498029708862
180,8729,240.8358154296875,35020,224,-79439.05865829,256.27,401.8507080078125,0.0003,-6.047403335571289,155,0.42801734805107117
184,9164,221.21559143066406,36760,235,-78748.87365828999,272.77,399.3696594238281,0.0003,-6.938985824584961,156,0.3797556161880493
186,9974,434.4553527832031,40000,255,-78346.51532496001,286.7,418.900146484375,0.0003,-7.394007205963135,156,0.3043931722640991
188,10164,27.895652770996094,40760,260,-76253.04865828999,302.85,390.4947509765625,0.0003,-7.6881608963012695,156,0.28910860419273376
