time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1353,1000.0,47,7.60965601642738e-09,0,0.02,0.05,-29844407.28030169,64000,328529.9375
1376,816.8125,84,2.1084151091699255e-10,1,0.02,0.05,-24293414.613358315,116276,11857247.0
1433,1000.0,125,9.744567819325312e-09,2,0.02,0.05,-29848241.121979564,180276,256553.1875
1471,938.3125,163,3.366310563635011e-10,3,0.02,0.05,-28023422.28410831,240328,7426528.0
1469,1000.0,207,1.0591818977445655e-08,4,0.02,0.05,-29870502.11442294,304328,236031.21875
1430,876.1875,251,2.4634061457362577e-10,5,0.02,0.05,-26099825.254188,360404,10148550.0
1404,815.5,293,2.0887135077085617e-10,6,0.02,0.05,-24312277.943623126,412596,11969090.0
1390,938.375,339,3.376095514262545e-10,7,0.02,0.05,-27900357.816611625,472652,7405004.0
1400,816.6875,374,2.099328627602759e-10,8,0.02,0.05,-24382429.492320437,524920,11908569.0
1413,814.5,408,2.093743650677382e-10,9,0.02,0.05,-24212439.8589725,577048,11940335.0
1428,938.6875,445,3.3589236947406675e-10,10,0.02,0.05,-28041361.65621438,637124,7442860.0
1438,815.125,479,2.0927590216324177e-10,11,0.02,0.05,-24269643.927001376,689292,11945952.0
1447,815.75,512,2.0861917748860037e-10,12,0.02,0.05,-24390287.19168294,741500,11983558.0
1450,938.125,552,3.3648797637120254e-10,13,0.02,0.05,-28002098.409005377,801540,7429685.5
1449,816.25,589,2.0957402480092924e-10,14,0.02,0.05,-24315799.508299686,853780,11928959.0
1441,690.625,623,1.7483170466903175e-10,15,0.02,0.05,-20679613.6986005,897980,14299466.0
1435,816.625,661,2.089935863258674e-10,16,0.02,0.05,-24343654.10518269,950244,11962090.0
1431,876.625,703,2.4710755663903683e-10,17,0.02,0.05,-26143736.1064775,1006348,10117052.0
