time/total_timesteps,train/learning_rate,train/delta_std,rollout/ep_len_mean,train/step_size,rollout/ep_rew_mean,train/iterations,time/time_elapsed,rollout/return_std,time/fps
37540,0.02,0.05,586.5625,5.273988179510525e-08,-55860.625,0,63,47402.45703125,586
59468,0.02,0.05,342.625,6.227037374628708e-08,-77043.75,1,102,40147.50390625,580
82216,0.02,0.05,355.4375,6.91569326249919e-08,-82673.4375,2,139,36149.6640625,588
119556,0.02,0.05,583.4375,5.435887473481671e-08,-67311.25,3,201,45990.6484375,593
156520,0.02,0.05,577.5625,5.306008787897554e-08,-48720.0,4,263,47116.39453125,594
208864,0.02,0.05,817.875,6.683303155341491e-08,-25373.4375,5,350,37406.65234375,596
260320,0.02,0.05,804.0,5.8613760955950056e-08,-31169.21875,6,435,42652.09765625,597
316776,0.02,0.05,882.125,6.352846071422391e-08,-25439.375,7,528,39352.4375,599
376868,0.02,0.05,938.9375,1.0480520273858929e-07,-13491.09375,8,627,23853.77734375,600
431332,0.02,0.05,851.0,6.48805880132386e-08,-22552.71875,9,716,38532.328125,601
482712,0.02,0.05,802.8125,5.893966559256114e-08,-29380.46875,10,801,42416.25390625,602
542428,0.02,0.05,933.0625,8.06546722742496e-08,-20559.6875,11,900,30996.345703125,602
601352,0.02,0.05,920.6875,7.614985264581264e-08,-17255.2083333125,12,998,32830.00390625,602
660496,0.02,0.05,924.125,8.530032147291422e-08,-19546.0416666875,13,1096,29308.2109375,602
718176,0.02,0.05,901.25,7.062912743549532e-08,-24550.625,14,1196,35396.16015625,600
770996,0.02,0.05,825.3125,6.05396053288132e-08,-29151.875,15,1283,41295.28125,600
828680,0.02,0.05,901.3125,5.8542564573826894e-08,-32381.40625,16,1382,42703.97265625,599
887216,0.02,0.05,914.625,7.802828605463219e-08,-17381.5104166875,17,1486,32039.6640625,596
942716,0.02,0.05,867.1875,6.546574837784647e-08,-30339.8958333125,18,1578,38187.91015625,597
993968,0.02,0.05,800.8125,6.641688088393494e-08,-31016.25,19,1663,37641.03125,597
1053040,0.02,0.05,923.0,6.970322630195369e-08,-25329.21875,20,1761,35866.34375,597
1115500,0.02,0.05,975.9375,1.1483975725923301e-07,-14701.71875,21,1864,21769.46484375,598
1170144,0.02,0.05,853.8125,5.934404256890957e-08,-33535.625,22,1964,42127.2265625,595
1233232,0.02,0.05,985.75,9.933216915669618e-08,-14598.4375,23,2070,25168.080078125,595
1291744,0.02,0.05,914.25,6.447334044423769e-08,-30501.4583333125,24,2166,38775.71484375,596
1355744,0.02,0.05,1000.0,3.9156452658062335e-07,-7038.4375,25,2273,6384.6435546875,596
1418316,0.02,0.05,977.6875,7.452148054198915e-08,-22275.625,26,2377,33547.37109375,596
1479184,0.02,0.05,951.0625,8.315367949762731e-08,-20980.3125,27,2481,30064.814453125,596
1540884,0.02,0.05,964.0625,1.0470235878301537e-07,-15236.40625,28,2584,23877.208984375,596
1604884,0.02,0.05,1000.0,5.51739219645242e-07,-8387.65625,29,2689,4531.1259765625,596
1659468,0.02,0.05,852.875,5.968283289803367e-08,-31821.875,30,2779,41888.08984375,596
1721740,0.02,0.05,973.0,6.292503229587965e-08,-28478.125,31,2884,39729.8125,596
1780400,0.02,0.05,916.5625,8.503208448473742e-08,-18663.4375,32,2981,29400.666015625,597
1841648,0.02,0.05,957.0,1.1799668442336042e-07,-14260.46875,33,3090,21187.03515625,595
1902716,0.02,0.05,954.1875,7.43968726624189e-08,-20957.65625,34,3205,33603.5625,593
1964436,0.02,0.05,964.375,1.2350140821126843e-07,-12898.072916625002,35,3328,20242.685546875,590
2021516,0.02,0.05,891.875,7.963538450894703e-08,-18052.7083333125,36,3428,31393.080078125,589
