train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
99,375,1.1920928955078125e-07,-95404.03846157143,-8.503813743591309,0.9983781576156616,-195.70652770996094,125.35714285714286,5,2000,0.0007,100,780.5722045898438
199,375,0.0002658367156982422,-95579.78583918182,-8.476106643676758,0.9940254092216492,-143.6298370361328,164.4090909090909,10,4000,0.0007,200,536.0465087890625
299,377,-3.5762786865234375e-07,-95680.25103951352,-8.484725952148438,0.9952596426010132,-130120.640625,154.16216216216216,15,6000,0.0007,300,1469943040.0
399,376,8.374452590942383e-05,-96150.99593196154,-8.485018730163574,0.995518684387207,-234.09829711914062,149.73076923076923,21,8000,0.0007,400,1008.3616333007812
499,374,4.357099533081055e-05,-96641.08872166666,-8.493608474731445,0.9968327283859253,-189.79408264160156,140.1014492753623,26,10000,0.0007,500,757.4055786132812
599,375,4.553794860839844e-05,-96647.36361775294,-8.508041381835938,0.9991540908813477,-192.2369384765625,136.1764705882353,31,12000,0.0007,600,750.9616088867188
699,374,2.8014183044433594e-06,-96423.91907509002,-8.534071922302246,1.0037152767181396,-233.32107543945312,134.37,37,14000,0.0007,700,983.5419311523438
799,373,0.0,-97043.86619047001,-8.535155296325684,1.0037248134613037,-242.5127410888672,110.86,42,16000,0.0007,800,975.5912475585938
899,371,0.0,-97361.10119047001,-8.575662612915039,1.0105078220367432,-243.0179443359375,111.46,48,18000,0.0007,900,966.5806884765625
999,370,0.0,-97537.45119047,-8.563887596130371,1.008652687072754,-235.254150390625,118.88,53,20000,0.0007,1000,957.2971801757812
1099,370,5.120038986206055e-05,-97472.94119047001,-8.54093074798584,1.0050573348999023,-127.63896942138672,135.25,59,22000,0.0007,1100,486.5210876464844
1199,370,0.0,-98007.675,-8.545099258422852,1.005362868309021,-240.5603790283203,140.19,64,24000,0.0007,1200,940.2388916015625
1299,369,0.0,-98209.05277778,-8.53525447845459,1.0036534070968628,-245.1995086669922,138.97,70,26000,0.0007,1300,931.8078002929688
1399,369,0.0,-98604.81777778,-8.541144371032715,1.0041770935058594,-205.48008728027344,148.68,75,28000,0.0007,1400,701.2289428710938
1499,369,0.0,-98478.84527778,-8.55778980255127,1.007951021194458,-169.02561950683594,157.9,81,30000,0.0007,1500,695.00390625
1599,370,0.0,-98537.44527778,-8.576168060302734,1.0105819702148438,-141.33425903320312,166.92,86,32000,0.0007,1600,469.7899475097656
1699,371,0.0001131296157836914,-98489.99527777999,-8.5728759765625,1.0100873708724976,-140.66690063476562,174.8,91,34000,0.0007,1700,464.9794006347656
