time/fps,train/step_size,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,time/total_timesteps
278,1.4684422922073281e-07,-75107.8125,316.5625,72,0,0.05,41710.8671875,0.049,20260
273,1.3345466243208648e-07,-46676.71875,680.8125,233,1,0.05,45895.734375,0.049,63832
271,1.3474982551997527e-07,-43993.28125,716.9375,403,2,0.05,45454.6015625,0.049,109716
272,1.5998251967630495e-07,-29165.46875,761.3125,580,3,0.05,38285.4296875,0.049,158440
272,1.7341923808089632e-07,-24965.78125,859.1875,781,4,0.05,35319.03515625,0.049,213428
272,1.337502766318721e-07,-60013.541666687495,631.125,931,5,0.05,45794.296875,0.049,253820
272,1.657002854926759e-07,-27145.0,902.5,1144,6,0.05,36964.328125,0.049,311580
272,1.327918965898789e-07,-36635.9375,818.875,1335,7,0.05,46124.80078125,0.049,363988
272,1.6598438890014222e-07,-26355.625,823.25,1529,8,0.05,36901.05859375,0.049,416676
272,1.994428799889647e-07,-21235.78125,945.0625,1754,9,0.05,30710.544921875,0.049,477160
271,2.6711441591942275e-07,-15031.875,940.75,1977,10,0.05,22930.248046875,0.049,537368
271,1.9433898046372633e-07,-21531.25,903.25,2194,11,0.05,31517.091796875,0.049,595176
271,1.4410967708045064e-07,-37491.458333312505,824.1875,2389,12,0.05,42502.34765625,0.049,647924
271,1.5384983953481424e-07,-32172.1875,844.0625,2590,13,0.05,39811.546875,0.049,701944
271,2.42715969989149e-07,-14900.9375,991.625,2823,14,0.05,25235.255859375,0.049,765408
271,2.3655199754557543e-07,-14913.333333312501,999.6875,3058,15,0.05,25892.826171875,0.049,829388
271,3.0124184036139923e-07,-15083.125,946.0,3282,16,0.05,20332.5,0.049,889932
271,2.535071246256848e-07,-14854.6875,963.4375,3510,17,0.05,24161.0546875,0.049,951592
270,1.2939224802721583e-07,-45460.625,859.125,3723,18,0.05,47336.68359375,0.049,1006576
269,1.7806587493396364e-07,-25977.5,848.9375,3940,19,0.05,34397.3828125,0.049,1060908
268,2.716487301768211e-07,-15636.875,938.75,4176,20,0.05,22547.5,0.049,1120988
268,49000.0,-10000.0,1000.0,4413,21,0.05,0.0,0.049,1184988
268,49000.0,-10000.0,1000.0,4650,22,0.05,0.0,0.049,1248988
268,49000.0,-10000.0,1000.0,4887,23,0.05,0.0,0.049,1312988
268,49000.0,-10000.0,1000.0,5123,24,0.05,0.0,0.049,1376988
268,49000.0,-10000.0,1000.0,5361,25,0.05,0.0,0.049,1440988
268,49000.0,-10000.0,1000.0,5598,26,0.05,0.0,0.049,1504988
268,49000.0,-10000.0,1000.0,5835,27,0.05,0.0,0.049,1568988
268,49000.0,-10000.0,1000.0,6073,28,0.05,0.0,0.049,1632988
268,49000.0,-10000.0,1000.0,6310,29,0.05,0.0,0.049,1696988
268,49000.0,-10000.0,1000.0,6548,30,0.05,0.0,0.049,1760988
268,2.4593452963017626e-07,-16226.25,997.6875,6784,31,0.05,24905.0,0.049,1824840
268,1.8158659997880022e-07,-22343.75,984.5,7018,32,0.05,33730.4609375,0.049,1887848
268,49000.0,-10000.0,1000.0,7256,33,0.05,0.0,0.049,1951848
268,49000.0,-10000.0,1000.0,7494,34,0.05,0.0,0.049,2015848
