time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
28,231.46,458752,2441,-101172.2875,187,-10.764524110034108,0.06988525390625,0.2,0.0011,209177328.0,270,465683213.334375,1.4704704284667969,-0.0006406946131392033,0.0,0.007149079
29,236.0,475136,2529,-100298.95138889,187,-10.868907092511654,0.071759033203125,0.2,0.0011,410889664.0,280,490752739.54375,1.4954851865768433,-0.0005959111320407828,0.0,0.006830884
30,259.57,491520,2617,-100723.41388889,187,-10.94684571698308,0.075701904296875,0.2,0.0011,387182528.0,290,453622225.4375,1.5129992961883545,-0.00038936310702410994,0.0,0.00797246
31,287.12,507904,2705,-100909.075,187,-11.06279297284782,0.10628662109375,0.2,0.0011,248528048.0,300,397161350.45,1.5454204082489014,-0.00013037801145401317,0.0,0.010507415
32,279.45,524288,2794,-100406.1775,187,-11.192931149899959,0.12899169921875,0.2,0.0011,144164400.0,310,379151007.0046875,1.5817902088165283,0.001976284918418969,0.0,0.011531993
33,245.97,540672,2882,-101223.1875,187,-11.296259953081607,0.066107177734375,0.2,0.0011,399899936.0,320,415048597.8804687,1.6050952672958374,-0.00035355454092496076,0.0,0.006598309
34,253.65,557056,2970,-100767.2625,187,-11.390542862191797,0.077264404296875,0.2,0.0011,166752640.0,330,452533165.4734375,1.6312901973724365,6.186181672092061e-05,0.0,0.008558978
35,253.25,573440,3058,-100253.96055556,187,-11.518121553584933,0.08299560546875,0.2,0.0011,403654784.0,340,437183777.49375,1.6716989278793335,-0.0012019512947517796,0.0,0.009825598
36,241.76,589824,3146,-100031.42055555999,187,-11.656131426244974,0.162176513671875,0.2,0.0011,369692832.0,350,416247653.6125,1.705514669418335,0.0020660711023083424,0.0,0.010623474
37,195.33,606208,3234,-99610.83611111,187,-11.742735781148076,0.092388916015625,0.2,0.0011,246286096.0,360,463524105.3953125,1.7305949926376343,0.00038031749918445714,0.0,0.0082747955
38,217.36,622592,3322,-100206.44182539999,187,-11.832507779449225,0.057269287109375,0.2,0.0011,624819904.0,370,536650217.771875,1.758022665977478,-0.0016435444753369667,0.0,0.0058390656
39,261.74,638976,3410,-100244.76571429,187,-11.946570474281907,0.08682861328125,0.2,0.0011,67779440.0,380,440736620.571875,1.791662573814392,-0.0006413014278223272,0.0,0.0072269505
40,226.5,655360,3498,-100402.36,187,-12.043276214227081,0.120135498046875,0.2,0.0011,227640512.0,390,395050200.2296875,1.820361852645874,0.002081627469306113,-3.612041473388672e-05,0.008044813
41,232.32,671744,3586,-100566.53611111,187,-12.132171441614627,0.06605224609375,0.2,0.0011,475608448.0,400,482150895.0625,1.8502705097198486,-0.0014574385815649294,0.0,0.0074251024
42,243.5,688128,3674,-99324.87083334001,187,-12.254388735070824,0.085064697265625,0.2,0.0011,514893376.0,410,410930520.0296875,1.8924508094787598,-0.00041959663249144794,5.543231964111328e-05,0.013029432
