time/episodes,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,train/ent_coef
4,50,199.03370666503906,304,1,-93013.125,58.0,63.91608428955078,0.0003,-0.19713562726974487,194,1.0111240148544312
8,107,218.36294555664062,532,3,-96701.5625,49.0,73.27201843261719,0.0003,-0.3679742217063904,171,1.022473931312561
12,181,803.67578125,828,5,-97165.0,53.166666666666664,86.49681091308594,0.0003,-0.7227861285209656,161,1.0396565198898315
16,333,804.137939453125,1436,8,-96886.09375,68.5625,106.9931640625,0.0003,-1.302687406539917,159,1.080500841140747
20,409,589.4442138671875,1740,11,-97264.9375,81.05,120.6893310546875,0.0003,-1.7334797382354736,156,1.1025574207305908
24,482,999.3190307617188,2032,13,-97001.52199075,82.5,132.12152099609375,0.0003,-1.9810547828674316,155,1.1247680187225342
28,567,1038.87109375,2372,15,-96819.38492064286,82.0,148.226318359375,0.0003,-2.5536088943481445,153,1.1513928174972534
32,694,980.4976196289062,2880,18,-96988.3680555625,81.25,170.44503784179688,0.0003,-2.841723680496216,152,1.1934057474136353
36,810,200.96592712402344,3344,22,-96899.34799383333,85.69444444444444,193.091796875,0.0003,-3.5967040061950684,151,1.2339144945144653
40,966,415.5635986328125,3968,26,-97318.41319445,88.125,223.39878845214844,0.0003,-4.1007537841796875,152,1.2906098365783691
44,1054,221.02978515625,4320,28,-97710.83017677272,95.06818181818181,245.9978790283203,0.0003,-5.091079235076904,152,1.3237394094467163
48,1140,396.7712707519531,4664,30,-97976.59432870832,94.72916666666667,265.6363830566406,0.0003,-5.2513017654418945,152,1.3571442365646362
52,1237,981.3392333984375,5052,33,-98189.35630342308,93.23076923076923,286.0331726074219,0.0003,-5.572266578674316,152,1.3963348865509033
56,1297,416.9494323730469,5292,34,-98185.02728175,91.82142857142857,300.6990966796875,0.0003,-6.0138702392578125,152,1.4209436178207397
60,1431,981.5450439453125,5828,38,-98026.8888889,91.68333333333334,329.55035400390625,0.0003,-6.513598442077637,151,1.4778865575790405
64,1532,203.57125854492188,6232,41,-98117.12820513848,93.93846153846154,356.2394714355469,0.0003,-7.010621070861816,151,1.5225952863693237
68,1636,456.7686462402344,6648,43,-97953.54166667648,95.07352941176471,383.321044921875,0.0003,-7.798351287841797,151,1.569977879524231
72,1746,398.9453430175781,7088,46,-97976.3483796389,95.19444444444444,410.69940185546875,0.0003,-8.045108795166016,151,1.621751308441162
76,1835,1001.9517822265625,7444,48,-98003.26754386844,96.46052631578948,434.7930908203125,0.0003,-8.88216495513916,152,1.6649307012557983
80,1988,206.1861572265625,8056,52,-98030.83854167501,97.2125,476.70452880859375,0.0003,-9.898365020751953,152,1.7421437501907349
84,2092,789.5951538085938,8472,55,-98048.41765873811,97.25,506.772705078125,0.0003,-9.452066421508789,152,1.7971985340118408
88,2149,1217.0533447265625,8700,57,-98187.80776515907,97.94318181818181,523.4375610351562,0.0003,-9.774124145507812,152,1.8278083801269531
92,2219,984.44970703125,8980,59,-98186.51721015216,96.83695652173913,546.0231323242188,0.0003,-10.213939666748047,151,1.8662983179092407
96,2337,596.6973876953125,9452,62,-98292.70399306249,95.90625,554.2743530273438,0.0003,-7.4853925704956055,151,1.921063780784607
100,2482,229.10342407226562,10032,66,-98389.09583333999,94.92,590.9932250976562,0.0003,-7.493710994720459,151,1.9808337688446045
104,2617,233.14532470703125,10572,69,-98452.03333333999,101.74,636.125,0.0003,-8.213899612426758,151,2.0406970977783203
108,2698,215.65176391601562,10896,72,-98469.83333334,103.52,674.392578125,0.0003,-8.760357856750488,151,2.078451633453369
112,2851,815.53076171875,11508,76,-98377.75833334,105.38,702.35009765625,0.0003,-8.535249710083008,151,2.15347957611084
116,2912,798.2644653320312,11752,77,-98583.18333333998,105.57,723.076904296875,0.0003,-9.225515365600586,151,2.1845552921295166
120,3019,219.24156188964844,12180,80,-98652.67083333999,102.44,756.5733642578125,0.0003,-8.872350692749023,151,2.2415740489959717
124,3192,812.087646484375,12872,84,-98571.62222222998,105.93,733.302978515625,0.0003,-0.6799960732460022,152,2.2850563526153564
128,3307,608.2742309570312,13332,87,-98382.24722222998,109.38,757.7251586914062,0.0003,1.8835893869400024,152,2.2908935546875
132,3543,247.1670684814453,14276,93,-98310.90972222999,112.34,770.9803466796875,0.0003,3.569115161895752,152,2.2353501319885254
136,3757,638.2465209960938,15132,99,-98541.42222222999,115.33,795.72314453125,0.0003,2.866318941116333,152,2.1818418502807617
140,3895,620.19580078125,15684,102,-98137.93472222998,116.93,817.6890258789062,0.0003,3.0089969635009766,152,2.1471431255340576
144,4023,238.01576232910156,16196,106,-97535.13472222998,118.57,822.545654296875,0.0003,2.629528045654297,152,2.115870237350464
148,4224,424.2796325683594,17000,111,-97142.38722222998,121.87,832.2529907226562,0.0003,2.5837607383728027,152,2.067948579788208
152,4354,429.6041259765625,17520,114,-97067.08722223001,124.48,873.781494140625,0.0003,2.0882043838500977,152,2.0383963584899902
156,4470,86.4361801147461,17984,117,-97083.28722222999,126.1,863.8125610351562,0.0003,2.0095367431640625,152,2.0127205848693848
160,4660,443.23052978515625,18744,122,-97099.08166667,129.91,938.2391357421875,0.0003,1.9922735691070557,152,1.972489595413208
164,4810,468.47186279296875,19344,126,-96690.00923077,130.79,921.8058471679688,0.0003,1.7411541938781738,152,1.9425619840621948
168,4953,427.25836181640625,19916,130,-96805.10923077,132.09,908.8880615234375,0.0003,1.543884515762329,152,1.9145545959472656
172,5074,660.6402587890625,20400,133,-96614.5300641,133.55,987.6514892578125,0.0003,0.832686722278595,152,1.8924970626831055
176,5201,1044.1358642578125,20908,137,-96417.1575641,133.84,1040.0618896484375,0.0003,0.9802888631820679,152,1.8701980113983154
180,5266,270.8832092285156,21168,139,-96407.39506409998,132.68,1011.276123046875,0.0003,0.9816303253173828,152,1.8584539890289307
184,5381,677.7072143554688,21628,142,-96489.89506409998,130.65,1039.334716796875,0.0003,1.0661611557006836,152,1.8373578786849976
188,5471,260.5731201171875,21988,144,-96292.62006409999,132.06,973.5576782226562,0.0003,1.25154709815979,152,1.8212156295776367
192,5621,496.2877197265625,22588,148,-96397.19506409999,132.29,1096.8973388671875,0.0003,0.6691972017288208,152,1.796114444732666
196,5682,644.9378662109375,22832,150,-96218.9700641,134.99,1002.7469482421875,0.0003,1.2852411270141602,152,1.7858784198760986
200,5835,465.34674072265625,23444,154,-95934.22423076998,136.68,1030.123046875,0.0003,0.9766011238098145,152,1.7594951391220093
204,5998,484.1490783691406,24096,158,-95979.13673076998,131.25,1021.861572265625,0.0003,0.962801992893219,152,1.7326432466506958
208,6134,126.30853271484375,24640,161,-95909.56173076999,135.08,1101.7215576171875,0.0003,0.831339418888092,152,1.7087255716323853
212,6246,315.4635009765625,25088,164,-95927.12423076999,137.23,1165.20166015625,0.0003,0.6915526986122131,152,1.6905335187911987
216,6410,497.1685485839844,25744,169,-95828.49923076999,137.9,1294.75634765625,0.0003,0.21997448801994324,152,1.6607518196105957
220,6595,1262.67431640625,26484,174,-95674.32923076999,143.17,1200.683349609375,0.0003,0.5149489045143127,152,1.6294591426849365
224,6724,532.8986206054688,27000,177,-95667.1875641,142.12,1301.81494140625,0.0003,0.7152196764945984,152,1.6075406074523926
228,6855,345.64141845703125,27524,181,-95762.6750641,139.71,1290.584228515625,0.0003,0.18455712497234344,152,1.5847971439361572
232,7024,85.67296600341797,28200,185,-95736.2225641,138.11,1109.98095703125,0.0003,0.7021743059158325,152,1.5551286935806274
236,7144,732.2611694335938,28680,188,-95400.86506409998,138.37,1292.9217529296875,0.0003,0.07798267900943756,152,1.5340975522994995
240,7283,645.834228515625,29236,192,-95695.52756409999,136.29,1384.823974609375,0.0003,0.46591565012931824,151,1.512957215309143
244,7473,843.5722045898438,29996,197,-95779.27756409999,134.27,1199.1549072265625,0.0003,0.32518553733825684,151,1.4869296550750732
248,8013,357.0400085449219,32156,211,-96209.72506409998,134.74,1329.586669921875,0.0003,0.20785944163799286,152,1.425704836845398
252,8181,538.5430297851562,32828,216,-95206.51256409999,146.36,1497.9298095703125,0.0003,0.34203243255615234,151,1.4136567115783691
256,8510,899.1548461914062,34144,224,-95143.3750641,157.65,1607.2354736328125,0.0003,-0.2573341131210327,151,1.4063856601715088
260,8639,345.6420593261719,34660,228,-95287.77506409999,159.71,1398.119384765625,0.0003,0.030401214957237244,151,1.4065468311309814
264,9159,722.8884887695312,36740,241,-95699.0225,170.7,1694.8876953125,0.0003,-0.021718643605709076,151,1.443237066268921
268,9470,505.76043701171875,37984,250,-95661.0225,176.93,1473.6104736328125,0.0003,-0.16896489262580872,151,1.4974706172943115
272,9877,435.735595703125,39612,260,-95713.48916667,185.78,1987.906005859375,0.0003,-0.10455076396465302,151,1.602631688117981
276,10616,249.7254638671875,42568,279,-95790.96166666999,206.31,2177.46630859375,0.0003,-0.4400652050971985,152,1.887511134147644
280,11424,670.0123901367188,45800,301,-95818.9325,232.73,2283.29345703125,0.0003,-0.5306253433227539,152,2.232598066329956
284,12424,405.49591064453125,49800,327,-93769.7575,266.0,1875.228759765625,0.0003,1.9782099723815918,152,1.5982186794281006
288,13424,472.8381652832031,53800,353,-90322.4325,300.09,2671.56494140625,0.0003,0.39434003829956055,151,1.1608424186706543
292,14424,235.0872802734375,57800,380,-86691.5325,336.96,2303.1044921875,0.0003,-0.3260367810726166,151,0.8935762643814087
296,15424,457.3827209472656,61800,406,-83240.3575,371.28,2997.929931640625,0.0003,-0.3539302945137024,152,0.7115128040313721
300,16118,454.2609558105469,64576,424,-80844.30333333001,401.48,2890.6455078125,0.0003,-0.5296597480773926,152,0.6192403435707092
