time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
1,101.6,16384,58,-98772.91666666999,282,,,,,,,,,,,
2,123.14,32768,142,-97913.91666666999,230,-8.541864297166466,0.027447509765625,0.2,0.0011,1019842240.0,10,1295446415.9125,1.0085220336914062,-0.0030742402854230023,-1.6689300537109375e-06,0.00416101
3,120.66,49152,225,-98773.90416666999,218,-8.597332422062754,0.023345947265625,0.2,0.0011,613124416.0,20,1041002335.125,1.0180225372314453,-0.003477807083800144,1.7881393432617188e-07,0.00429436
4,144.96,65536,307,-98370.95369047999,212,-8.65919555388391,0.026483154296875,0.2,0.0011,622254464.0,30,1031386945.325,1.0297414064407349,-0.00280016884298675,-9.5367431640625e-07,0.0039142505
5,166.98,81920,392,-97777.04166666999,208,-8.744353828579188,0.022906494140625,0.2,0.0011,541521280.0,40,845230164.30625,1.0464885234832764,-0.0025613426476411407,-6.67572021484375e-06,0.0042341794
6,164.52,98304,476,-97138.80000000999,206,-8.848972333595157,0.025885009765625,0.2,0.0011,547069376.0,50,709651709.265625,1.0658173561096191,-0.002661835602521023,0.0,0.0039944006
7,176.99,114688,559,-98388.26666667,204,-8.946862068772315,0.023687744140625,0.2,0.0011,668348864.0,60,747910678.85625,1.0819038152694702,-0.0023756715087074553,-2.384185791015625e-07,0.003953345
8,174.1,131072,644,-98196.17,203,-9.032843394950032,0.01478271484375,0.2,0.0011,401574560.0,70,691833393.578125,1.0973153114318848,-0.0014114982612227322,0.0,0.0035794778
9,190.46,147456,727,-97872.56833333001,202,-9.117393246293068,0.022076416015625,0.2,0.0011,247968656.0,80,664504228.9125,1.1118295192718506,-0.0024117268329064247,0.0,0.004135493
10,195.61,163840,810,-98150.6125,202,-9.2124167278409,0.02313232421875,0.2,0.0011,255354720.0,90,632508769.715625,1.132203459739685,-0.002380807178633404,0.0,0.0042395117
11,203.73,180224,893,-97616.945,201,-9.307571448758244,0.033197021484375,0.2,0.0011,238345744.0,100,586985569.921875,1.1477195024490356,-0.0029624866303493034,-2.384185791015625e-07,0.0050968896
12,228.86,196608,976,-96535.755,201,-9.396747176349162,0.030621337890625,0.2,0.0011,441759360.0,110,567986642.321875,1.1665173768997192,-0.0026325619237468345,-1.1920928955078125e-07,0.004684359
13,210.96,212992,1059,-97702.35833333,200,-9.496010149642824,0.034649658203125,0.2,0.0011,290280320.0,120,532797256.3203125,1.186168909072876,-0.0034025524593744192,-1.1920928955078125e-07,0.0054135476
14,225.84,229376,1142,-97735.93523809999,200,-9.607194938510656,0.031195068359375,0.2,0.0011,560750592.0,130,590585609.090625,1.2098652124404907,-0.003161029652073921,0.0,0.004956235
15,242.81,245760,1225,-98570.54357143,200,-9.72099319472909,0.0356201171875,0.2,0.0011,340427936.0,140,543911173.125,1.2321066856384277,-0.0024944297252659452,-5.602836608886719e-06,0.0052154884
16,233.62,262144,1308,-98309.175,200,-9.838262312114239,0.029302978515625,0.2,0.0011,306131680.0,150,476899619.8171875,1.2586688995361328,-0.0021253036815323868,0.0,0.004823688
17,250.45,278528,1390,-96674.59738096001,200,-9.97469310797751,0.04083251953125,0.2,0.0011,545593088.0,160,510041514.5484375,1.2875795364379883,-0.002677747326924873,1.7881393432617188e-07,0.0056846403
18,231.05,294912,1473,-98074.38000001,200,-10.119795831665396,0.04619140625,0.2,0.0011,91543032.0,170,436403739.18828124,1.3185480833053589,-0.0022540148467669495,0.0,0.006318835
19,232.88,311296,1556,-98962.13666666999,200,-10.222131575644017,0.038104248046875,0.2,0.0011,277943232.0,180,526748042.7265625,1.3367691040039062,-0.003143511824964662,0.0,0.0047627473
20,249.75,327680,1638,-98727.93333333,199,-10.312292091175914,0.041619873046875,0.2,0.0011,244059456.0,190,471156205.08125,1.3596019744873047,-0.0027529625956958627,0.0,0.00596824
21,260.59,344064,1722,-98061.95833333001,199,-10.419001489505172,0.0394287109375,0.2,0.0011,131067872.0,200,443532199.8125,1.3833739757537842,-0.0023401079393806866,5.960464477539063e-08,0.0049846447
22,277.15,360448,1805,-97561.53333333001,199,-10.533265901729465,0.053173828125,0.2,0.0011,180233200.0,210,429612433.4796875,1.412257194519043,-0.0021162861459742997,0.0,0.00691944
23,309.02,376832,1887,-96662.96904762,199,-10.649284049868584,0.0427490234375,0.2,0.0011,434645344.0,220,404856042.3328125,1.4368127584457397,-0.001723786902584834,0.0,0.005220929
24,310.53,393216,1969,-96455.30833335,199,-10.778374989330768,0.14937744140625,0.2,0.0011,102177024.0,230,323717682.98164064,1.4600166082382202,0.0027756512847190605,0.0,0.019087963
25,313.21,409600,2052,-95904.52738095999,199,-10.856802915036678,0.07274169921875,0.2,0.0011,194887168.0,240,396446337.828125,1.491503119468689,-0.0009885602259601001,0.0,0.0064887735
26,159.43,425984,2135,-95030.10535714001,199,-11.048312234133482,0.34742431640625,0.2,0.0011,301744192.0,250,313977722.9476563,1.5472371578216553,0.04118513210451056,0.0,0.071014255
27,144.71,442368,2219,-96770.39190477,199,-11.14565342105925,0.012158203125,0.2,0.0011,710062720.0,260,708170723.271875,1.5571162700653076,-0.002053914726275252,0.0,0.0033088804
28,143.28,458752,2301,-96545.14761905,199,-11.186966714262962,0.021038818359375,0.2,0.0011,283210496.0,270,747782044.646875,1.5682427883148193,-0.002760057228442747,0.0,0.0040422147
29,173.53,475136,2383,-96569.625,199,-11.256214395165443,0.021173095703125,0.2,0.0011,728247488.0,280,744286766.31875,1.591486930847168,-0.002624764670144941,0.0,0.0038147438
30,163.72,491520,2465,-97495.40452380001,199,-11.362890745326876,0.033660888671875,0.2,0.0011,727229632.0,290,600669716.628125,1.6201000213623047,-0.002933303144891397,0.0,0.005342323
31,173.29,507904,2547,-97341.155,199,-11.457491939514876,0.02735595703125,0.2,0.0011,331028960.0,300,660837105.184375,1.6447582244873047,-0.0018225958872790215,5.960464477539063e-08,0.0044575157
32,174.77,524288,2630,-96203.8002381,199,-11.554727736487985,0.032244873046875,0.2,0.0011,274447808.0,310,639094171.865625,1.6723836660385132,-0.0024230524473750847,1.7881393432617188e-07,0.0047340035
33,198.78,540672,2713,-96951.26690476,199,-11.675988616794347,0.038763427734375,0.2,0.0011,199390256.0,320,601127129.9046875,1.7101259231567383,-0.0029490365539459164,1.1920928955078125e-07,0.00609402
34,221.12,557056,2795,-97053.02642857,199,-11.802433882653713,0.042095947265625,0.2,0.0011,501226336.0,330,547646375.503125,1.7454228401184082,-0.0025957410422051907,0.0,0.006195227
35,198.87,573440,2880,-97271.20833333001,199,-11.93335562311113,0.05234375,0.2,0.0011,483513760.0,340,478761077.390625,1.7809804677963257,-0.001756043095701898,0.0,0.0071682064
36,233.7,589824,2962,-96852.54095238,199,-12.033647902682423,0.04266357421875,0.2,0.0011,344420896.0,350,542291124.215625,1.8113746643066406,-0.0028288054547374484,1.1920928955078125e-07,0.005811284
37,252.65,606208,3044,-96521.59833333001,199,-12.147066319361329,0.091436767578125,0.2,0.0011,448598112.0,360,400178398.6765625,1.8461737632751465,-0.0009138304410953424,0.0,0.007326887
