time/episodes,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
4,5.027600288391113,1860.107421875,-236494.818075,0.0003,2,52,36.5,140,312,-0.20967084169387817,0.9860707521438599
8,53.21449661254883,2157.138671875,-263322.3581671111,0.0003,4,122,49.111111111111114,124,592,-0.54350745677948,0.9645313024520874
12,146.82171630859375,2279.939453125,-265169.4753465,0.0003,5,143,51.666666666666664,122,676,-0.6400049924850464,0.9582841992378235
16,1088.1578369140625,2952.58056640625,-236165.4305841875,0.0003,7,206,43.6875,120,928,-0.7509768009185791,0.9409005045890808
20,3771.02294921875,3692.08837890625,-382800.1084214,0.0003,9,268,50.55,117,1176,-0.9445472359657288,0.9252663850784302
24,7670.87841796875,3137.893798828125,-529272.152896625,0.0003,11,328,50.5,119,1416,-0.7746680378913879,0.9140122532844543
28,8782.091796875,4433.8876953125,-470093.1852506428,0.0003,12,340,43.857142857142854,119,1464,-0.48955750465393066,0.9119691252708435
32,13694.625,3455.7705078125,-657444.0563726563,0.0003,14,399,50.90625,119,1700,-0.5136981010437012,0.9058787226676941
36,22678.916015625,4292.0400390625,-807568.8250776388,0.0003,18,534,54.388888888888886,119,2240,-0.22880718111991882,0.9007377028465271
40,24914.0,4357.216796875,-937075.52766215,0.0003,20,575,57.525,119,2404,0.2090473771095276,0.8981437087059021
44,25911.484375,4720.42529296875,-861883.2272796136,0.0003,20,587,52.56818181818182,119,2452,0.6602352857589722,0.8986430168151855
48,26741.27734375,4595.0068359375,-810227.313481694,0.0003,20,596,48.6530612244898,119,2488,0.8228099942207336,0.8998144268989563
52,27290.70703125,4577.2607421875,-757371.8131615851,0.0003,21,602,45.20754716981132,119,2512,0.8953243494033813,0.9009057879447937
56,27704.453125,4835.02587890625,-711934.9855600001,0.0003,21,608,42.24561403508772,119,2536,0.9555586576461792,0.9021824598312378
60,27975.58203125,4563.05517578125,-672456.5644927706,0.0003,21,614,39.67213114754098,119,2560,1.0116477012634277,0.9036115407943726
64,28272.78515625,4914.97998046875,-637837.3800289999,0.0003,21,620,37.41538461538462,119,2584,0.9889206886291504,0.9051442742347717
68,28974.67578125,4892.8251953125,-607231.5118529565,0.0003,21,626,35.42028985507246,119,2608,0.986298680305481,0.9067496657371521
72,29338.044921875,5040.32080078125,-579979.8377829451,0.0003,22,632,33.64383561643836,119,2632,0.8709604740142822,0.9083972573280334
76,30273.91015625,4687.29736328125,-555559.4621833506,0.0003,22,638,32.05194805194805,119,2656,0.9511407017707825,0.910069465637207
80,29709.923828125,5182.57763671875,-533551.5039379506,0.0003,22,644,30.617283950617285,119,2680,0.9215707182884216,0.9117653369903564
84,31025.703125,5047.09814453125,-513614.4092726706,0.0003,22,650,29.31764705882353,119,2704,0.9322031736373901,0.9134789109230042
88,31433.86328125,4817.7880859375,-495469.89969794377,0.0003,22,656,28.134831460674157,118,2728,0.8305017948150635,0.9151907563209534
92,31924.97265625,5149.9091796875,-478885.74063897843,0.0003,23,662,27.053763440860216,118,2752,0.8079742789268494,0.9168901443481445
