rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/is_line_search_success,train/policy_objective,train/kl_divergence_loss,train/n_updates,train/explained_variance,train/std,train/value_loss,train/learning_rate
-96908.71732026471,1,8192,550,14,117.05882352941177,,,,,,,,
-95346.86256216,2,16384,533,30,142.96,1.0,0.02682032436132431,0.0049196211621165276,1,-1.6689300537109375e-06,0.9913396239280701,708558104.7,0.001
-93392.73313297998,3,24576,532,46,166.17,1.0,0.02250092849135399,0.0030558202415704727,2,-4.76837158203125e-06,0.9851924180984497,476912164.025,0.001
-93012.09291931,4,32768,529,61,173.92,1.0,0.02149714156985283,0.003964741714298725,3,1.1920928955078125e-07,0.982651948928833,512556672.725,0.001
-93637.43684372,5,40960,527,77,179.38,1.0,0.01789121702313423,0.0033866125158965588,4,-1.1920928955078125e-07,0.9812459945678711,490729965.275,0.001
-92633.09609892,6,49152,529,92,202.97,1.0,0.027642685920000076,0.0042579215951263905,5,5.960464477539063e-08,0.9733683466911316,430046708.0375,0.001
-91122.50971919998,7,57344,531,107,224.31,1.0,0.02555852010846138,0.0036907780449837446,6,0.0,0.9854116439819336,389302596.55,0.001
-90622.23996949999,8,65536,530,123,233.34,1.0,0.02836890146136284,0.0033840963151305914,7,2.384185791015625e-07,0.9812650680541992,337291269.5375,0.001
-90390.28838219,9,73728,528,139,242.14,1.0,0.027741849422454834,0.004068032838404179,8,0.0,0.9749216437339783,386621609.7375,0.001
-88975.87563492,10,81920,528,154,237.68,1.0,0.021900558844208717,0.003903463017195463,9,0.0,0.9882294535636902,327938631.2875,0.001
-89113.18666667,11,90112,529,170,265.63,1.0,0.02261229231953621,0.0039366683922708035,10,1.1920928955078125e-07,0.9725195169448853,322737844.9375,0.001
-89835.1275,12,98304,529,185,260.14,1.0,0.030976349487900734,0.004959519952535629,11,0.0,0.9732462167739868,303830666.25625,0.001
-90064.07551587,13,106496,529,201,275.56,1.0,0.022887159138917923,0.003544771810993552,12,0.0,0.9630335569381714,377329059.7,0.001
