time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,rollout/ep_len_mean
212,-0.11464986950159073,0.9919877648353577,-341164.20691525,4,0.001,248494064.0,168,27,1,66.49253845214844,37.75
644,0.17214985191822052,0.9704008102416992,-939508.0565557501,8,0.001,351297088.0,111,135,5,-187.72189331054688,64.125
1532,-0.7517435550689697,1.040961742401123,-1214791.9365120835,12,0.001,437000384.0,103,357,14,-784.21826171875,77.5
1840,-1.7464052438735962,1.0846644639968872,-1334941.8658421873,16,0.001,429440448.0,101,434,18,-1085.382080078125,80.6875
2196,-3.2061941623687744,1.1354005336761475,-1128686.5027677,20,0.001,497116736.0,101,523,21,-1238.26416015625,69.0
2964,-5.1534624099731445,1.2440041303634644,-1800956.4917362083,24,0.001,419043840.0,99,715,29,-1247.032470703125,95.54166666666667
3176,-6.064955234527588,1.27162766456604,-1591840.4974421072,28,0.001,385338816.0,99,768,32,-1037.654296875,86.60714285714286
3620,-7.87607479095459,1.3364403247833252,-1538937.3296079377,32,0.001,327192256.0,97,879,36,-735.2596435546875,84.84375
4616,-11.897428512573242,1.490747332572937,-2412980.1111051114,36,0.001,274836288.0,96,1128,47,-1096.135009765625,116.69444444444444
4788,-11.93893814086914,1.519670009613037,-2340054.496874675,40,0.001,341053216.0,96,1171,49,-1021.3363037109375,113.425
5552,-14.35201358795166,1.6389541625976562,-2195999.072174364,44,0.001,166322176.0,96,1362,57,-907.7298583984375,108.8409090909091
5964,-13.555731773376465,1.7042322158813477,-2396678.8586565624,48,0.001,142699024.0,96,1465,61,-1057.1444091796875,115.97916666666667
6112,-14.156220436096191,1.7256746292114258,-2376030.649441942,52,0.001,153590720.0,96,1502,63,-921.4073486328125,114.67307692307692
6228,-15.1475830078125,1.7439415454864502,-2213994.597788625,56,0.001,253082784.0,96,1531,64,-919.8712158203125,107.83928571428571
7076,-16.82577896118164,1.879348635673523,-2221135.17155635,60,0.001,147040928.0,96,1743,73,-530.841064453125,113.81666666666666
7176,-17.512468338012695,1.89774751663208,-2129724.147061812,64,0.001,183250496.0,96,1768,74,-379.20062255859375,111.375
7300,-17.855514526367188,1.9186241626739502,-2014592.2272152936,68,0.001,97703824.0,96,1799,76,-57.75128173828125,106.82352941176471
7448,-18.73922348022461,1.9443196058273315,-1909055.0227947223,72,0.001,162130528.0,95,1836,77,-193.27825927734375,102.19444444444444
7876,-20.974912643432617,2.025477170944214,-1873666.255987079,76,0.001,68319872.0,95,1943,82,-275.5386657714844,103.03947368421052
8076,-20.211156845092773,2.06528639793396,-1788927.2511209503,80,0.001,140942272.0,95,1993,84,-117.95431518554688,100.0375
8216,-20.75980567932129,2.090871572494507,-1709653.2345942382,84,0.001,70275880.0,95,2028,85,989.7090454101562,96.45238095238095
8464,-21.74536895751953,2.140134811401367,-1649687.3807979433,88,0.001,51981816.0,95,2090,88,243.1558074951172,94.64772727272727
8588,-20.612882614135742,2.163710594177246,-1583360.665860696,92,0.001,55762084.0,95,2121,89,1607.63037109375,91.8804347826087
8992,-21.53152084350586,2.2437093257904053,-1529772.8276616458,96,0.001,67454704.0,96,2222,93,275.923583984375,89.98958333333333
9464,-23.401092529296875,2.3369038105010986,-1504108.57506022,100,0.001,88497536.0,96,2340,98,1691.278076171875,90.42
9568,-23.5540828704834,2.3590807914733887,-1495936.0627677203,104,0.001,74702400.0,95,2366,99,1501.774169921875,90.47
9788,-25.323442459106445,2.4048593044281006,-1503735.3678474799,108,0.001,23776852.0,95,2421,102,1068.49853515625,91.67
9932,-25.57326889038086,2.4364380836486816,-1439360.2601368397,112,0.001,74094888.0,95,2457,103,1332.4921875,88.95
10196,-25.57366180419922,2.495849370956421,-1385714.89476027,116,0.001,35168192.0,96,2523,106,1300.558349609375,88.86
10304,-26.055095672607422,2.5202622413635254,-1377431.6378242103,120,0.001,76493672.0,96,2550,107,1901.662109375,88.61
10404,-24.534530639648438,2.544649839401245,-1175451.59607794,124,0.001,26176036.0,95,2575,108,2116.62109375,80.63
10496,-25.295963287353516,2.5633740425109863,-1166314.36080382,128,0.001,32935072.0,95,2598,109,1251.1390380859375,80.34
10660,-24.086252212524414,2.6003658771514893,-1124316.78180657,132,0.001,39394008.0,95,2639,111,2931.04833984375,78.38
10756,-24.32959747314453,2.6211092472076416,-753155.8454925099,136,0.001,49387688.0,95,2663,112,2157.861328125,64.45
10952,-25.575586318969727,2.6625752449035645,-689793.5278145202,140,0.001,81572376.0,95,2712,114,1556.6112060546875,62.39
11100,-25.609209060668945,2.6970038414001465,-663614.02835134,144,0.001,43613776.0,95,2749,115,1896.7147216796875,61.03
11520,-25.68177032470703,2.791041612625122,-487879.44009453006,148,0.001,73112944.0,95,2854,120,2079.87109375,54.85
11768,-27.11399269104004,2.846111536026001,-432324.55600536,152,0.001,71090008.0,95,2916,123,3333.6591796875,54.39
12044,-28.636669158935547,2.9124534130096436,-487535.16640880995,156,0.001,19026278.0,95,2985,125,2768.529296875,58.37
12612,-28.578998565673828,3.058582305908203,-414226.95352389006,160,0.001,105697120.0,95,3127,131,4174.7734375,53.89
12744,-29.260292053222656,3.0918655395507812,-410724.7249419,164,0.001,71081408.0,95,3160,133,4790.16845703125,53.66
12824,-29.62161636352539,3.110158920288086,-407769.29146427,168,0.001,22581224.0,95,3180,134,4847.3408203125,52.98
13004,-30.53067970275879,3.1563215255737305,-408935.1975230601,172,0.001,24866724.0,95,3225,136,4080.88720703125,53.24
13096,-30.15134048461914,3.1812970638275146,-363374.26950946,176,0.001,76045776.0,95,3248,137,4121.15283203125,49.24
13272,-30.501192092895508,3.2290525436401367,-359981.9577178,180,0.001,72451520.0,95,3292,138,3934.507568359375,48.5
13332,-31.442811965942383,3.2451577186584473,-402825.0877778301,184,0.001,68357264.0,95,3307,139,3822.34765625,51.98
13392,-30.17743682861328,3.2614779472351074,-390846.40299100993,188,0.001,69810896.0,95,3322,140,3525.849609375,50.23
13436,-31.522319793701172,3.2713077068328857,-389494.16948761,192,0.001,22489736.0,95,3333,140,4382.48583984375,49.4
13504,-32.05919647216797,3.291231870651245,-381242.65209434,196,0.001,125474720.0,95,3350,141,3967.001953125,47.94
13912,-33.1858024597168,3.407531976699829,-370987.08700085,200,0.001,50423928.0,95,3452,145,5202.2646484375,46.84
14164,-32.53080368041992,3.4808335304260254,-368465.73025343,204,0.001,61477796.0,95,3515,148,5430.00244140625,46.81
14752,-31.931808471679688,3.6469736099243164,-305290.80821542,208,0.001,106528312.0,95,3662,154,5091.8017578125,44.81
15300,-30.759017944335938,3.8031928539276123,-333389.58726398,212,0.001,78435648.0,96,3799,159,5126.7021484375,52.24
15676,-31.768341064453125,3.9105842113494873,-324146.6217891,216,0.001,21585626.0,96,3893,163,4362.93505859375,50.19
15928,-32.58644485473633,3.9846107959747314,-329214.94598714,220,0.001,55103584.0,96,3956,165,5958.373046875,52.42
16192,-31.05956268310547,4.06301736831665,-329828.09677924996,224,0.001,100195296.0,96,4022,168,6030.4921875,53.46
16416,-30.77163314819336,4.129758358001709,-330048.02945399994,228,0.001,47387836.0,96,4078,170,5917.1572265625,53.93
16568,-28.860504150390625,4.171597480773926,-361513.12869327003,232,0.001,27861172.0,96,4116,171,5731.712890625,59.78
16728,-29.72133445739746,4.220229148864746,-360530.72084324993,236,0.001,93903872.0,96,4156,173,6089.140625,59.86
16952,-31.316631317138672,4.28333044052124,-360619.85028548,240,0.001,92952416.0,96,4212,175,5879.35498046875,60.44
17324,-31.145639419555664,4.396389007568359,-360639.55889253994,244,0.001,68980736.0,96,4305,179,5416.7626953125,61.64
17712,-30.737442016601562,4.516989231109619,-357329.80436958,248,0.001,50613432.0,96,4402,184,5047.51708984375,64.91
17876,-30.37109375,4.564702033996582,-331263.86916986,252,0.001,32494084.0,95,4443,186,6068.201171875,62.86
18196,-29.263383865356445,4.664327621459961,-276182.61150529,256,0.001,59947728.0,96,4523,189,6744.6328125,60.01
18564,-30.270008087158203,4.777923107147217,-266715.16724311,260,0.001,48505888.0,96,4615,192,7179.0830078125,60.07
18748,-29.099166870117188,4.831852436065674,-242252.71920813003,264,0.001,52998280.0,96,4661,194,6102.62109375,59.13
19012,-29.77059555053711,4.9119696617126465,-242563.37977156002,268,0.001,37409608.0,96,4727,197,7551.77587890625,62.09
19152,-27.326889038085938,4.955770492553711,-240331.21630234,272,0.001,33365152.0,96,4762,199,6673.2333984375,62.22
