train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,train/learning_rate
-5.990233898162842,35.25,296,156136672.0,0.9984852075576782,2,-100342.5,136,4,48,-0.013665344566106796,0.0001
-14.538433074951172,50.0,468,156455264.0,0.9969406723976135,3,-97969.21875,124,8,91,-0.027504052966833115,0.0001
-5.666301727294922,49.083333333333336,728,235988688.0,0.994762659072876,6,-97959.6875,118,12,156,-0.04991411417722702,0.0001
-4.985721588134766,53.1875,1068,195176256.0,0.9918339252471924,9,-98631.015625,115,16,241,-0.0716894119977951,0.0001
-4.709379196166992,60.6,1460,116675760.0,0.9887539148330688,12,-99083.3125,113,20,339,-0.09408962726593018,0.0001
-14.638622283935547,61.041666666666664,1700,78187152.0,0.9868946671485901,15,-98501.04166666667,112,24,399,-0.10894402861595154,0.0001
-15.644267082214355,66.17857142857143,2016,155217056.0,0.9844890236854553,18,-98478.30357142857,111,28,478,-0.1199907660484314,0.0001
-20.203392028808594,66.53125,2344,38518672.0,0.9822835922241211,21,-98753.515625,111,32,560,-0.10999537259340286,0.0001
-28.511459350585938,66.63888888888889,2644,233145472.0,0.9804811477661133,23,-98965.90277777778,110,36,635,-0.11119719594717026,0.0001
-31.045501708984375,68.475,2936,77913176.0,0.9789040684700012,26,-99153.3125,110,40,708,-0.10150894522666931,0.0001
-27.206302642822266,72.0,3364,77111008.0,0.9768635034561157,30,-98869.60227272728,109,44,815,-0.08023852109909058,0.0001
-26.78382682800293,71.83333333333333,3568,77389232.0,0.9761242270469666,32,-99021.30208333333,109,48,866,-0.08528544753789902,0.0001
-23.21739959716797,71.0576923076923,3808,38965320.0,0.9753167033195496,34,-99143.31730769231,109,52,926,-0.05850093439221382,0.0001
-28.813596725463867,70.05357142857143,4200,77402552.0,0.9740715622901917,38,-99244.50892857143,109,56,1024,-0.06443136185407639,0.0001
