train/critic_loss,train/ent_coef_loss,time/fps,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
69040.359375,-0.3249983489513397,287,113,0.001,44.25,31.916027069091797,1008,0.9632895588874817,-7603.753936,4,3,,
240663.671875,0.08810222148895264,306,181,0.001,92.375,-54.18145751953125,1552,0.9479379653930664,-11230.138672375,8,5,,
190706.171875,0.09164325892925262,310,212,0.001,100.58333333333333,-75.35589599609375,1800,0.9478474259376526,-11814.534722916665,12,5,,
126207.875,0.20841330289840698,320,292,0.001,118.625,-446.00067138671875,2440,0.9541223645210266,-11966.706038249999,16,7,,
76455.4375,0.00985985528677702,330,494,0.001,115.25,-320.4774475097656,4056,0.9938929080963135,-11967.077290549998,20,12,,
168297.4375,-0.009049678221344948,333,555,0.001,104.45833333333333,-134.664794921875,4544,1.0026323795318604,-10858.686489208334,24,13,,
34533.125,-0.0923197865486145,336,639,0.001,108.03571428571429,-41.73015594482422,5216,1.0227805376052856,-11121.204558785716,28,15,,
31399.62890625,-0.18145409226417542,337,681,0.001,122.375,53.92904281616211,5552,1.0355024337768555,-12586.11714690625,32,16,,
30228.359375,-0.6115588545799255,339,817,0.001,117.72222222222223,42.29981994628906,6640,1.0950795412063599,-11732.446719638889,36,19,,
46404.546875,-0.6563582420349121,340,894,0.001,130.05,4.713445663452148,7256,1.1304752826690674,-12639.854223475,40,21,,
43198.7890625,-0.7448033094406128,341,1049,0.001,145.1590909090909,130.7227020263672,8496,1.1899968385696411,-13352.94140893182,44,24,,
98792.1171875,-0.6567208766937256,341,1120,0.001,172.35416666666666,162.23779296875,9064,1.2125977277755737,-14650.620143375001,48,26,,
148966.4375,-0.8905558586120605,340,1237,0.001,173.98,141.5980224609375,10000,1.2490653991699219,-14201.282773240002,50,29,,
,,,,,,,10000,,,,,-16678.713857799998,212.4
93706.234375,-1.4006129503250122,322,1453,0.001,173.69230769230768,284.2047119140625,11728,1.3310632705688477,-14166.044868423078,52,36,,
142707.25,-1.579113245010376,324,1584,0.001,193.21428571428572,205.7427215576172,12776,1.3892297744750977,-15431.016720178575,56,39,,
263263.65625,-0.9941576719284058,326,1819,0.001,199.2,436.76544189453125,14656,1.4754992723464966,-14973.884884383337,60,44,,
38746.046875,-1.013546347618103,327,1841,0.001,210.84375,415.9197998046875,14832,1.4817910194396973,-15794.67675784375,64,45,,
29285.248046875,-1.2078752517700195,328,1865,0.001,202.6764705882353,403.65338134765625,15024,1.488921880722046,-14951.515207867647,68,45,,
