,Setting,Algorithm,Mean,SD,Max,Range
0,AB,A2C,-0.09597217684149201,0.004539168848195717,-0.07070059375,0.0300118671875
1,AB,PPO,-0.09629610624334702,0.004374029843294456,-0.06306728125,0.03847984375
2,AB,TRPO,-0.044831610360658206,0.027743266093163233,0.0162609443359375,0.1182468427734375
3,AB,ARS,-0.005295109547526503,0.012253000202340849,0.018952,0.10739371875
4,AB,CrossQ,-0.08301701763900474,0.019429549610821963,0.1157182109375,0.2169832109375
5,AB,TQC,-0.07180875908019137,0.024753375397466283,0.0143931591796875,0.1176007060546875
