,algorithm,set,step,reward
0,A2C,env1,8000,-85131.09375
1,A2C,env1,10000,-78183.6171875
2,A2C,env1,16000,-70567.5
3,A2C,env1,20000,-63961.71875
4,A2C,env1,24000,-58372.8828125
5,A2C,env1,30000,-51726.3515625
6,A2C,env1,32000,-51726.3515625
7,A2C,env1,40000,-48012.08203125
8,A2C,env1,40000,-48012.08203125
9,A2C,env1,48000,-53679.453125
10,A2C,env1,50000,-52765.6171875
11,A2C,env1,56000,-55484.0625
12,A2C,env1,60000,-57951.32421875
13,A2C,env1,64000,-59835.4140625
14,A2C,env1,70000,-63418.0546875
15,A2C,env1,72000,-62229.83203125
16,A2C,env1,80000,-62742.67578125
17,A2C,env1,80000,-62742.67578125
18,A2C,env1,88000,-61965.34375
19,A2C,env1,90000,-61085.296875
20,A2C,env1,96000,-59351.66015625
21,A2C,env1,100000,-58785.390625
22,A2C,env1,104000,-58809.81640625
23,A2C,env1,110000,-60389.40234375
24,A2C,env1,112000,-63263.73828125
25,A2C,env1,120000,-68204.140625
26,A2C,env1,120000,-68204.140625
27,A2C,env1,128000,-68030.515625
28,A2C,env1,130000,-65939.1328125
29,A2C,env1,136000,-65470.8515625
30,A2C,env1,140000,-60910.3828125
31,A2C,env1,144000,-58432.765625
32,A2C,env1,150000,-68536.3828125
33,A2C,env1,152000,-73096.703125
34,A2C,env1,160000,-79479.7734375
35,A2C,env1,160000,-79479.7734375
36,A2C,env1,168000,-80276.9453125
37,A2C,env1,170000,-80279.328125
38,A2C,env1,176000,-73323.15625
39,A2C,env1,180000,-73035.25
40,A2C,env1,184000,-72733.03125
41,A2C,env1,190000,-75026.15625
42,A2C,env1,192000,-76109.296875
43,A2C,env1,200000,-84839.3671875
44,A2C,env1,200000,-84839.3671875
45,A2C,env1,208000,-84551.140625
46,A2C,env1,210000,-84253.953125
47,A2C,env1,216000,-81579.3359375
48,A2C,env1,220000,-78501.65625
49,A2C,env1,224000,-76345.8515625
50,A2C,env1,230000,-73998.8125
51,A2C,env1,232000,-72806.5390625
52,A2C,env1,240000,-69945.9140625
53,A2C,env1,240000,-69945.9140625
54,A2C,env1,248000,-67889.6953125
55,A2C,env1,250000,-67793.5390625
56,A2C,env1,256000,-64937.1640625
57,A2C,env1,260000,-61960.90625
58,A2C,env1,264000,-58670.38671875
59,A2C,env1,270000,-56690.8359375
60,A2C,env1,272000,-53500.296875
61,A2C,env1,280000,-50661.38671875
62,A2C,env1,280000,-50661.38671875
63,A2C,env1,288000,-53985.64453125
64,A2C,env1,290000,-53268.625
65,A2C,env1,296000,-53855.5859375
66,A2C,env1,300000,-50964.1875
67,A2C,env1,304000,-49265.6015625
68,A2C,env1,310000,-52302.8203125
69,A2C,env1,312000,-53290.203125
70,A2C,env1,320000,-60142.26171875
71,A2C,env1,320000,-60142.26171875
72,A2C,env1,328000,-60252.5546875
73,A2C,env1,330000,-59359.54296875
74,A2C,env1,336000,-58471.69140625
75,A2C,env1,340000,-60335.4375
76,A2C,env1,344000,-61320.109375
77,A2C,env1,350000,-61334.2734375
78,A2C,env1,352000,-61332.8125
79,A2C,env1,360000,-60218.8984375
80,A2C,env1,360000,-60218.8984375
81,A2C,env1,368000,-62316.59765625
82,A2C,env1,370000,-63212.7890625
83,A2C,env1,376000,-61999.59375
84,A2C,env1,380000,-66976.5078125
85,A2C,env1,384000,-67979.09375
86,A2C,env1,390000,-69949.7109375
87,A2C,env1,392000,-70955.9765625
88,A2C,env1,400000,-73955.171875
89,A2C,env1,400000,-73955.171875
90,A2C,env1,408000,-74316.7109375
91,A2C,env1,410000,-75504.28125
92,A2C,env1,416000,-74182.125
93,A2C,env1,420000,-74076.40625
94,A2C,env1,424000,-73187.6484375
95,A2C,env1,430000,-73076.875
96,A2C,env1,432000,-72989.2421875
97,A2C,env1,440000,-73117.4375
98,A2C,env1,440000,-73117.4375
99,A2C,env1,448000,-71952.9296875
100,A2C,env1,450000,-71952.9296875
101,A2C,env1,456000,-68698.6015625
