,algorithm,set,step,reward
0,A2C,set1,2000,-89263.390625
1,A2C,set1,4000,-88692.328125
2,A2C,set1,6000,-80913.7421875
3,A2C,set1,8000,-78909.9296875
4,A2C,set1,10000,-76183.390625
5,A2C,set1,12000,-74412.9921875
6,A2C,set1,14000,-81109.7109375
7,A2C,set1,16000,-83537.2734375
8,A2C,set1,18000,-80552.4921875
9,A2C,set1,20000,-81426.578125
10,A2C,set1,22000,-78832.3046875
11,A2C,set1,24000,-81377.40625
12,A2C,set1,26000,-83638.5859375
13,A2C,set1,28000,-82646.40625
14,A2C,set1,30000,-79346.3046875
15,A2C,set1,32000,-82413.1484375
16,A2C,set1,34000,-86684.4375
17,A2C,set1,36000,-84284.0546875
18,A2C,set1,38000,-83170.421875
19,A2C,set1,40000,-83345.21875
20,A2C,set1,42000,-82443.2578125
21,A2C,set1,44000,-80850.953125
22,A2C,set1,46000,-78472.5
23,A2C,set1,48000,-77382.625
24,A2C,set1,50000,-75678.7109375
25,A2C,set1,52000,-80251.9921875
26,A2C,set1,54000,-79849.8984375
27,A2C,set1,56000,-80943.5859375
28,A2C,set1,58000,-81634.265625
29,A2C,set1,60000,-81942.75
30,A2C,set1,62000,-81957.890625
31,A2C,set1,64000,-81678.96875
32,A2C,set1,66000,-79804.6328125
33,A2C,set1,68000,-79923.2421875
34,A2C,set1,70000,-79727.3125
35,A2C,set1,72000,-79233.5546875
36,A2C,set1,74000,-79348.9375
37,A2C,set1,76000,-79945.484375
38,A2C,set1,78000,-82524.6484375
39,A2C,set1,80000,-82626.8125
40,A2C,set1,82000,-83136.5703125
41,A2C,set1,84000,-83641.1015625
42,A2C,set1,86000,-81839.0703125
43,A2C,set1,88000,-81741.46875
44,A2C,set1,90000,-82658.34375
45,A2C,set1,92000,-82569.9375
46,A2C,set1,94000,-82778.9296875
47,A2C,set1,96000,-83391.40625
48,A2C,set1,98000,-83406.15625
49,A2C,set1,100000,-83220.921875
50,A2C,set1,102000,-85528.65625
51,A2C,set1,104000,-86103.75
52,A2C,set1,106000,-86121.0859375
53,A2C,set1,108000,-86130.71875
54,A2C,set1,110000,-86245.15625
55,A2C,set1,112000,-85663.859375
56,A2C,set1,114000,-85776.9453125
57,A2C,set1,116000,-85800.015625
58,A2C,set1,118000,-86804.6640625
59,A2C,set1,120000,-86541.2578125
60,A2C,set1,122000,-86297.03125
61,A2C,set1,124000,-83522.96875
62,A2C,set1,126000,-81430.3359375
63,A2C,set1,128000,-81829.5546875
64,A2C,set1,130000,-82008.6796875
65,A2C,set1,132000,-82700.53125
66,A2C,set1,134000,-82405.3828125
67,A2C,set1,136000,-79927.40625
68,A2C,set1,138000,-79864.6171875
69,A2C,set1,140000,-79550.90625
70,A2C,set1,142000,-81929.875
71,A2C,set1,144000,-84029.6953125
72,A2C,set1,146000,-84330.8125
73,A2C,set1,148000,-84335.578125
74,A2C,set1,150000,-84135.8359375
75,A2C,set1,152000,-84925.0625
76,A2C,set1,154000,-87104.3046875
77,A2C,set1,156000,-84413.5703125
78,A2C,set1,158000,-84379.640625
79,A2C,set1,160000,-82782.53125
80,A2C,set1,162000,-82696.421875
81,A2C,set1,164000,-82539.7421875
82,A2C,set1,166000,-83057.8671875
83,A2C,set1,168000,-82671.671875
84,A2C,set1,170000,-80206.0390625
85,A2C,set1,172000,-79903.6484375
86,A2C,set1,174000,-80438.6953125
87,A2C,set1,176000,-82635.015625
88,A2C,set1,178000,-82650.2578125
89,A2C,set1,180000,-82947.4453125
90,A2C,set1,182000,-83770.4296875
91,A2C,set1,184000,-81293.984375
92,A2C,set1,186000,-81801.859375
93,A2C,set1,188000,-81180.0234375
94,A2C,set1,190000,-78972.7578125
95,A2C,set1,192000,-78957.9375
96,A2C,set1,194000,-77062.4375
97,A2C,set1,196000,-77284.5390625
98,A2C,set1,198000,-76989.78125
99,A2C,set1,200000,-77163.84375
100,A2C,set1,202000,-74996.21875
101,A2C,set1,204000,-79251.8046875
102,A2C,set1,206000,-79240.3046875
103,A2C,set1,208000,-79823.6875
104,A2C,set1,210000,-82328.8515625
105,A2C,set1,212000,-87213.5234375
106,A2C,set1,214000,-86842.515625
107,A2C,set1,216000,-87512.0078125
108,A2C,set1,218000,-84539.84375
109,A2C,set1,220000,-86310.0078125
110,A2C,set1,222000,-86012.3671875
111,A2C,set1,224000,-81256.1796875
112,A2C,set1,226000,-78851.734375
113,A2C,set1,228000,-77495.71875
114,A2C,set1,230000,-75559.9296875
115,A2C,set1,232000,-75263.046875
116,A2C,set1,234000,-75409.453125
117,A2C,set1,236000,-75121.8515625
118,A2C,set1,238000,-75737.2890625
119,A2C,set1,240000,-79199.7421875
120,A2C,set1,242000,-81151.6484375
121,A2C,set1,244000,-85412.890625
122,A2C,set1,246000,-86857.203125
123,A2C,set1,248000,-86449.2421875
124,A2C,set1,250000,-89548.5
125,A2C,set1,252000,-89512.0546875
126,A2C,set1,254000,-89336.796875
127,A2C,set1,256000,-89909.125
128,A2C,set1,258000,-90711.2890625
129,A2C,set1,260000,-90034.2265625
130,A2C,set1,262000,-89744.7109375
131,A2C,set1,264000,-89624.1171875
132,A2C,set1,266000,-89510.6796875
133,A2C,set1,268000,-90153.921875
134,A2C,set1,270000,-89792.46875
135,A2C,set1,272000,-87126.390625
136,A2C,set1,274000,-87000.8359375
137,A2C,set1,276000,-86322.4140625
138,A2C,set1,278000,-86080.78125
139,A2C,set1,280000,-84273.15625
140,A2C,set1,282000,-84172.59375
141,A2C,set1,284000,-84403.25
142,A2C,set1,286000,-84894.7734375
143,A2C,set1,288000,-81944.375
144,A2C,set1,290000,-81626.015625
145,A2C,set1,292000,-79505.7578125
146,A2C,set1,294000,-81807.2734375
147,A2C,set1,296000,-81580.2421875
148,A2C,set1,298000,-79308.0859375
149,A2C,set1,300000,-76522.359375
150,A2C,set1,302000,-74151.8125
151,A2C,set1,304000,-76230.734375
152,A2C,set1,306000,-76947.859375
153,A2C,set1,308000,-77093.03125
154,A2C,set1,310000,-79718.2734375
155,A2C,set1,312000,-80086.859375
156,A2C,set1,314000,-80214.7109375
157,A2C,set1,316000,-78616.6015625
158,A2C,set1,318000,-78087.8984375
159,A2C,set1,320000,-80683.453125
160,A2C,set1,322000,-80578.359375
161,A2C,set1,324000,-80308.921875
162,A2C,set1,326000,-82915.140625
163,A2C,set1,328000,-82560.03125
164,A2C,set1,330000,-82134.5546875
165,A2C,set1,332000,-79723.9296875
166,A2C,set1,334000,-77535.4609375
167,A2C,set1,336000,-77727.0390625
168,A2C,set1,338000,-79712.0546875
169,A2C,set1,340000,-79462.5546875
170,A2C,set1,342000,-82825.4921875
171,A2C,set1,344000,-83540.484375
172,A2C,set1,346000,-84524.640625
173,A2C,set1,348000,-84590.5
174,A2C,set1,350000,-88063.03125
175,A2C,set1,352000,-87682.59375
176,A2C,set1,354000,-90381.8046875
177,A2C,set1,356000,-90931.1796875
178,A2C,set1,358000,-93290.046875
