time/total_timesteps,train/learning_rate,train/delta_std,rollout/ep_len_mean,train/step_size,rollout/ep_rew_mean,train/iterations,time/time_elapsed,rollout/return_std,time/fps
14088,0.02,0.05,220.125,8.161106990201006e-08,-88316.40625,0,25,30633.09765625,556
30516,0.02,0.05,256.6875,6.820236109206235e-08,-83808.75,1,55,36655.62109375,546
53964,0.02,0.05,366.375,5.585571472010997e-08,-71624.84375,2,98,44758.17578125,549
79860,0.02,0.05,404.625,6.060835033849798e-08,-79038.75,3,142,41248.44140625,560
98136,0.02,0.05,285.5625,6.847665900977518e-08,-83459.84375,4,175,36508.7890625,559
135388,0.02,0.05,582.0625,5.0456883116112294e-08,-46668.697916625,5,243,49547.25390625,556
165776,0.02,0.05,474.8125,5.5145282118473915e-08,-66575.625,6,299,45334.79296875,554
200016,0.02,0.05,535.0,5.149637871681989e-08,-53837.1875,7,358,48547.1015625,558
245260,0.02,0.05,706.9375,5.3297696922527393e-08,-43729.21875,8,433,46906.33984375,565
299500,0.02,0.05,847.5,5.395049740286595e-08,-36907.5,9,526,46338.7734375,569
345428,0.02,0.05,717.625,5.411431658330912e-08,-43278.125,10,601,46198.49609375,573
403592,0.02,0.05,908.8125,7.722437800339321e-08,-20517.03125,11,702,32373.197265625,574
464284,0.02,0.05,948.3125,6.595149670829414e-08,-27594.0625,12,808,37906.64453125,574
520992,0.02,0.05,886.0625,7.807378210600291e-08,-19678.59375,13,903,32020.994140625,576
568676,0.02,0.05,745.0625,5.5971636214735554e-08,-37877.96875,14,983,44665.48046875,578
628780,0.02,0.05,939.125,1.0638029124265813e-07,-13912.96875,15,1083,23500.59375,580
678320,0.02,0.05,774.0625,5.55473711472132e-08,-38278.125,16,1173,45006.62890625,578
729612,0.02,0.05,801.4375,6.155410403607675e-08,-31733.75,17,1258,40614.67578125,579
782708,0.02,0.05,829.625,6.600415503044132e-08,-25225.78125,18,1345,37876.40234375,581
834956,0.02,0.05,816.375,5.788086454572294e-08,-38118.90625,19,1433,43192.16796875,582
888388,0.02,0.05,834.875,6.16983371060087e-08,-30082.1875,20,1520,40519.73046875,584
941720,0.02,0.05,833.3125,6.433918287029883e-08,-23689.6875,21,1606,38856.5703125,586
993328,0.02,0.05,806.375,5.820182025217946e-08,-38017.5,22,1698,42953.98046875,584
1051064,0.02,0.05,902.125,7.940046486965002e-08,-21520.0,23,1795,31485.9609375,585
1097252,0.02,0.05,721.6875,5.284194060095615e-08,-50326.25,24,1873,47310.90234375,585
1153212,0.02,0.05,874.375,6.854759249108611e-08,-25782.34375,25,1965,36471.01171875,586
1207428,0.02,0.05,847.125,5.8504149080818024e-08,-32538.59375,26,2054,42732.01171875,587
1265716,0.02,0.05,910.75,7.377998656465934e-08,-17506.71875,27,2149,33884.52734375,588
1319544,0.02,0.05,841.0625,5.973986816343313e-08,-31289.84375,28,2238,41848.1015625,589
1367828,0.02,0.05,754.4375,5.31471044951104e-08,-43312.03125,29,2317,47039.25,590
1417908,0.02,0.05,782.5,5.7807557851674574e-08,-38209.6875,30,2399,43246.9375,590
1479584,0.02,0.05,963.6875,1.0076566070438275e-07,-13370.15625,31,2500,24810.0390625,591
1526204,0.02,0.05,728.4375,5.087460763775198e-08,-48662.8125,32,2580,49140.42578125,591
1577820,0.02,0.05,806.5,5.276460157688234e-08,-44206.71875,33,2666,47380.24609375,591
1628736,0.02,0.05,795.5625,6.284658127242437e-08,-32205.3125,34,2750,39779.41015625,592
1689144,0.02,0.05,943.875,6.388972195736642e-08,-28186.875,35,2849,39129.921875,592
1741976,0.02,0.05,825.5,7.338580587656907e-08,-25736.5625,36,2937,34066.53125,593
1791020,0.02,0.05,766.3125,5.415363801830608e-08,-42860.15625,37,3021,46164.94921875,592
1839952,0.02,0.05,764.5625,6.060357549131368e-08,-31685.3125,38,3101,41251.69140625,593
1897224,0.02,0.05,894.875,8.141505958292328e-08,-18930.3125,39,3196,30706.849609375,593
1955468,0.02,0.05,910.0625,8.136765927702072e-08,-19386.875,40,3292,30724.736328125,593
2016116,0.02,0.05,947.625,7.274052649108853e-08,-19165.78125,41,3391,34368.734375,594
