time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,rollout/ep_len_mean
200,-0.09925349056720734,0.99299156665802,-223231.10638975,4,0.001,135221680.0,175,24,1,-9.645417213439941,32.75
396,-0.27244794368743896,0.9761309027671814,-209586.82981375,8,0.001,212305344.0,124,73,3,-36.87034606933594,30.625
572,-0.14843763411045074,0.9646477699279785,-226556.79662275003,12,0.001,423562656.0,114,117,5,-136.0855712890625,29.75
688,0.03141375631093979,0.9599407315254211,-208492.556128375,16,0.001,417813440.0,113,146,6,-277.2821044921875,25.0625
808,0.17666757106781006,0.959038496017456,-233131.35311634996,20,0.001,324054752.0,111,176,7,-518.18212890625,23.9
880,0.2602442800998688,0.9606161713600159,-291321.46767675,24,0.001,470792608.0,110,194,7,-563.6815185546875,28.208333333333332
972,0.3234032988548279,0.9647929072380066,-362314.4502883929,28,0.001,314757440.0,108,217,8,-697.91064453125,33.035714285714285
1356,0.07943781465291977,0.9908697605133057,-378765.40887781244,32,0.001,178208832.0,106,313,12,-611.3131103515625,35.125
1516,-0.021061262115836143,1.0033379793167114,-398199.76406247215,36,0.001,296966720.0,104,353,14,-522.85400390625,37.02777777777778
1592,-0.0923357754945755,1.0094369649887085,-424905.464878425,40,0.001,312859712.0,104,372,15,-660.7607421875,38.675
1740,-0.23887035250663757,1.0233570337295532,-398700.3932363182,44,0.001,518597728.0,103,409,16,-521.724853515625,36.93181818181818
1960,-0.48184046149253845,1.0446304082870483,-383390.1398207916,48,0.001,334905664.0,102,464,19,-434.8780517578125,36.666666666666664
2284,-0.7979428768157959,1.076773762702942,-429802.53077338455,52,0.001,360551200.0,102,545,22,-150.6790771484375,41.69230769230769
2392,-0.922010064125061,1.0876929759979248,-406410.69909944636,56,0.001,216178224.0,102,572,23,-209.73912048339844,40.089285714285715
2648,-1.4876446723937988,1.1151740550994873,-396278.2308988,60,0.001,165335040.0,101,636,26,-144.63760375976562,40.46666666666667
2816,-1.6692897081375122,1.1356186866760254,-380331.8566264531,64,0.001,322197600.0,101,678,27,-288.63427734375,38.9375
2940,-2.042630434036255,1.1522636413574219,-428022.4844846324,68,0.001,410559744.0,101,709,29,-303.4249267578125,40.51470588235294
3044,-2.268383502960205,1.1646901369094849,-422767.80781548604,72,0.001,253175504.0,101,735,30,-325.0242004394531,40.55555555555556
3260,-3.0987844467163086,1.194481372833252,-409610.0500991579,76,0.001,157963472.0,100,789,32,-187.60943603515625,40.30263157894737
3676,-4.281085968017578,1.2564332485198975,-456791.01417222497,80,0.001,130480880.0,101,893,36,266.29864501953125,43.575
3816,-4.467428207397461,1.2786098718643188,-439821.77279838105,84,0.001,464040512.0,100,928,37,377.408203125,42.392857142857146
4004,-5.267498016357422,1.3074320554733276,-466475.416301284,88,0.001,250788000.0,100,975,39,356.5478515625,43.17045454545455
4100,-5.44248628616333,1.3230338096618652,-475525.46682324726,92,0.001,249771536.0,100,999,40,156.05825805664062,43.946236559139784
