time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1697,938.5625,35,3.3798777665516866e-10,0,0.02,0.05,-27931577.529469,60068,7396717.0
1711,755.1875,63,1.8902519827168618e-10,1,0.02,0.05,-22453498.421854813,108400,13225750.0
1713,877.5,96,2.4778620821841457e-10,2,0.02,0.05,-26105718.165809125,164560,10089343.0
1709,816.125,126,2.1075327594211046e-10,3,0.02,0.05,-24165182.949014124,216792,11862212.0
1716,817.875,156,2.1123509885700997e-10,4,0.02,0.05,-24294124.885452814,269136,11835154.0
1712,753.8125,185,1.8860941974896406e-10,5,0.02,0.05,-22430631.021825187,317380,13254904.0
1712,756.1875,213,1.894338574892629e-10,6,0.02,0.05,-22450660.18536531,365776,13197219.0
1709,760.125,242,1.9123008732080393e-10,7,0.02,0.05,-22571944.507157937,414424,13073256.0
1716,876.8125,274,2.4747767723987124e-10,8,0.02,0.05,-26067671.738611564,470540,10101921.0
1720,876.0625,305,2.459744630201044e-10,9,0.02,0.05,-26158974.09760975,526608,10163656.0
1724,938.1875,340,3.3669983467987663e-10,10,0.02,0.05,-27996227.358582877,586652,7425011.0
1728,815.375,369,2.0894729002574053e-10,11,0.02,0.05,-24287535.212160185,638836,11964740.0
1728,876.9375,402,2.468273085920458e-10,12,0.02,0.05,-26133901.55184356,694960,10128538.0
1726,814.75,432,2.082178873763496e-10,13,0.02,0.05,-24356663.065684624,747104,12006653.0
1728,815.75,462,2.0878944406721445e-10,14,0.02,0.05,-24353927.205293,799312,11973785.0
1727,876.1875,495,2.460849579666302e-10,15,0.02,0.05,-26167715.68667319,855388,10159093.0
1725,877.5625,528,2.4710170021258193e-10,16,0.02,0.05,-26237014.419106312,911552,10117291.0
1720,629.5625,553,1.6861848028959514e-10,17,0.02,0.05,-18664702.779089123,951844,14826370.0
1714,815.75,585,2.0846872839097585e-10,18,0.02,0.05,-24333983.797596186,1004052,11992206.0
