time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,rollout/ep_len_mean
292,-0.19104737043380737,0.9849669933319092,-349825.910407,4,0.001,511177088.0,138,47,2,-95.28504943847656,25.5
848,0.21811342239379883,0.9652134776115417,-1047508.86481575,8,0.001,339275040.0,104,186,8,-358.93359375,64.125
1792,-1.0722310543060303,1.048582911491394,-2377807.5574320834,12,0.001,493685952.0,97,422,18,-1061.305419921875,121.08333333333333
2460,-3.7848408222198486,1.1492043733596802,-2051795.8844519374,16,0.001,400130304.0,97,589,25,-1259.9866943359375,104.0
2624,-4.12263822555542,1.1733155250549316,-2409226.0006493004,20,0.001,388846400.0,97,630,27,-1175.1739501953125,117.6
2812,-4.123376846313477,1.2004218101501465,-2051583.667816708,24,0.001,370794944.0,96,677,29,-1257.280517578125,104.5
2936,-4.2783308029174805,1.2159785032272339,-1970089.4243286785,28,0.001,402471680.0,96,708,30,-1333.696044921875,100.89285714285714
3052,-4.378233909606934,1.2307000160217285,-1765576.81252925,32,0.001,320793088.0,96,737,31,-1082.805908203125,94.375
3176,-4.8703107833862305,1.2451680898666382,-1590192.3269591667,36,0.001,321066240.0,96,768,33,-1153.037353515625,86.47222222222223
3272,-5.155760765075684,1.2568713426589966,-1446837.8452682,40,0.001,415981024.0,95,792,34,-1053.74462890625,80.05
3436,-5.785131454467773,1.2780530452728271,-1339233.3217629318,44,0.001,351110912.0,95,833,35,-1062.598876953125,75.0
3772,-6.742072105407715,1.321341633796692,-1362458.129954104,48,0.001,284659520.0,95,917,39,-903.3294677734375,76.02083333333333
3880,-6.868748664855957,1.3355783224105835,-1281809.4765925384,52,0.001,301164416.0,95,944,40,-836.2716674804688,72.71153846153847
4116,-7.003023624420166,1.3668434619903564,-1203549.4689676429,56,0.001,327497664.0,95,1003,43,-677.2508544921875,69.125
4364,-7.363186836242676,1.397459626197815,-1210245.9797746665,60,0.001,247581312.0,95,1065,45,-428.449462890625,70.25
4484,-7.714043617248535,1.4126124382019043,-1162493.1977757812,64,0.001,347261952.0,95,1095,47,-429.7409973144531,67.375
5404,-11.76279067993164,1.5515631437301636,-1296108.5847544556,68,0.001,301201216.0,94,1325,56,-757.462890625,71.0
5516,-11.930891990661621,1.5693607330322266,-1246974.8663355417,72,0.001,209965824.0,94,1353,58,-469.105712890625,68.26388888888889
