train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
99,535,0.0001831650733947754,-98377.32142857143,-8.539352416992188,1.0047640800476074,-75.2126693725586,133.57142857142858,3,2000,0.0007,100,266.9915771484375
199,579,0.0018033981323242188,-88210.2914717826,-8.529296875,1.0027140378952026,-27.861560821533203,155.6086956521739,6,4000,0.0007,200,12.347049713134766
299,588,0.0,-89601.78554598386,-8.556868553161621,1.0074183940887451,-131745.53125,95.74193548387096,10,6000,0.0007,300,1983571328.0
399,590,-1.1920928955078125e-07,-89147.16125569893,-8.557167053222656,1.0080863237380981,29609.087890625,85.60215053763442,13,8000,0.0007,400,29177806.0
499,589,9.942054748535156e-05,-89733.87515151,-8.550951957702637,1.0066542625427246,-23.672100067138672,42.69,16,10000,0.0007,,10.06983470916748
,589,,-89733.87515151,,,,42.69,16,10000,,500,
599,593,-2.384185791015625e-07,-89127.44987372999,-8.555383682250977,1.0075397491455078,-23.32830238342285,49.04,20,12000,0.0007,600,10.168822288513184
699,593,0.0,-89138.85944444001,-8.548173904418945,1.0059897899627686,-22.307828903198242,63.1,23,14000,0.0007,700,8.310696601867676
799,594,0.0,-89050.52194444001,-8.546676635742188,1.0061873197555542,-21.389358520507812,75.8,26,16000,0.0007,800,8.81946086883545
899,587,0.00030046701431274414,-88968.65527777001,-8.543464660644531,1.005491018295288,-20.60880470275879,91.37,30,18000,0.0007,900,7.210446834564209
999,582,5.960464477539063e-08,-88683.47722222,-8.568803787231445,1.0099964141845703,-22.082426071166992,104.11,34,20000,0.0007,,7.687147617340088
,582,,-88683.47722222,,,,104.11,34,20000,,1000,
1099,587,0.0,-88297.57972222,-8.55546760559082,1.0076415538787842,-16.831117630004883,113.43,37,22000,0.0007,1100,4.78732442855835
