time/episodes,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,train/ent_coef
172,3794,404.953857421875,15280,90,-99649.8375,88.81,817.8626098632812,0.0003,8.593242645263672,168,2.3775362968444824
176,3865,211.36590576171875,15564,92,-99732.8875,87.01,816.1427001953125,0.0003,8.416357040405273,168,2.338965654373169
180,3902,1179.38037109375,15712,93,-99822.1625,85.63,818.7601928710938,0.0003,8.240606307983398,168,2.3189282417297363
184,3986,598.4899291992188,16048,95,-99829.3625,86.35,809.5277099609375,0.0003,8.017837524414062,168,2.2735981941223145
188,4075,1200.416748046875,16404,97,-99823.4625,85.76,824.031005859375,0.0003,7.817537784576416,168,2.2258753776550293
192,4190,212.49667358398438,16864,99,-99912.125,84.25,820.7763671875,0.0003,7.513833045959473,168,2.1648762226104736
196,4248,406.17437744140625,17096,101,-99916.625,84.7,820.7922973632812,0.0003,7.211539268493652,168,2.1344361305236816
200,4303,600.3649291992188,17316,102,-99904.825,83.52,821.696044921875,0.0003,7.15779972076416,168,2.105778694152832
204,4384,985.6317749023438,17640,104,-99891.125,82.15,817.43115234375,0.0003,6.991554260253906,169,2.0638883113861084
208,4459,214.5022735595703,17940,106,-99804.775,83.67,824.2035522460938,0.0003,6.711669921875,169,2.0255541801452637
212,4542,409.7703857421875,18272,108,-99809.175,84.14,835.7235107421875,0.0003,6.4963812828063965,169,1.9836008548736572
216,4635,216.17333984375,18644,110,-99808.575,84.08,834.3258666992188,0.0003,6.292097091674805,169,1.9371719360351562
220,4694,1181.32861328125,18880,111,-100003.66666666999,82.87,825.4482421875,0.0003,6.133662223815918,169,1.908125877380371
224,4806,990.1888427734375,19328,114,-100115.94166667,84.09,841.7147216796875,0.0003,5.8642778396606445,169,1.8538569211959839
228,4882,621.9546508789062,19632,116,-100110.44166667,83.54,831.70654296875,0.0003,5.588759422302246,169,1.8177030086517334
232,4980,410.5815124511719,20024,118,-99916.875,84.57,838.8253173828125,0.0003,5.310207843780518,169,1.7718638181686401
236,5064,217.3167724609375,20360,120,-99799.975,82.97,841.4786376953125,0.0003,5.022263526916504,169,1.733345627784729
240,5172,798.7216186523438,20792,122,-99719.075,84.88,849.7962646484375,0.0003,4.778478622436523,169,1.6847856044769287
244,5259,1573.9869384765625,21140,125,-99921.48333333,84.32,861.5423583984375,0.0003,4.5266242027282715,169,1.646475076675415
248,5355,413.44891357421875,21524,127,-100031.75833333,85.31,858.757080078125,0.0003,4.2614359855651855,169,1.6050182580947876
252,5444,607.09423828125,21880,129,-99938.80833333,86.27,870.2713012695312,0.0003,4.065143585205078,169,1.5673842430114746
256,5528,801.2947998046875,22216,131,-99852.15833333001,87.77,882.5133056640625,0.0003,3.7373297214508057,169,1.5326220989227295
260,5644,416.261962890625,22680,134,-99856.33333333001,88.09,866.388671875,0.0003,3.532480239868164,169,1.4856539964675903
264,5771,610.5542602539062,23188,137,-99956.25833333,87.97,888.4609375,0.0003,3.1195716857910156,169,1.4358620643615723
268,5959,417.5893859863281,23940,141,-99767.69166666002,89.41,898.36279296875,0.0003,2.638531446456909,169,1.3653115034103394
272,6048,613.1958618164062,24296,143,-99780.29166666,90.67,902.9877319335938,0.0003,2.457310676574707,169,1.3331531286239624
276,6200,825.91259765625,24904,147,-99785.39166666001,91.18,922.917236328125,0.0003,2.035367727279663,169,1.2802842855453491
280,6388,427.5503845214844,25656,151,-99647.88166666002,97.83,938.108642578125,0.0003,1.5930168628692627,169,1.2183476686477661
284,6558,624.1287231445312,26336,155,-99679.48166666001,100.99,953.3739013671875,0.0003,1.1356213092803955,169,1.1656811237335205
288,6813,434.0662536621094,27356,161,-99647.63166666002,107.94,976.74560546875,0.0003,0.6560644507408142,169,1.092085599899292
292,7671,466.53021240234375,30788,181,-98834.63166666002,126.63,1117.750732421875,0.0003,-0.6132749319076538,169,0.8869946599006653
