time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1356,814.375,38,2.0852948534599847e-10,0,0.02,0.05,-24275898.432440437,52120,11988712.0
1370,752.6875,73,1.8852719385620276e-10,1,0.02,0.05,-22358372.094317563,100292,13260686.0
1367,814.125,111,2.0862095384543977e-10,2,0.02,0.05,-24259234.730858877,152396,11983456.0
1366,814.875,149,2.0916197940312742e-10,3,0.02,0.05,-24255233.607453935,204548,11952459.0
1365,690.625,182,1.7567879095903294e-10,4,0.02,0.05,-20536059.741677187,248748,14230516.0
1375,814.75,218,2.0947088508194156e-10,5,0.02,0.05,-23866442.243910253,300892,11934832.0
1372,568.875,245,1.6441524530730334e-10,6,0.02,0.05,-16893643.901472688,337300,15205402.0
1371,753.375,281,1.8800909440397362e-10,7,0.02,0.05,-22469030.038372625,385516,13297229.0
1370,814.4375,319,2.0944029843761314e-10,8,0.02,0.05,-23676442.11145425,437640,11936575.0
1369,814.4375,357,2.0840829062507282e-10,9,0.02,0.05,-24300147.3159335,489764,11995684.0
1368,818.25,396,2.1068008448921205e-10,10,0.02,0.05,-24442023.125656374,542132,11866332.0
1363,753.375,432,1.8762667808314148e-10,11,0.02,0.05,-22473427.03597275,590348,13324331.0
1364,752.5,467,1.8764648168634324e-10,12,0.02,0.05,-22466307.555918127,638508,13322925.0
1363,751.9375,503,1.8775862808961818e-10,13,0.02,0.05,-22431187.153149754,686632,13314967.0
1363,506.5625,527,1.6317083795236442e-10,14,0.02,0.05,-15010713.839172188,719052,15321365.0
1364,756.125,562,1.8913542954024365e-10,15,0.02,0.05,-22563547.413977563,767444,13218042.0
1366,693.5625,593,1.759493661879219e-10,16,0.02,0.05,-20664935.04345219,811832,14208633.0
1374,752.625,625,1.8776066812442593e-10,17,0.02,0.05,-22466591.552426375,860000,13314822.0
1385,690.375,652,1.7521654960273025e-10,18,0.02,0.05,-20601623.515507437,904184,14268059.0
1390,875.875,690,2.457091752283702e-10,19,0.02,0.05,-26164479.03252375,960240,10174630.0
1396,627.6875,716,1.7076488834089076e-10,20,0.02,0.05,-18152730.129068747,1000412,14640012.0
