time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/policy_objective,train/learning_rate,train/std,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,train/value_loss
524288,-63898.65931679,256,2040,594.64,32,31,0.015056897886097431,0.0001,1.0374078750610352,-4.38690185546875e-05,0.004126655403524637,1.0,70811671.36469726
540672,-63763.95170441,257,2102,602.57,33,32,0.015895023941993713,0.0001,1.033578634262085,2.396106719970703e-05,0.004832611419260502,1.0,41871742.50751953
557056,-73591.36680209,257,2166,549.58,34,33,0.01593729667365551,0.0001,1.042262315750122,0.0002300739288330078,0.004535024985671043,1.0,62423971.52349243
573440,-69370.95443169,257,2229,564.57,35,34,0.015022331848740578,0.0001,1.0329283475875854,0.0001062154769897461,0.00538583192974329,1.0,100088220.15805665
589824,-69536.35324482,257,2290,575.2,36,35,0.017226513475179672,0.0001,1.0357956886291504,3.463029861450195e-05,0.004996994975954294,1.0,49810387.9786438
606208,-70397.02541209999,257,2350,586.66,37,36,0.016926217824220657,0.0001,1.0455005168914795,0.0015712976455688477,0.0051447306759655476,1.0,59360893.141363524
622592,-62767.738095240005,258,2410,627.41,38,37,0.012451069429516792,0.0001,1.046851634979248,0.0017377734184265137,0.005485690198838711,1.0,50748229.07989502
638976,-63578.991507939994,258,2472,624.92,39,38,0.014758524484932423,0.0001,1.043395757675171,0.0015885233879089355,0.0055329762399196625,1.0,56623482.568237305
655360,-62494.64793956,258,2534,628.95,40,39,0.019475681707262993,0.0001,1.033625841140747,0.000841975212097168,0.005529311951249838,1.0,47415237.19591065
671744,-70742.13779915002,258,2598,585.81,41,40,0.01602144166827202,0.0001,1.0446991920471191,0.0011524558067321777,0.005485986825078726,1.0,64299303.58707275
688128,-71873.62581197,258,2662,607.89,42,41,0.01718834601342678,0.0001,1.0383492708206177,0.0021927952766418457,0.00527604203671217,1.0,76464268.88738403
704512,-75239.16198717999,258,2727,612.51,43,42,0.01262492686510086,0.0001,1.0409021377563477,0.00021189451217651367,0.005657017230987549,1.0,50243647.21196289
720896,-75134.02833333,258,2791,611.74,44,43,0.013849697075784206,0.0001,1.0414392948150635,6.222724914550781e-05,0.005036425776779652,1.0,62080020.77016602
737280,-69487.38555555,258,2854,652.82,45,44,0.015362249687314034,0.0001,1.031760573387146,0.0005362033843994141,0.0054990253411233425,1.0,53448249.673828125
753664,-72193.38011904,258,2917,642.11,46,45,0.011329262517392635,0.0001,1.0268309116363525,0.0005648136138916016,0.005122858099639416,1.0,50192589.74416504
770048,-69104.44499084,258,2979,632.4,47,46,0.012384057976305485,0.0001,1.0293123722076416,0.00035578012466430664,0.004841885529458523,1.0,58873618.745227054
786432,-67736.38887972999,258,3043,649.09,48,47,0.016481999307870865,0.0001,1.0327919721603394,0.0009246468544006348,0.005711130797863007,1.0,62083474.156835936
802816,-63954.97285105,258,3104,669.73,49,48,0.011127457022666931,0.0001,1.0338448286056519,0.00038117170333862305,0.004534181673079729,1.0,41382278.19146118
819200,-57398.472731999995,258,3169,687.01,50,49,0.015527777373790741,0.0001,1.0264065265655518,0.0004616975784301758,0.00563597958534956,1.0,38672352.13868408
835584,-54335.094249090005,258,3234,718.11,51,50,0.01530681923031807,0.0001,1.0152196884155273,0.0022259950637817383,0.005186455324292183,1.0,26796204.274090577
851968,-52071.10397130001,258,3297,747.08,52,51,0.00837034359574318,0.0001,1.0183755159378052,0.0021358728408813477,0.005010097753256559,1.0,40624408.89303436
868352,-47955.04809522999,258,3359,770.89,53,52,0.01670161262154579,0.0001,1.0231894254684448,0.0020105838775634766,0.006040450185537338,1.0,35774181.62299194
884736,-50116.6486111,258,3421,764.53,54,53,0.013064414262771606,0.0001,1.0202717781066895,-0.0030459165573120117,0.004763868637382984,1.0,24079362.295053102
901120,-49141.45666666,258,3485,769.83,55,54,0.01825917512178421,0.0001,1.0193156003952026,0.0005557537078857422,0.005577931180596352,1.0,35626517.4732605
917504,-44402.754786319994,258,3549,791.12,56,55,0.017167646437883377,0.0001,1.020208477973938,0.0003401041030883789,0.006448493804782629,1.0,23974775.457806397
933888,-38216.659423080004,258,3610,811.3,57,56,0.019581595435738564,0.0001,1.0187771320343018,0.0012338757514953613,0.005919070448726416,1.0,26843798.925997924
950272,-37108.51209402,258,3671,838.09,58,57,0.014052613638341427,0.0001,1.0150058269500732,0.000693976879119873,0.006002621725201607,1.0,18272108.21951599
966656,-31312.01876069,258,3733,859.4,59,58,0.013461370952427387,0.0001,1.0104246139526367,0.006307005882263184,0.004898717626929283,1.0,18129221.700447083
983040,-27077.857649569996,259,3794,871.7,60,59,0.016245760023593903,0.0001,1.0138964653015137,0.005544006824493408,0.004893634468317032,1.0,15213832.001008606
999424,-28712.55583333,259,3855,858.59,61,60,0.01707189902663231,0.0001,1.0176312923431396,0.0005666613578796387,0.006078196223825216,1.0,12297223.127133941
1015808,-21884.567393160003,259,3917,895.99,62,61,0.012041078880429268,0.0001,1.024135947227478,0.0027303695678710938,0.004863206297159195,1.0,27059539.57046814
1032192,-18981.25059829,259,3977,901.64,63,62,0.025761518627405167,0.0001,1.0264544486999512,0.010809659957885742,0.006441075354814529,1.0,469860.9438774109
1048576,-17830.10194444,259,4037,898.03,64,63,0.010444563813507557,0.0001,1.0295391082763672,0.002684354782104492,0.006549593061208725,1.0,9419814.225894928
1064960,-19791.67460318,259,4096,885.57,65,64,0.013081136159598827,0.0001,1.0323365926742554,-0.00012350082397460938,0.0057514384388923645,1.0,18218520.962223053
1081344,-18494.80488096,260,4157,879.59,66,65,0.014662939123809338,0.0001,1.0292643308639526,0.0016414523124694824,0.005899104755371809,1.0,27143870.154216003
1097728,-18738.01988096,260,4217,858.86,67,66,0.01507244911044836,0.0001,1.0287765264511108,-0.0007894039154052734,0.0058869048953056335,1.0,12339310.880572509
1114112,-19563.69988096,260,4277,862.25,68,67,0.013244213536381721,0.0001,1.0248196125030518,0.002028226852416992,0.006481103599071503,1.0,15363011.62485962
1130496,-17813.122380959998,260,4337,859.69,69,68,0.009291312657296658,0.0001,1.0269123315811157,-0.0001289844512939453,0.004772661253809929,1.0,6381945.586102677
1146880,-16514.82333333,260,4398,866.28,70,69,0.014248422347009182,0.0001,1.0298153162002563,0.001505434513092041,0.004830445162951946,1.0,15365900.439498901
1163264,-22170.46333333,260,4460,833.52,71,70,0.01337997242808342,0.0001,1.031388282775879,-0.0012818574905395508,0.0052156029269099236,1.0,19313937.630743407
1179648,-21853.125,260,4520,837.38,72,71,0.011425032280385494,0.0001,1.034400463104248,-0.0015624761581420898,0.005646411329507828,1.0,29881594.625616454
1196032,-23756.69666667,261,4579,839.23,73,72,0.013228878378868103,0.0001,1.0311894416809082,0.00010776519775390625,0.0051793064922094345,1.0,12499695.514239501
1212416,-21388.01416667,261,4640,852.45,74,73,0.016289079561829567,0.0001,1.0314267873764038,0.0016646981239318848,0.006943135987967253,1.0,18247626.225738525
1228800,-20290.575833339997,261,4702,870.06,75,74,0.009953917004168034,0.0001,1.031825065612793,-0.002305150032043457,0.005069427192211151,1.0,6386567.841328049
1245184,-16157.567500009998,261,4764,898.78,76,75,0.015445208176970482,0.0001,1.0357321500778198,0.001433730125427246,0.006960076745599508,1.0,12225779.362651825
1261568,-14710.658782059998,261,4825,920.0,77,76,0.010229662992060184,0.0001,1.0560393333435059,0.0038091540336608887,0.006707781460136175,1.0,3305294.9698825837
1277952,-17852.16044872,261,4884,914.47,78,77,0.013927552849054337,0.0001,1.056896448135376,0.0014131665229797363,0.006443263962864876,1.0,21241166.84402771
1294336,-16759.70711539,261,4943,908.46,79,78,0.013002514839172363,0.0001,1.0518972873687744,0.002633035182952881,0.005924297496676445,1.0,20753672.072146606
1310720,-23438.02628205,261,5003,868.34,80,79,0.015565864741802216,0.0001,1.052904486656189,-0.0009188652038574219,0.0059576258063316345,1.0,12487916.256777953
1327104,-27276.65794872,262,5064,843.41,81,80,0.008205152116715908,0.0001,1.0534782409667969,-0.0004723072052001953,0.006117720156908035,1.0,29838166.77991333
1343488,-24126.964615390003,262,5124,843.14,82,81,0.015160946175456047,0.0001,1.0603432655334473,-0.0012810230255126953,0.005028626881539822,1.0,24124533.964816283
1359872,-24954.39375459,262,5184,825.31,83,82,0.007494363933801651,0.0001,1.046010136604309,0.0006452202796936035,0.005891858600080013,1.0,3528877.497027588
1376256,-23605.80738707,262,5244,833.84,84,83,0.013045713305473328,0.0001,1.049622654914856,0.001053452491760254,0.006294263061136007,1.0,30060074.536740113
1392640,-21532.792625169997,262,5301,832.43,85,84,0.012325135990977287,0.0001,1.0595840215682983,0.0018987655639648438,0.005264502018690109,1.0,9550063.779888153
1409024,-20593.14929184,262,5361,835.86,86,85,0.01584571786224842,0.0001,1.0554460287094116,0.0013560056686401367,0.005119417794048786,1.0,27250147.646118164
1425408,-21174.66595851,262,5421,845.83,87,86,0.011642040684819221,0.0001,1.0529956817626953,0.0016731619834899902,0.0036549826618283987,1.0,12353340.479915619
1441792,-21067.05244202,263,5480,854.8,88,87,0.011657891795039177,0.0001,1.0534212589263916,0.0013057589530944824,0.006007203832268715,1.0,15376672.98927765
1458176,-22098.949365099998,263,5541,860.24,89,88,0.008109195157885551,0.0001,1.0530775785446167,0.0002619028091430664,0.0046986173838377,1.0,21181435.831228636
1474560,-18769.488809529998,263,5600,872.35,90,89,0.009216330014169216,0.0001,1.0509341955184937,0.0004305839538574219,0.006002949550747871,1.0,21314790.533451844
1490944,-18294.24214286,263,5658,874.07,91,90,0.008206833153963089,0.0001,1.0535231828689575,0.00622183084487915,0.005522496998310089,1.0,9384113.264953613
1507328,-13407.26214285,263,5716,891.96,92,91,0.011859897524118423,0.0001,1.053112268447876,0.002731621265411377,0.006304636597633362,1.0,12582124.677888488
1523712,-10929.648424899999,263,5776,899.37,93,92,0.013980650343000889,0.0001,1.0386528968811035,0.008884906768798828,0.007232598960399628,1.0,3701049.1923088073
1540096,-13182.25235347,263,5835,882.85,94,93,0.01900533027946949,0.0001,1.03977632522583,0.00544971227645874,0.007456385996192694,1.0,15343862.70590515
1556480,-15584.22259156,264,5894,876.85,95,94,0.02212454564869404,0.0001,1.0471527576446533,-1.9431114196777344e-05,0.007692231796681881,1.0,21346115.33631592
1572864,-17959.02878204,264,5953,867.29,96,95,0.0179932601749897,0.0001,1.0485538244247437,0.002373039722442627,0.0068379901349544525,1.0,27372500.6953125
1589248,-24835.993543949997,264,6013,813.96,97,96,0.014442814514040947,0.0001,1.0554553270339966,0.0019264817237854004,0.006164088845252991,1.0,18195772.722062685
1605632,-26675.97392857,264,6075,805.27,98,97,0.020690953359007835,0.0001,1.0523513555526733,0.0019333958625793457,0.006132328417152166,1.0,27211766.345629882
1622016,-28360.626556780004,264,6133,785.82,99,98,0.016104809939861298,0.0001,1.0539155006408691,0.0022009611129760742,0.007159429602324963,1.0,21116322.29685974
1638400,-26803.65215202,264,6193,807.95,100,99,0.014838985167443752,0.0001,1.0547983646392822,0.0037502050399780273,0.006458287592977285,1.0,35447682.895773314
1654784,-27126.24619048,264,6251,815.61,101,100,0.013096109963953495,0.0001,1.0612499713897705,0.00505375862121582,0.0056974021717906,1.0,15354685.193353271
1671168,-22785.285714290003,264,6306,833.7,102,101,0.014597325585782528,0.0001,1.0592511892318726,0.0029709339141845703,0.005922810640186071,1.0,21399575.06316223
1687552,-25622.70895439,265,6365,811.17,103,102,0.00922384113073349,0.0001,1.0591790676116943,0.002858459949493408,0.004278005100786686,1.0,31722809.995513916
1703936,-28605.240761479996,265,6425,780.97,104,103,0.018131272867321968,0.0001,1.0569803714752197,0.00553816556930542,0.006655139848589897,1.0,38946476.29586182
1720320,-26647.933807870002,265,6483,783.69,105,104,0.019838474690914154,0.0001,1.0531188249588013,0.004927217960357666,0.006422241218388081,1.0,39191686.19954834
1736704,-25134.13829505,265,6543,792.51,106,105,0.016018949449062347,0.0001,1.0554850101470947,0.0028351545333862305,0.005633739288896322,1.0,9509314.271739196
1753088,-30818.11517844,265,6606,794.13,107,106,0.01478358544409275,0.0001,1.0503575801849365,0.0026724934577941895,0.007079313509166241,1.0,21339140.031433105
1769472,-31328.91546398,265,6669,823.51,108,107,0.011355515569448471,0.0001,1.0496457815170288,0.0011866092681884766,0.005675610154867172,1.0,21114409.493951418
1785856,-31496.144004879996,265,6731,855.79,109,108,0.004424617160111666,0.0001,1.0500160455703735,0.008348226547241211,0.006276974454522133,1.0,32524452.51663208
1802240,-26164.38278082,265,6793,895.17,110,109,0.008311840705573559,0.0001,1.045698642730713,0.01192927360534668,0.0054196761921048164,1.0,15025709.208207702
1818624,-27616.70663613,265,6855,888.99,111,110,0.020924093201756477,0.0001,1.0429505109786987,0.011128664016723633,0.006338947452604771,1.0,3427493.2837997437
1835008,-24260.068461529998,265,6915,905.2,112,111,0.011741284281015396,0.0001,1.051361322402954,-0.000980377197265625,0.005726808216422796,1.0,21064599.766070556
1851392,-19709.18237179,265,6975,913.83,113,112,0.009455887600779533,0.0001,1.0563470125198364,0.004088640213012695,0.006480860523879528,1.0,9280479.063689422
1867776,-16417.07634615,265,7036,910.12,114,113,0.0087498240172863,0.0001,1.0584087371826172,0.009033560752868652,0.005387414246797562,1.0,12375900.054830933
1884160,-19041.716282049998,265,7097,898.78,115,114,0.013555409386754036,0.0001,1.0562818050384521,0.0034674406051635742,0.006720489822328091,1.0,21133972.36490631
1900544,-20072.771837610002,265,7160,901.73,116,115,0.014275324530899525,0.0001,1.054977297782898,0.0021625161170959473,0.006416616961359978,1.0,15244989.956227874
1916928,-19220.366837609996,265,7221,916.52,117,116,0.008093425072729588,0.0001,1.0498257875442505,0.002646923065185547,0.004309719428420067,1.0,12186170.747689057
1933312,-27009.596004279996,265,7285,881.12,118,117,0.021562950685620308,0.0001,1.0508896112442017,0.00146406888961792,0.006081073544919491,1.0,9172740.433858108
1949696,-28889.380619649997,265,7347,893.63,119,118,0.011372970417141914,0.0001,1.0466023683547974,0.005325257778167725,0.006663578562438488,1.0,32585200.58742676
1966080,-31236.22036325,265,7410,881.55,120,119,0.012705892324447632,0.0001,1.04497492313385,0.0036392807960510254,0.007083639036864042,1.0,29508024.61956482
1982464,-29547.889059830002,265,7473,879.51,121,120,0.01336658000946045,0.0001,1.0445358753204346,-0.0011789798736572266,0.008037425577640533,1.0,15134627.05079956
1998848,-29513.9582265,265,7537,879.8,122,121,0.011979205533862114,0.0001,1.0407259464263916,9.506940841674805e-05,0.005479322746396065,1.0,15171266.488868713
2015232,-28116.83489317,265,7600,891.52,123,122,0.00970391184091568,0.0001,1.042508602142334,0.007067441940307617,0.004198751412332058,1.0,3208024.5481933593
