time/episodes,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
440,114795.53125,6875.95068359375,-401692.82775898994,0.0003,58,1638,13.82,113,6656,-1.809272050857544,1.145593285560608
444,116812.90625,6698.029296875,-401713.00861871993,0.0003,58,1644,13.82,113,6680,-1.8703444004058838,1.1485729217529297
448,117376.0546875,6721.80224609375,-432391.32537574,0.0003,59,1650,14.96,113,6704,-2.049532413482666,1.1516530513763428
452,116818.59375,6928.0166015625,-432406.41710793006,0.0003,59,1653,14.96,113,6716,-1.993638515472412,1.1532368659973145
456,116759.84375,7690.31689453125,-432420.35972267995,0.0003,59,1658,14.96,112,6736,-2.1731479167938232,1.1559171676635742
460,116943.609375,7336.890625,-432439.65251225,0.0003,59,1662,14.96,112,6752,-2.121833324432373,1.1581252813339233
464,116806.2734375,7304.21044921875,-432458.14361301006,0.0003,59,1665,14.96,112,6764,-2.360480308532715,1.159795880317688
468,117533.3515625,7320.20556640625,-432480.50383685,0.0003,60,1670,14.96,112,6784,-2.415273666381836,1.1626441478729248
472,118271.046875,8027.37939453125,-432510.8676314799,0.0003,60,1674,14.96,112,6800,-2.3829386234283447,1.1649614572525024
476,118110.515625,6709.13671875,-432455.45495249995,0.0003,60,1677,14.95,112,6812,-2.570598602294922,1.1667146682739258
480,118604.78125,6935.48046875,-432474.2741255299,0.0003,60,1682,14.95,112,6832,-2.6128804683685303,1.1696969270706177
484,120389.765625,6628.55078125,-432302.28086268,0.0003,60,1686,14.92,112,6848,-2.6696293354034424,1.1721177101135254
488,119786.734375,6982.67919921875,-431546.95562521,0.0003,60,1689,14.86,112,6860,-2.960486650466919,1.173952579498291
492,119941.171875,6682.4208984375,-430163.1525944499,0.0003,61,1694,14.77,112,6880,-2.814070224761963,1.177101969718933
496,119845.7578125,7004.21484375,-360119.65656867006,0.0003,61,1698,12.39,112,6896,-3.064239978790283,1.1796598434448242
500,119684.6875,7071.22021484375,-224252.27875437003,0.0003,61,1701,7.77,112,6908,-3.001464366912842,1.1816216707229614
504,120097.484375,6947.67822265625,-224293.90025905,0.0003,61,1706,7.77,112,6928,-3.414512872695923,1.1849358081817627
508,119251.921875,6914.47412109375,-155891.49729004,0.0003,61,1710,5.44,112,6944,-3.3632123470306396,1.18766450881958
512,120655.65625,6691.05126953125,-155918.59827125998,0.0003,61,1713,5.44,112,6956,-3.4667115211486816,1.189733624458313
516,121293.75,7480.03125,-123734.93037129,0.0003,62,1718,4.14,112,6976,-3.5291829109191895,1.193244218826294
520,120750.6171875,6681.126953125,-124006.81720163001,0.0003,62,1722,4.14,112,6992,-3.7026963233947754,1.1960909366607666
524,121099.421875,7095.65673828125,-124145.41326310001,0.0003,62,1725,4.14,112,7004,-3.773808717727661,1.1982460021972656
528,120925.375,6759.79052734375,-124216.87822140002,0.0003,62,1730,4.14,112,7024,-3.9090044498443604,1.2018673419952393
532,121548.390625,6711.302734375,-124296.02997201002,0.0003,62,1734,4.14,112,7040,-3.923987865447998,1.2047858238220215
536,120936.25,7100.51123046875,-124289.56083776001,0.0003,62,1737,4.14,112,7052,-4.166270732879639,1.2069885730743408
540,122127.96875,6753.2421875,-124289.81785727,0.0003,63,1742,4.14,111,7072,-4.219032287597656,1.2107030153274536
544,122169.4609375,7542.126953125,-124296.57200609999,0.0003,63,1746,4.14,111,7088,-4.239373207092285,1.2137025594711304
548,122711.5625,6690.416015625,-93644.48303350002,0.0003,63,1749,3.0,111,7100,-4.42485237121582,1.2159624099731445
552,123563.265625,6797.24609375,-93647.52496406,0.0003,63,1754,3.0,111,7120,-4.428378105163574,1.219765305519104
556,122443.78125,6736.80712890625,-93654.38524388996,0.0003,63,1758,3.0,111,7136,-4.720072269439697,1.222825050354004
560,123875.0625,7431.9921875,-93664.43580024998,0.0003,63,1761,3.0,111,7148,-4.605495452880859,1.2251415252685547
564,124070.53125,6743.44873046875,-93668.82181996999,0.0003,64,1766,3.0,111,7168,-4.9003496170043945,1.229007363319397
568,123168.78125,6767.828125,-93670.16712164,0.0003,64,1770,3.0,111,7184,-4.884369850158691,1.2321282625198364
572,125428.9453125,6818.3251953125,-93670.11865770999,0.0003,64,1773,3.0,111,7196,-5.253588676452637,1.2344703674316406
576,123971.375,7454.57666015625,-93672.16518681002,0.0003,64,1778,3.0,111,7216,-4.902920722961426,1.2384116649627686
580,125485.53125,7243.06640625,-93678.13044138999,0.0003,64,1782,3.0,111,7232,-5.676144599914551,1.2415571212768555
584,125558.296875,6796.6064453125,-93679.08362698,0.0003,64,1785,3.0,111,7244,-5.242572784423828,1.2439477443695068
588,124324.4140625,6762.17041015625,-93677.90718838002,0.0003,65,1790,3.0,111,7264,-5.781050682067871,1.2479218244552612
592,125531.8515625,7857.3115234375,-93679.08505513001,0.0003,65,1794,3.0,111,7280,-5.572332382202148,1.2511343955993652
596,126377.2734375,7627.49072265625,-93681.72638004,0.0003,65,1797,3.0,111,7292,-5.92471170425415,1.253530740737915
600,126651.828125,6860.3271484375,-93683.33694862002,0.0003,65,1802,3.0,111,7312,-5.742176055908203,1.2575592994689941
604,125623.375,7347.9462890625,-93686.32277286,0.0003,65,1806,3.0,111,7328,-6.224224090576172,1.2607803344726562
608,125746.828125,6806.70654296875,-93687.16633559998,0.0003,65,1809,3.0,111,7340,-6.011305809020996,1.2632137537002563
612,125555.796875,7508.76171875,-93687.15947288,0.0003,66,1814,3.0,111,7360,-6.377876281738281,1.2672728300094604
616,126107.0625,6875.51904296875,-93683.99803469003,0.0003,66,1818,3.0,111,7376,-6.453150749206543,1.2705353498458862
620,126866.0,6928.17236328125,-93683.86737115,0.0003,66,1821,3.0,111,7388,-6.539587020874023,1.272986888885498
624,128246.1484375,7288.05419921875,-93683.58485962,0.0003,66,1826,3.0,111,7408,-6.695469856262207,1.2770813703536987
628,129448.2734375,6932.89111328125,-93682.71705564,0.0003,66,1830,3.0,111,7424,-6.926567554473877,1.2803500890731812
632,128372.9375,6919.81298828125,-93684.07092045998,0.0003,66,1833,3.0,111,7436,-6.787282943725586,1.2828155755996704
636,129212.34375,7609.83154296875,-93686.40286403999,0.0003,67,1838,3.0,111,7456,-7.293299674987793,1.2869164943695068
640,129452.2421875,6968.95947265625,-93688.58162720001,0.0003,67,1842,3.0,110,7472,-6.980307579040527,1.2902204990386963
644,127879.609375,6898.38720703125,-93688.40724843001,0.0003,67,1845,3.0,110,7484,-7.076303482055664,1.2926907539367676
648,128140.90625,7331.7939453125,-93690.89193537999,0.0003,67,1850,3.0,110,7504,-7.2103447914123535,1.2968053817749023
652,128156.5390625,7586.92822265625,-93689.77045255002,0.0003,67,1854,3.0,110,7520,-7.509547233581543,1.300095558166504
656,128909.953125,6952.3046875,-93690.73374932,0.0003,67,1857,3.0,110,7532,-7.720805644989014,1.3025612831115723
660,129484.015625,7377.6142578125,-93690.36182008,0.0003,68,1862,3.0,110,7552,-7.559983730316162,1.3066895008087158
664,129355.359375,7046.5869140625,-93692.09844199003,0.0003,68,1866,3.0,110,7568,-7.878470420837402,1.3099884986877441
668,130394.875,7389.42431640625,-93692.15621337999,0.0003,68,1869,3.0,110,7580,-8.08705997467041,1.3124682903289795
672,130889.390625,7041.74365234375,-93693.19490672002,0.0003,68,1874,3.0,110,7600,-8.102397918701172,1.316596508026123
676,130206.1171875,7031.083984375,-93694.0135842,0.0003,68,1878,3.0,110,7616,-8.053467750549316,1.3198939561843872
680,130475.3203125,7346.400390625,-93693.21099533001,0.0003,69,1881,3.0,110,7628,-8.11963176727295,1.3223687410354614
684,129906.734375,7049.29150390625,-93693.98302889001,0.0003,69,1886,3.0,110,7648,-8.710594177246094,1.3264826536178589
688,129489.546875,7014.4912109375,-93695.59445944,0.0003,69,1890,3.0,110,7664,-8.495943069458008,1.3297898769378662
692,131452.046875,7084.02294921875,-93696.01336305003,0.0003,69,1893,3.0,110,7676,-8.792900085449219,1.3322641849517822
696,130824.3359375,7046.8642578125,-93696.1325677,0.0003,69,1898,3.0,110,7696,-8.700506210327148,1.336402177810669
700,132460.9375,7061.67041015625,-93696.25443865998,0.0003,70,1902,3.0,110,7712,-8.852293014526367,1.339703917503357
704,131764.53125,7064.14111328125,-93696.51011613,0.0003,70,1905,3.0,110,7724,-9.065793991088867,1.3421789407730103
708,132296.875,7067.88134765625,-93696.61117489003,0.0003,70,1910,3.0,109,7744,-9.309885025024414,1.3463051319122314
712,131697.53125,7106.97265625,-93697.91564834,0.0003,70,1914,3.0,109,7760,-9.394463539123535,1.349609375
716,131603.875,8155.0,-93698.28158063999,0.0003,70,1917,3.0,109,7772,-9.35146713256836,1.3520894050598145
720,132009.28125,7761.0556640625,-93699.37668155,0.0003,70,1922,3.0,109,7792,-9.869243621826172,1.356215476989746
724,131702.734375,8193.283203125,-93701.45554283001,0.0003,71,1926,3.0,109,7808,-9.231515884399414,1.3595306873321533
728,132463.515625,7128.87744140625,-93702.37994517999,0.0003,71,1929,3.0,109,7820,-9.821331024169922,1.3619993925094604
732,132004.609375,7394.365234375,-93702.18424534998,0.0003,71,1934,3.0,109,7840,-9.774720191955566,1.3661364316940308
736,133327.265625,6998.84375,-93702.178194,0.0003,71,1938,3.0,109,7856,-10.364800453186035,1.3694357872009277
740,134557.75,7336.4873046875,-93702.22412967001,0.0003,71,1941,3.0,109,7868,-9.916773796081543,1.37191641330719
744,133441.34375,7182.05078125,-93702.59953518,0.0003,71,1946,3.0,109,7888,-10.544610977172852,1.3760405778884888
748,133723.0,7080.07080078125,-93703.57353836,0.0003,72,1950,3.0,109,7904,-10.120266914367676,1.379352331161499
752,134912.53125,7987.2958984375,-93704.62643064,0.0003,72,1953,3.0,109,7916,-10.639913558959961,1.3818236589431763
