train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
281187808.0,-2.6481637954711914,23.77,1.1761847734451294,0.001,694,112,65.94493865966797,21,2880,132,-99923.34583333001
298537536.0,-3.487164258956909,24.11,1.189347743988037,0.001,717,116,219.83810424804688,22,2972,132,-99926.74583333
148660480.0,-3.6421823501586914,24.86,1.2011401653289795,0.001,734,120,-124.20025634765625,22,3040,132,-99829.60833333
236914000.0,-3.549229145050049,24.98,1.2149335145950317,0.001,754,124,-486.67095947265625,23,3120,132,-99830.80833333
255543952.0,-4.358362197875977,25.94,1.2400151491165161,0.001,793,128,-872.326171875,24,3276,132,-99840.40833333001
156144208.0,-4.288728713989258,26.7,1.2655761241912842,0.001,832,132,-543.0039672851562,25,3432,132,-99848.00833333
335348512.0,-5.63862943649292,27.54,1.2910658121109009,0.001,872,136,-432.60015869140625,27,3592,132,-99856.40833333001
296988800.0,-6.219142436981201,28.12,1.3192713260650635,0.001,914,140,-253.8645782470703,28,3760,132,-99862.20833333001
213343552.0,-5.886045455932617,27.71,1.3391112089157104,0.001,943,144,-248.07199096679688,29,3876,132,-99858.10833333
454972544.0,-6.265850067138672,27.41,1.350488543510437,0.001,963,148,225.74208068847656,29,3956,132,-99855.10833333
240567696.0,-6.050096035003662,27.13,1.3635047674179077,0.001,983,152,183.32566833496094,30,4036,132,-99852.30833333
270500928.0,-6.463854789733887,27.19,1.3866688013076782,0.001,1022,156,664.4920654296875,31,4192,132,-99852.90833333001
357154752.0,-6.402431488037109,26.76,1.3989988565444946,0.001,1043,160,538.6891479492188,32,4276,132,-99949.92083333
156574048.0,-6.681119918823242,26.59,1.4116222858428955,0.001,1064,164,694.0838623046875,33,4360,131,-99948.22083333001
257828080.0,-6.651015281677246,26.27,1.4226903915405273,0.001,1082,168,340.5329895019531,33,4432,131,-99945.02083333001
243293424.0,-6.447416305541992,26.07,1.4354804754257202,0.001,1104,172,322.076171875,34,4520,131,-99943.02083333001
57865856.0,-7.2824554443359375,26.05,1.4572006464004517,0.001,1138,176,775.3221435546875,35,4656,131,-99942.82083333
336012096.0,-7.039677619934082,26.28,1.4773228168487549,0.001,1171,180,977.4315795898438,36,4788,131,-99945.12083333
195071408.0,-7.072031497955322,26.44,1.493772029876709,0.001,1198,184,997.7666015625,37,4896,131,-99946.72083333001
343208384.0,-8.186481475830078,26.99,1.5065977573394775,0.001,1219,188,790.303955078125,37,4980,131,-99849.94583333
311165760.0,-8.054781913757324,27.03,1.5179179906845093,0.001,1238,192,828.0117797851562,38,5056,131,-99850.34583333001
272809376.0,-8.113943099975586,27.0,1.5291773080825806,0.001,1257,196,907.0772705078125,38,5132,131,-99850.04583333
98441152.0,-10.149316787719727,29.07,1.6122535467147827,0.001,1385,200,2022.021240234375,42,5644,131,-99665.67083333
118622776.0,-11.292938232421875,30.93,1.6524806022644043,0.001,1442,204,2060.26611328125,44,5872,131,-99575.69583333
131246768.0,-11.084304809570312,33.34,1.6825231313705444,0.001,1484,208,1834.568359375,45,6040,131,-99487.37083333
99843216.0,-11.785126686096191,33.67,1.7036019563674927,0.001,1514,212,2345.933837890625,46,6160,131,-99593.275
175917344.0,-11.34271240234375,33.77,1.7285906076431274,0.001,1550,216,2124.358154296875,47,6304,131,-99594.275
91478752.0,-12.347634315490723,33.58,1.7649906873703003,0.001,1600,220,2377.21826171875,49,6504,131,-99697.0125
201391760.0,-13.271211624145508,34.73,1.7847245931625366,0.001,1629,224,2684.58056640625,50,6620,131,-99506.875
70284112.0,-14.559678077697754,35.08,1.8334550857543945,0.001,1692,228,3015.6904296875,52,6872,131,-99405.3875
115534520.0,-15.76883602142334,35.84,1.8805946111679077,0.001,1747,232,3656.27001953125,53,7092,131,-99208.18333333
140460768.0,-15.84289836883545,35.9,1.9131557941436768,0.001,1786,236,2650.0439453125,55,7248,131,-99208.78333333001
131075808.0,-17.10366439819336,35.52,1.9307727813720703,0.001,1809,240,3337.34814453125,55,7340,131,-99204.98333333
39470164.0,-17.12436294555664,35.71,1.956717610359192,0.001,1837,244,3534.6904296875,56,7452,131,-99206.88333333
