time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
8192,663,75.99,12,-320066.93902365,1,,,,,,,,,,,
16384,360,71.18,45,-294885.49252523,2,4487582548.4,0.0,0.9998838901519775,0.2,10,0.00084397756,2145309184.0,0.0,-12.769899696856736,0.0003,-0.0013948081963462756
24576,309,78.75,79,-309295.32908781,3,4244518314.0,0.0,0.9997391104698181,0.2,20,0.000703141,2669918720.0,0.0,-12.768771915882827,0.0003,-0.0011254444543737918
32768,290,89.19,112,-352113.69448923995,4,3856355236.2,0.0,0.9996522068977356,0.2,30,0.00084439496,1715043584.0,0.0,-12.76766815930605,0.0003,-0.0012828144852392142
40960,280,78.31,146,-326701.92969489,5,4163077832.6,0.0,0.9996116757392883,0.2,40,0.00065088365,1989070592.0,1.7881393432617188e-07,-12.76710373312235,0.0003,-0.0011852577084937367
49152,274,73.46,178,-298660.74263331003,6,4409175788.2,0.0,0.9996030926704407,0.2,50,0.00033707242,2196587520.0,0.0,-12.766874148696662,0.0003,-0.0007176014900323935
57344,270,71.11,211,-288267.82456268,7,4002209798.8,0.0,0.9994591474533081,0.2,60,0.000671168,2168968704.0,1.1920928955078125e-07,-12.766220840066671,0.0003,-0.0010974318451189903
65536,268,64.66,244,-266964.25887939,8,4003238624.4,0.0,0.9994189143180847,0.2,70,0.00063740986,2105466368.0,0.0,-12.765448904782534,0.0003,-0.001030518965671945
73728,265,89.89,277,-339696.32383499993,9,4014203093.8,0.0,0.9991580247879028,0.2,80,0.0006829391,2093947392.0,0.0,-12.7640696272254,0.0003,-0.0011554760643775809
81920,264,80.13,309,-296922.11932391004,10,3791378644.0,0.0,0.9990513920783997,0.2,90,0.0005329085,1842523904.0,0.0,-12.762364277988672,0.0003,-0.000860546792318928
90112,263,69.26,342,-271228.02695876994,11,3592062824.0,0.0,0.9991427659988403,0.2,100,0.00023613944,2125302144.0,-1.1920928955078125e-07,-12.762329580634832,0.0003,-0.0006451304458096274
98304,263,76.18,373,-296625.36076332,12,3855706180.6,0.0,0.9989609122276306,0.2,110,0.00062874897,2028383232.0,0.0,-12.761876914650202,0.0003,-0.0009593368791684043
106496,261,86.7,407,-315779.52944436995,13,3851675684.4,0.0,0.9987395405769348,0.2,120,0.0008393264,1939829248.0,1.7881393432617188e-07,-12.760117165744305,0.0003,-0.0013023590567172506
114688,260,76.04,440,-299115.06590218,14,3541581622.0,9.765625e-05,0.9986929297447205,0.2,130,0.001683842,1486973696.0,1.1920928955078125e-07,-12.75885342359543,0.0003,-0.002012487363390392
122880,258,82.79,474,-311190.78509772004,15,3857778313.0,0.0,0.9984027147293091,0.2,140,0.0006734987,1829313152.0,0.0,-12.757352165132762,0.0003,-0.0012747077853418887
131072,257,78.4,508,-293130.06636818004,16,3583719722.2,1.220703125e-05,0.9980069398880005,0.2,150,0.0012111017,1822597376.0,0.0,-12.754256238043308,0.0003,-0.0015331445585616166
139264,256,76.1,543,-288535.26147508994,17,3624332430.0,3.662109375e-05,0.9977084398269653,0.2,160,0.0012824254,1673104640.0,0.0,-12.751249139755965,0.0003,-0.0016451418166980147
147456,255,79.62,576,-293264.11748719,18,3780311225.8,0.0,0.9973360896110535,0.2,170,0.0007001893,2100372096.0,0.0,-12.748139521479606,0.0003,-0.0010861889870284358
155648,254,88.43,610,-311723.58575156995,19,3586921000.0,0.0,0.9971148371696472,0.2,180,0.00078128505,1726987904.0,-1.1920928955078125e-07,-12.745385102182627,0.0003,-0.0012099394680262776
163840,254,86.61,644,-311691.0952013701,20,3347010147.4,0.0,0.9966834187507629,0.2,190,0.0005992277,1951877504.0,2.384185791015625e-07,-12.742459000647068,0.0003,-0.0009391029838297982
172032,253,66.43,678,-252548.65866606002,21,3398507813.8,0.0,0.9962708353996277,0.2,200,0.0006882879,1960187648.0,0.0,-12.738610750436782,0.0003,-0.00109628172867815
180224,252,86.31,712,-297324.55476201,22,3575099726.2,0.0,0.9959039688110352,0.2,210,0.0012930515,1648120320.0,1.1920928955078125e-07,-12.735149098932743,0.0003,-0.0017321870218438562
188416,252,89.43,745,-310173.45704956003,23,3288064055.8,0.0,0.9955247044563293,0.2,220,0.0008613907,1930687488.0,0.0,-12.731800612807273,0.0003,-0.0011455563755589538
196608,252,81.16,779,-291405.03702242,24,3251517278.2,0.000146484375,0.9955232739448547,0.2,230,0.0014715134,1762580992.0,-2.384185791015625e-07,-12.730070923268794,0.0003,-0.0017163390839414205
204800,251,64.47,813,-245560.60360201006,25,3435073729.4,0.0,0.9951699376106262,0.2,240,0.00079649827,1726958848.0,0.0,-12.728436206281184,0.0003,-0.001102887912929873
212992,251,73.65,847,-282310.40945519,26,3459482809.8,0.0,0.9945815205574036,0.2,250,0.00034438673,1559011840.0,0.0,-12.724150571972132,0.0003,-0.0007819819427822949
221184,250,63.18,881,-254470.03999446,27,3682895661.4,0.0,0.9947308301925659,0.2,260,0.00039677514,1802909056.0,0.0,-12.722199358791112,0.0003,-0.0006832976447185502
229376,250,78.48,916,-271553.75573716,28,3850695046.2,0.0,0.9944332838058472,0.2,270,0.0007886833,2046941824.0,-2.384185791015625e-07,-12.721576496958733,0.0003,-0.0011211656797968316
237568,249,74.26,950,-272594.7569256,29,3132157617.0,1.220703125e-05,0.9944640398025513,0.2,280,0.00135296,1533784832.0,0.0,-12.72033965587616,0.0003,-0.00150738750162418
245760,249,75.34,984,-272598.61770333,30,3365504396.6,1.220703125e-05,0.9939125180244446,0.2,290,0.0012413136,1611848320.0,1.1920928955078125e-07,-12.71788611933589,0.0003,-0.001447377071599476
253952,249,77.42,1019,-278781.68007933,31,3358384434.0,0.0,0.9938456416130066,0.2,300,0.0009995715,1548946176.0,0.0,-12.715094098448754,0.0003,-0.0013248157611087663
262144,248,68.7,1053,-247097.64695419002,32,3405747311.8,1.220703125e-05,0.9943298697471619,0.2,310,0.0012656718,1708445952.0,0.0,-12.716964292526246,0.0003,-0.0016654149105306715
270336,248,69.13,1087,-243032.25725924998,33,3343396761.8,2.44140625e-05,0.9942882657051086,0.2,320,0.0012096954,1681767168.0,-2.384185791015625e-07,-12.71908063068986,0.0003,-0.001476362381799845
278528,248,73.22,1119,-257923.03806628,34,3193815706.4,0.0,0.9938398003578186,0.2,330,0.0009565523,1425928192.0,1.1920928955078125e-07,-12.716786626726389,0.0003,-0.0013087492847262184
286720,249,73.15,1151,-262114.15404727997,35,3166841526.2,0.0,0.9933426976203918,0.2,340,0.0004984129,1445502464.0,0.0,-12.712601128965616,0.0003,-0.0008642938049888471
294912,249,71.55,1183,-247963.73400571995,36,3354760591.0,0.0,0.9931895136833191,0.2,350,0.00053093256,1715647104.0,0.0,-12.70948168411851,0.0003,-0.0008289836783660576
303104,249,64.08,1215,-232867.02230196004,37,3102420811.3,8.544921875e-05,0.9929786324501038,0.2,360,0.0015218393,1522168064.0,-1.1920928955078125e-07,-12.707863369584084,0.0003,-0.0017844502181105781
311296,250,70.96,1244,-251473.88651489,38,3202122529.6,3.662109375e-05,0.9927425384521484,0.2,370,0.001485514,1944838656.0,1.1920928955078125e-07,-12.705891223996877,0.0003,-0.0016770885365986032
319488,250,65.76,1276,-233862.18760878,39,3291193705.6,1.220703125e-05,0.9926397800445557,0.2,380,0.00095135986,1782461184.0,1.1920928955078125e-07,-12.704324772953987,0.0003,-0.0011657279981591273
327680,250,66.67,1307,-236213.56406455996,40,3259840657.8,0.00013427734375,0.9926613569259644,0.2,390,0.00161485,1615819776.0,0.0,-12.704029246419669,0.0003,-0.0017284795896557626
335872,250,75.97,1339,-260803.74165107,41,3169544496.8,0.0,0.992641270160675,0.2,400,0.0009831527,1626068864.0,-2.384185791015625e-07,-12.703892140835524,0.0003,-0.0010803051221955685
344064,250,60.48,1370,-218868.68096108997,42,3133734522.6,0.0,0.9921744465827942,0.2,410,0.00047519626,1397688320.0,-1.1920928955078125e-07,-12.701670219749213,0.0003,-0.0008248420905147214
