train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
130951168.0,-12.739958763122559,25.92,1.771559715270996,0.001,1592,276,3682.4462890625,44,6472,146,-100148.975
143014352.0,-13.142570495605469,26.03,1.7874226570129395,0.001,1612,280,2960.6455078125,44,6552,146,-100150.075
160587760.0,-13.76501750946045,26.51,1.8035951852798462,0.001,1635,284,4094.55419921875,45,6644,146,-100154.875
158664640.0,-13.088754653930664,26.61,1.8176387548446655,0.001,1652,288,4421.96826171875,45,6712,146,-100155.875
70464160.0,-13.987245559692383,26.67,1.831716537475586,0.001,1669,292,3497.45166015625,46,6780,146,-100156.475
82893128.0,-14.0802001953125,26.61,1.8434168100357056,0.001,1685,296,3704.31787109375,46,6844,146,-100155.875
168830688.0,-13.838294982910156,26.61,1.857596516609192,0.001,1704,300,4228.54931640625,47,6920,145,-100155.875
206339392.0,-14.611702919006348,26.58,1.8717719316482544,0.001,1722,304,3621.8125,47,6992,145,-100155.575
103739544.0,-15.419422149658203,26.72,1.8911598920822144,0.001,1744,308,3482.47412109375,48,7080,146,-100156.975
98122688.0,-16.133710861206055,26.9,1.9138466119766235,0.001,1771,312,3626.913818359375,49,7188,145,-100158.775
112577152.0,-15.811866760253906,27.22,1.9344041347503662,0.001,1797,316,3855.1201171875,49,7292,145,-100061.675
100717856.0,-16.88604736328125,27.54,1.9577288627624512,0.001,1822,320,4451.2197265625,50,7392,145,-100064.875
197402464.0,-16.868087768554688,27.81,1.9787687063217163,0.001,1848,324,4446.20654296875,51,7496,145,-100067.575
167128112.0,-17.32977294921875,27.97,2.002561092376709,0.001,1875,328,4868.958984375,52,7604,145,-100069.175
162676240.0,-17.613935470581055,21.15,2.0210206508636475,0.001,1896,332,5068.89794921875,52,7688,145,-100000.975
70938608.0,-17.15915298461914,21.14,2.039539098739624,0.001,1917,336,5180.60009765625,53,7772,145,-99900.875
159018672.0,-17.660152435302734,21.53,2.063164234161377,0.001,1944,340,4686.57568359375,54,7880,145,-99603.05
138775104.0,-17.501598358154297,21.52,2.0814568996429443,0.001,1963,344,5072.4990234375,54,7956,145,-99602.95
144786992.0,-17.663089752197266,21.66,2.0972049236297607,0.001,1983,348,4714.69921875,55,8036,145,-99503.6
139112576.0,-16.928131103515625,21.78,2.1179966926574707,0.001,2005,352,4694.0517578125,55,8124,145,-99504.8
159782944.0,-17.4921875,22.04,2.140719413757324,0.001,2033,356,5199.09765625,56,8236,145,-99306.275
143171472.0,-17.43494415283203,22.13,2.1582558155059814,0.001,2055,360,4780.31884765625,57,8324,145,-99307.175
127318744.0,-17.405553817749023,22.17,2.1732537746429443,0.001,2072,364,5133.3359375,57,8392,145,-99307.575
138231968.0,-17.670303344726562,22.0,2.188308000564575,0.001,2089,368,5590.3837890625,58,8460,145,-99305.875
