time/total_timesteps,train/learning_rate,train/delta_std,rollout/ep_len_mean,train/step_size,rollout/ep_rew_mean,train/iterations,time/time_elapsed,rollout/return_std,time/fps
27056,0.02,0.05,422.75,5.508902489737011e-08,-66721.25,0,45,45381.08984375,596
44028,0.02,0.05,265.1875,6.814110520281247e-08,-83893.75,1,73,36688.57421875,597
83404,0.02,0.05,615.25,5.142221226606125e-08,-67569.84375,2,139,48617.125,599
116908,0.02,0.05,523.5,5.653158652307866e-08,-73353.125,3,195,44223.0625,598
150372,0.02,0.05,522.875,5.3294847646156995e-08,-61473.125,4,251,46908.84765625,597
172100,0.02,0.05,339.5,5.7776542661258645e-08,-72138.125,5,288,43270.15625,597
204972,0.02,0.05,513.625,5.418643311827509e-08,-67630.0,6,343,46137.0078125,597
243852,0.02,0.05,607.5,5.3193257798511695e-08,-55445.0,7,408,46998.4375,596
293724,0.02,0.05,779.25,5.2412286066783054e-08,-44609.375,8,493,47698.73828125,595
353880,0.02,0.05,939.9375,1.1064394556115076e-07,-15648.75,9,594,22595.0,595
404256,0.02,0.05,787.125,5.386889867509126e-08,-44742.5,10,679,46408.96875,595
456344,0.02,0.05,813.875,5.975855543738362e-08,-32511.25,11,767,41835.01171875,594
507324,0.02,0.05,796.5625,6.084027859287744e-08,-32963.125,12,852,41091.19921875,594
550512,0.02,0.05,674.8125,5.1997890437860406e-08,-49868.75,13,925,48078.875,594
605560,0.02,0.05,860.125,5.63186794977355e-08,-38924.0625,14,1018,44390.2421875,594
659156,0.02,0.05,837.4375,5.977596373440974e-08,-33371.875,15,1109,41822.828125,594
705044,0.02,0.05,717.0,5.405279779324701e-08,-44666.25,16,1186,46251.07421875,594
759720,0.02,0.05,854.3125,6.72090934017433e-08,-27291.25,17,1278,37197.34765625,594
805232,0.02,0.05,711.125,5.221743037964188e-08,-50856.875,18,1355,47876.73046875,594
856476,0.02,0.05,800.6875,6.238490612986425e-08,-32379.375,19,1441,40073.79296875,594
909556,0.02,0.05,829.375,7.075149710544792e-08,-26416.875,20,1530,35334.94140625,594
962512,0.02,0.05,827.4375,6.000128394134663e-08,-33271.875,21,1619,41665.7734375,594
1013796,0.02,0.05,801.3125,6.006382591294823e-08,-32385.625,22,1705,41622.390625,594
1063164,0.02,0.05,771.375,5.3195535087979806e-08,-45210.0,23,1789,46996.42578125,594
1118576,0.02,0.05,865.8125,6.678114061742235e-08,-27406.25,24,1882,37435.71875,594
1181896,0.02,0.05,989.375,1.005445255941595e-07,-15518.125,25,1989,24864.60546875,594
1245896,0.02,0.05,1000.0,9.999999974752427e-07,-9375.0,26,2096,2500.0,594
1304392,0.02,0.05,914.0,8.273722329477096e-08,-21010.0,27,2195,30216.14453125,594
1364616,0.02,0.05,941.0,7.918951894225756e-08,-20242.5,28,2296,31569.833984375,594
1420772,0.02,0.05,877.4375,7.885348196623454e-08,-19717.5,29,2389,31704.37109375,594
1484772,0.02,0.05,1000.0,6.744147071913176e-07,-8647.8125,30,2497,3706.918212890625,594
1541856,0.02,0.05,891.9375,6.514623862585722e-08,-27042.5,31,2593,38375.19921875,594
1600556,0.02,0.05,917.1875,5.781135925531089e-08,-34169.375,32,2692,43244.09375,594
1660080,0.02,0.05,930.0625,5.7473997117085673e-08,-34298.125,33,2793,43497.9296875,594
1718316,0.02,0.05,909.9375,6.448217249044319e-08,-27222.5,34,2890,38770.40625,594
1775056,0.02,0.05,886.5625,8.40981897454185e-08,-20105.9375,35,2986,29727.154296875,594
1832860,0.02,0.05,903.1875,6.539130481542088e-08,-27780.0,36,3096,38231.3828125,591
1881680,0.02,0.05,762.8125,5.8866941543556095e-08,-37625.0,37,3178,42468.65625,592
1941068,0.02,0.05,927.9375,7.532957368994175e-08,-19901.25,38,3277,33187.49609375,592
2000828,0.02,0.05,933.75,7.995091522161601e-08,-20170.9375,39,3375,31269.185546875,592
