train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
99,407,-7.092952728271484e-05,-99166.25,-8.57651138305664,1.0107738971710205,-199.199462890625,106.75,4,2000,0.0007,100,791.2671508789062
199,417,-1.1920928955078125e-07,-97032.64957264102,-8.606497764587402,1.0160489082336426,-78299.5234375,98.07692307692308,9,4000,0.0007,200,989759808.0
299,414,1.7285346984863281e-06,-97148.20788530646,-8.635782241821289,1.020063042640686,-101135.125,95.59677419354838,14,6000,0.0007,300,989678592.0
399,413,-2.2649765014648438e-06,-97049.6839869294,-8.634523391723633,1.0201480388641357,-262.0621032714844,92.29411764705883,19,8000,0.0007,400,1008.44189453125
499,415,1.9490718841552734e-05,-97272.12305555999,-8.662147521972656,1.0252983570098877,-241.16575622558594,87.23,24,10000,0.0007,500,999.35302734375
599,417,2.3305416107177734e-05,-97473.70831197001,-8.65374755859375,1.023730993270874,-245.7854461669922,87.29,28,12000,0.0007,600,990.6493530273438
699,420,9.894371032714844e-06,-97024.67990288,-8.663786888122559,1.0254597663879395,-165.02151489257812,93.48,33,14000,0.0007,700,555.0585327148438
799,421,5.960464477539063e-08,-96443.91768065,-8.670063972473145,1.0262229442596436,-265.70782470703125,94.88,37,16000,0.0007,800,975.2822265625
899,421,5.960464477539063e-08,-96461.59268065,-8.672334671020508,1.0275574922561646,-76650.2890625,106.36,42,18000,0.0007,900,989106368.0
999,419,0.0,-96378.45018065,-8.694154739379883,1.0310492515563965,-156085.90625,116.9,47,20000,0.0007,1000,1939321728.0
1099,419,2.384185791015625e-05,-96345.60018065,-8.710258483886719,1.0332751274108887,-218.9535675048828,123.96,52,22000,0.0007,1100,764.2290649414062
1199,418,5.960464477539063e-08,-96150.05045842,-8.705638885498047,1.032557487487793,-222987.75,135.44,57,24000,0.0007,1200,2400445184.0
1299,417,2.562999725341797e-06,-96175.50045842,-8.711297988891602,1.0341284275054932,-170.73660278320312,147.99,62,26000,0.0007,1300,699.8756713867188
1399,417,0.0,-96682.10270201002,-8.708230972290039,1.0333763360977173,-230.205810546875,158.64,67,28000,0.0007,1400,923.0860595703125
1499,416,0.0,-98470.2911111,-8.731450080871582,1.036856770515442,-250.6128692626953,153.21,71,30000,0.0007,1500,914.3482666015625
1599,416,0.0,-98911.05166666002,-8.739646911621094,1.0384178161621094,-244.9870147705078,158.17,76,32000,0.0007,1600,906.0731811523438
1699,416,-1.1920928955078125e-07,-98905.99666666001,-8.75281047821045,1.0411475896835327,-230.79885864257812,157.66,81,34000,0.0007,1700,897.7882690429688
1799,415,0.0,-98981.12305555001,-8.752163887023926,1.0407323837280273,-180.70245361328125,156.05,86,36000,0.0007,1800,667.4133911132812
1899,415,0.0,-99057.78994949,-8.763483047485352,1.042677402496338,-179.3814697265625,154.1,91,38000,0.0007,1900,661.33154296875
1999,415,0.0,-98898.62744949,-8.762788772583008,1.0426647663116455,-227.0496063232422,162.41,96,40000,0.0007,2000,873.0142822265625
2099,415,0.0,-98639.04717172001,-8.756425857543945,1.0417675971984863,-175.8922576904297,158.48,101,42000,0.0007,2100,655.5221557617188
2199,414,0.0,-98224.32217172,-8.752021789550781,1.0418745279312134,-32323.326171875,159.64,106,44000,0.0007,2200,498972512.0
2299,414,1.1920928955078125e-07,-97133.77494949,-8.769213676452637,1.0439823865890503,-220.97451782226562,163.69,110,46000,0.0007,2300,851.0391845703125
2399,413,1.7285346984863281e-06,-97239.7610606,-8.760295867919922,1.0416243076324463,-149.18260192871094,163.8,115,48000,0.0007,2400,431.9180603027344
2499,413,0.0,-97356.5910606,-8.74870777130127,1.0401897430419922,-229.77317810058594,158.19,120,50000,0.0007,2500,835.1270751953125
2599,413,1.1920928955078125e-07,-97520.87527777,-8.724052429199219,1.0363118648529053,-182.86865234375,139.25,125,52000,0.0007,2600,659.1450805664062
2699,412,0.0,-98272.70277777,-8.747758865356445,1.0399346351623535,-229.8168182373047,107.12,130,54000,0.0007,2700,819.2341918945312
2799,412,0.0,-98856.49583333,-8.766593933105469,1.0431452989578247,-198.17938232421875,103.53,135,56000,0.0007,2800,645.2753295898438
2899,413,-1.1920928955078125e-07,-98285.90280303001,-8.780237197875977,1.0456680059432983,-183.54739379882812,96.58,140,58000,0.0007,2900,607.0431518554688
2999,413,0.0,-97711.33613636,-8.800975799560547,1.049301028251648,-182.8453826904297,102.43,145,60000,0.0007,3000,601.0282592773438
3099,413,0.0,-97637.18613636,-8.819490432739258,1.052483081817627,-94795.0078125,105.99,149,62000,0.0007,3100,987289024.0
3199,413,-1.1920928955078125e-07,-97855.63613636,-8.844935417175293,1.0576553344726562,-161.33885192871094,107.43,154,64000,0.0007,3200,588.3482055664062
3299,413,0.0,-97780.36113636,-8.847407341003418,1.0576171875,-175.59568786621094,122.22,159,66000,0.0007,3300,582.0728149414062
3399,413,0.0,-97602.39863636,-8.836009979248047,1.0555986166000366,-192.8392333984375,135.07,164,68000,0.0007,3400,605.8053588867188
3499,413,0.0,-96952.53780302,-8.819746971130371,1.053049921989441,-208.27001953125,140.3,169,70000,0.0007,3500,758.1859741210938
3599,413,-1.1920928955078125e-07,-97315.54446969,-8.784523010253906,1.0462000370025635,-234.0654296875,146.03,174,72000,0.0007,3600,750.37646484375
3699,413,-1.1920928955078125e-07,-98136.13499999,-8.787582397460938,1.0470685958862305,-172131.53125,132.13,178,74000,0.0007,3700,1934785792.0
3799,413,-1.1920928955078125e-07,-97959.86538460999,-8.77768325805664,1.045424222946167,-208.7783203125,126.02,183,76000,0.0007,3800,736.4281616210938
3899,413,0.0,-98144.79038461,-8.77011775970459,1.0439308881759644,-166.55381774902344,101.85,188,78000,0.0007,3900,548.24853515625
3999,413,1.1920928955078125e-07,-98675.41621795,-8.790559768676758,1.047574520111084,-213.89163208007812,94.58,193,80000,0.0007,4000,721.9760131835938
4099,412,0.0,-98594.26621795,-8.836000442504883,1.0559719800949097,-141255.96875,96.52,198,82000,0.0007,4100,1934229888.0
4199,412,5.960464477539063e-08,-98905.72038462,-8.836405754089355,1.0561470985412598,-148.76702880859375,105.97,203,84000,0.0007,4200,531.5328979492188
4299,412,2.384185791015625e-07,-98026.00361111,-8.843400955200195,1.056443452835083,-221.8065643310547,120.42,208,86000,0.0007,4300,700.777099609375
4399,412,0.0,-98445.77322649,-8.873038291931152,1.0620439052581787,-173.7194366455078,131.58,213,88000,0.0007,4400,544.9436645507812
4499,413,-1.1920928955078125e-07,-98151.17322649,-8.904285430908203,1.0670241117477417,-69.4957504272461,142.57,217,90000,0.0007,4500,173.65420532226562
4599,412,1.1920928955078125e-07,-97851.82322649,-8.95041561126709,1.0755302906036377,-214.46719360351562,157.4,222,92000,0.0007,4600,678.6007080078125
4699,412,0.0,-97917.02322649,-8.950759887695312,1.0759618282318115,-126328.1015625,174.69,227,94000,0.0007,4700,1464513792.0
4799,412,0.0,-97712.47322649001,-8.921792984008789,1.070858120918274,-197.32635498046875,184.67,232,96000,0.0007,4800,664.6098022460938
4899,412,1.1920928955078125e-07,-97685.54822649,-8.95457649230957,1.076789379119873,-197.4292755126953,192.5,237,98000,0.0007,4900,657.7769775390625
4999,412,0.0,-97463.38267092999,-8.98839282989502,1.0822439193725586,-170.0281219482422,200.82,242,100000,0.0007,5000,488.74688720703125
5099,412,5.960464477539063e-08,-97519.25267093001,-9.008821487426758,1.0864609479904175,-155.3010711669922,198.83,247,102000,0.0007,5100,483.3915710449219
5199,412,1.1920928955078125e-07,-97955.99444444,-9.0335111618042,1.09110689163208,-199.7108612060547,192.36,252,104000,0.0007,5200,636.7852783203125
5299,411,-8.344650268554688e-07,-98316.51944444001,-9.058300018310547,1.0956716537475586,-149.26870727539062,188.56,257,106000,0.0007,5300,472.2386169433594
5399,412,0.002123415470123291,-98573.14444444001,-9.0823974609375,1.1000441312789917,-138.38929748535156,170.63,261,108000,0.0007,5400,473.9615173339844
5499,412,0.0,-98438.58444444001,-9.070011138916016,1.097732663154602,-194.45925903320312,169.87,266,110000,0.0007,5500,615.5424194335938
5599,412,0.0,-98391.90944444001,-9.086017608642578,1.100656270980835,-98.6164779663086,164.91,271,112000,0.0007,5600,304.6160583496094
5699,412,0.0,-98113.77944444,-9.113107681274414,1.1050467491149902,-216.5304718017578,161.17,276,114000,0.0007,5700,602.5215454101562
5799,411,0.0,-98449.73,-9.109878540039062,1.1050386428833008,-189.92330932617188,152.69,281,116000,0.0007,5800,595.4429321289062
5899,411,2.1457672119140625e-06,-98724.485,-9.102489471435547,1.1036384105682373,-45.62958908081055,147.98,286,118000,0.0007,5900,147.27622985839844
5999,412,6.943941116333008e-05,-98738.685,-9.095915794372559,1.1026514768600464,-41.735836029052734,149.4,291,120000,0.0007,6000,145.8395538330078
6099,412,-1.1920928955078125e-07,-97554.66,-9.104028701782227,1.1034482717514038,-103.4839859008789,179.89,295,122000,0.0007,6100,288.2029724121094
6199,412,-1.1920928955078125e-07,-97264.76,-9.10161018371582,1.1031792163848877,-147.79922485351562,184.5,300,124000,0.0007,6200,426.9025573730469
6299,412,4.404783248901367e-05,-95414.585,-9.115266799926758,1.1064600944519043,-130.5855255126953,205.23,305,126000,0.0007,6300,421.6795959472656
6399,412,5.960464477539063e-08,-95385.51,-9.120647430419922,1.1073362827301025,-180.42904663085938,214.31,310,128000,0.0007,6400,554.7135620117188
6499,412,-1.430511474609375e-06,-94473.11,-9.132076263427734,1.108515739440918,-209.5929718017578,223.06,315,130000,0.0007,6500,547.3582763671875
6599,412,5.960464477539063e-08,-91823.96,-9.149682998657227,1.1123384237289429,-191.4613494873047,247.8,320,132000,0.0007,6600,540.3619995117188
6699,412,-1.1920928955078125e-07,-90915.26,-9.14311408996582,1.1112890243530273,-179.8192901611328,256.92,325,134000,0.0007,6700,533.3787231445312
6799,412,1.7881393432617188e-07,-88361.11,-9.137954711914062,1.1101133823394775,-187.2288055419922,279.3,330,136000,0.0007,6800,526.5922241210938
6899,412,-3.5762786865234375e-07,-87448.21,-9.135115623474121,1.1098105907440186,-181.96180725097656,288.0,334,138000,0.0007,6900,519.9572143554688
6999,412,-1.1920928955078125e-07,-84824.21,-9.136665344238281,1.1103333234786987,-176.25985717773438,315.3,339,140000,0.0007,7000,513.1213989257812
7099,412,1.6689300537109375e-06,-84020.235,-9.14568042755127,1.1112014055252075,-195.4291229248047,324.78,344,142000,0.0007,7100,506.7470397949219
7199,412,5.960464477539063e-08,-81384.785,-9.162296295166016,1.1149022579193115,-179.9448699951172,350.77,349,144000,0.0007,7200,499.9767761230469
7299,412,-4.76837158203125e-07,-80767.395,-9.14758014678955,1.1122632026672363,-177.05894470214844,355.55,354,146000,0.0007,7300,493.3713073730469
7399,412,-1.1920928955078125e-07,-78029.695,-9.1690673828125,1.115657091140747,-195.44580078125,381.75,358,148000,0.0007,7400,486.6205139160156
7499,412,-1.1920928955078125e-07,-77124.995,-9.153075218200684,1.1128511428833008,-192.96148681640625,391.27,363,150000,0.0007,7500,480.1171875
