time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
245760,301,26.46,816,-174082.09337142002,30,6698912178.4,0.0,0.9970957636833191,0.2,290,0.0003881407,3611770880.0,-1.1920928955078125e-07,-12.745132400095462,0.0003,-0.0006492326287116157
253952,301,24.41,843,-175771.01402438,31,6374057732.4,0.0,0.996857225894928,0.2,300,0.00051057327,3295613952.0,1.1920928955078125e-07,-12.743130535632371,0.0003,-0.0007791133255523163
262144,301,24.65,869,-162278.70674390998,32,6961274896.0,0.0,0.9967430830001831,0.2,310,0.0005032179,3640138752.0,0.0,-12.74149888753891,0.0003,-0.0007840401336579817
270336,300,27.2,898,-175222.74385344,33,6496480953.6,0.0,0.9967265725135803,0.2,320,0.00017631185,3646069248.0,0.0,-12.740992765128613,0.0003,-0.0003559079243132146
278528,300,27.58,927,-191913.08060718997,34,6493972019.6,0.0,0.9965272545814514,0.2,330,0.00039827928,3121152256.0,0.0,-12.739938785880804,0.0003,-0.00068222238587623
286720,300,22.72,955,-160432.76413634,35,7056787124.0,0.0,0.9963557124137878,0.2,340,0.0005404892,3674207232.0,-1.1920928955078125e-07,-12.738310725241899,0.0003,-0.0008163816979504191
294912,300,22.44,982,-162255.61680753,36,6658795539.2,0.0,0.996275782585144,0.2,350,0.0007969071,3086308096.0,1.1920928955078125e-07,-12.737147305905818,0.0003,-0.0010596150466881226
303104,300,22.89,1010,-161074.61931294,37,6558918915.6,0.0,0.996150016784668,0.2,360,0.00017105392,3195205888.0,0.0,-12.736213870346546,0.0003,-0.00039451203920179976
311296,299,22.94,1038,-168092.79792577,38,6750855467.2,0.0,0.9961689710617065,0.2,370,0.00053770386,3576687616.0,1.1920928955078125e-07,-12.735687546432018,0.0003,-0.0007590569675812731
319488,299,26.13,1067,-172161.3241344,39,6811895233.6,0.0,0.9959585666656494,0.2,380,0.0005333192,3466302464.0,-1.1920928955078125e-07,-12.734811675548553,0.0003,-0.0008233814332925249
327680,298,22.85,1096,-166175.23772695,40,6205211726.8,0.0,0.995656430721283,0.2,390,0.0008829128,2858694400.0,0.0,-12.732571720331908,0.0003,-0.0010698728565330384
335872,298,24.99,1125,-172452.86507617,41,6617408844.0,0.0,0.9954899549484253,0.2,400,0.00037321186,3317747200.0,0.0,-12.73033357411623,0.0003,-0.0006254209252801957
344064,298,23.53,1154,-172141.21943514,42,6768743457.2,0.0,0.9955204725265503,0.2,410,0.00039981707,3696886784.0,0.0,-12.729782707989216,0.0003,-0.0006341507203615037
352256,297,28.63,1185,-178114.58141006998,43,6935299942.0,0.0,0.9955313205718994,0.2,420,0.0003583432,3319575040.0,5.960464477539063e-08,-12.729974000900985,0.0003,-0.0005438265921839047
360448,295,28.03,1217,-182206.90256536996,44,6775666916.0,0.0,0.995646059513092,0.2,430,0.00039129693,3249998592.0,0.0,-12.730537112802267,0.0003,-0.0005535879434319213
368640,294,26.17,1249,-186877.84318673998,45,6459608176.8,0.0,0.9956291317939758,0.2,440,0.00060578535,3186232832.0,0.0,-12.730966099351644,0.0003,-0.0008955031800724101
376832,293,24.44,1282,-167745.57308091,46,6713718433.2,0.0,0.9956547617912292,0.2,450,0.00049452326,3586319872.0,0.0,-12.730963885039092,0.0003,-0.0007140194997191429
385024,292,24.24,1315,-163473.21786218,47,6330935962.0,0.0,0.9954109191894531,0.2,460,0.0007378244,3382538752.0,0.0,-12.73002855554223,0.0003,-0.001034805217932444
393216,291,23.42,1347,-163158.04914647,48,6336467870.8,0.0,0.995143711566925,0.2,470,0.0003079878,3547917056.0,0.0,-12.727692901343108,0.0003,-0.0005117267639434431
401408,290,24.62,1380,-170119.59031323998,49,6456005538.8,0.0,0.9950336813926697,0.2,480,0.00040281948,3195203072.0,0.0,-12.725978093594312,0.0003,-0.0006838473109382903
409600,289,23.59,1412,-160926.35826932,50,6479864794.8,0.0,0.9951084852218628,0.2,490,0.0012311743,3143854592.0,0.0,-12.725828869640827,0.0003,-0.0015531592835031915
417792,288,21.35,1445,-145402.9543227,51,6439725022.8,0.0,0.9948897957801819,0.2,500,0.0004078658,3007240704.0,0.0,-12.72522491812706,0.0003,-0.0005988646906189387
425984,288,23.59,1478,-157884.86112786,52,5985311889.2,0.0,0.9946736097335815,0.2,510,0.0011695883,2924076544.0,0.0,-12.723163572698832,0.0003,-0.0013746134438406444
434176,287,23.72,1512,-156899.23469284002,53,6368912879.2,0.0,0.9945829510688782,0.2,520,0.0001857104,3733748736.0,-1.1920928955078125e-07,-12.72178445085883,0.0003,-0.0004233999774442054
442368,286,22.91,1545,-153606.83839041,54,6188774390.0,0.0,0.9945017695426941,0.2,530,0.0007263885,3020304128.0,-1.1920928955078125e-07,-12.721023800224065,0.0003,-0.0009565218002535403
