time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1554,877.1875,36,2.4743754267753104e-10,0,0.02,0.05,-26018989.202289313,56140,10103559.0
1571,878.0,71,2.4819335475712023e-10,1,0.02,0.05,-25985915.24949675,112332,10072792.0
1585,938.75,108,3.3833172374819753e-10,2,0.02,0.05,-27911004.96852381,172412,7389197.0
1604,752.875,137,1.8970852666555515e-10,3,0.02,0.05,-22206194.54542375,220596,13178110.0
1628,938.25,172,3.400843218148708e-10,4,0.02,0.05,-27653540.19005919,280644,7351118.0
1637,691.875,198,1.7662737938906048e-10,5,0.02,0.05,-20487475.688314624,324924,14154090.0
1648,691.875,223,1.765130264175241e-10,6,0.02,0.05,-20530476.063083686,369204,14163260.0
1654,752.8125,252,1.8810046575890027e-10,7,0.02,0.05,-22404673.295637503,417384,13290770.0
1659,752.625,280,1.884944006436129e-10,8,0.02,0.05,-22364834.526063815,465552,13262993.0
1665,752.875,308,1.883740108343801e-10,9,0.02,0.05,-22382504.45313494,513736,13271470.0
1668,691.625,334,1.7590554013402482e-10,10,0.02,0.05,-20543169.798609186,558000,14212172.0
1671,628.0,357,1.6835632887790553e-10,11,0.02,0.05,-18677616.78624875,598192,14849456.0
1673,753.5,386,1.8815440872010925e-10,12,0.02,0.05,-22433205.613087565,646416,13286959.0
1671,752.0625,415,1.8793100409197905e-10,13,0.02,0.05,-22423603.653944127,694548,13302755.0
1671,628.625,439,1.6784788836599063e-10,14,0.02,0.05,-18734451.537687812,734780,14894438.0
1672,505.0625,458,1.631336871144029e-10,15,0.02,0.05,-14973759.740213312,767104,15324855.0
1673,691.5,484,1.7600552959518012e-10,16,0.02,0.05,-20570690.869844563,811360,14204098.0
1673,751.5625,513,1.9045362509295671e-10,17,0.02,0.05,-21736473.36076375,859460,13126555.0
1677,690.5625,538,1.7552868880610362e-10,18,0.02,0.05,-20579499.54989562,903656,14242686.0
1678,443.125,555,1.6366064059525343e-10,19,0.02,0.05,-13189254.541766439,932016,15275511.0
1682,690.5625,580,1.7546937514101302e-10,20,0.02,0.05,-20585149.492801875,976212,14247500.0
1683,814.3125,610,2.0801813049864393e-10,21,0.02,0.05,-24344348.620129377,1028328,12018183.0
