time/total_timesteps,train/learning_rate,train/delta_std,rollout/ep_len_mean,train/step_size,rollout/ep_rew_mean,train/iterations,time/time_elapsed,rollout/return_std,time/fps
33932,0.02,0.05,530.1875,5.217585297145888e-08,-60824.21875,0,55,47914.8828125,606
58020,0.02,0.05,376.375,5.71154110673433e-08,-76549.5572916875,1,94,43771.0234375,611
99128,0.02,0.05,642.3125,4.767233363622836e-08,-64336.041666687495,2,160,52441.31640625,618
141672,0.02,0.05,664.75,5.1810381762606994e-08,-56642.5,3,230,48252.875,613
181704,0.02,0.05,625.5,5.229770394521438e-08,-56250.0,4,297,47803.24609375,611
221560,0.02,0.05,622.75,5.2332936206767044e-08,-56222.5,5,363,47771.05859375,610
265360,0.02,0.05,684.375,5.232788424791579e-08,-56211.5625,6,435,47775.671875,609
290340,0.02,0.05,390.3125,5.787606838225656e-08,-72009.21875,7,477,43195.74609375,608
331924,0.02,0.05,649.75,5.382688783583944e-08,-49574.921875,8,545,46445.1875,607
366980,0.02,0.05,547.75,5.091186494610156e-08,-60168.125,9,603,49104.46484375,608
420840,0.02,0.05,841.5625,5.745449271898906e-08,-31333.359375,10,690,43512.6953125,609
461588,0.02,0.05,636.6875,5.65088384973933e-08,-73197.0052083125,11,757,44240.8671875,609
517928,0.02,0.05,880.3125,5.8676462799667206e-08,-33800.625,12,849,42606.51953125,609
555744,0.02,0.05,590.875,5.207619224734117e-08,-59774.453125,13,911,48006.58203125,609
603396,0.02,0.05,744.5625,5.617918574785108e-08,-38041.25,14,990,44500.46484375,609
655212,0.02,0.05,809.625,6.049859990753248e-08,-33093.75,15,1075,41323.26953125,609
699884,0.02,0.05,698.0,5.401224711931718e-08,-49465.78125,16,1149,46285.796875,609
746600,0.02,0.05,729.9375,5.485502896362959e-08,-44133.4375,17,1226,45574.671875,608
804588,0.02,0.05,906.0625,7.912201738236035e-08,-21559.375,18,1321,31596.767578125,608
863688,0.02,0.05,923.4375,6.33488781431879e-08,-26888.828125,19,1418,39463.99609375,608
916920,0.02,0.05,831.75,6.813289843421444e-08,-27065.625,20,1506,36692.9921875,608
975472,0.02,0.05,914.875,7.662496415150599e-08,-20486.5625,21,1603,32626.44140625,608
1016940,0.02,0.05,647.9375,5.44030847038357e-08,-54404.140625,22,1671,45953.27734375,608
1073456,0.02,0.05,883.0625,8.0754922748838e-08,-21329.375,23,1765,30957.865234375,608
1127380,0.02,0.05,842.5625,6.132287211357834e-08,-32783.125,24,1854,40767.8203125,607
1180312,0.02,0.05,827.0625,5.878183628738043e-08,-32190.78125,25,1941,42530.14453125,607
1230188,0.02,0.05,779.3125,5.6171792550685495e-08,-39040.0,26,2024,44506.32421875,607
1287292,0.02,0.05,892.25,6.003475760962829e-08,-33251.25,27,2118,41642.54296875,607
1342720,0.02,0.05,866.0625,6.063740443096322e-08,-33033.125,28,2209,41228.6796875,607
1401240,0.02,0.05,914.375,6.49752891490607e-08,-27891.875,29,2306,38476.1640625,607
1465240,0.02,0.05,1000.0,20000.0,-10000.0,30,2412,0.0,607
1525760,0.02,0.05,945.625,1.0954101981042186e-07,-15705.625,31,2512,22822.5,607
1578864,0.02,0.05,829.75,5.994719742830057e-08,-33295.0,32,2600,41703.3671875,607
1642864,0.02,0.05,1000.0,20000.0,-10000.0,33,2706,0.0,606
1702988,0.02,0.05,939.4375,1.1074197203697622e-07,-15643.75,34,2806,22575.0,606
1766980,0.02,0.05,999.875,1.0003000738834089e-07,-16248.125,35,2913,24992.5,606
1827948,0.02,0.05,952.625,1.0821339913036354e-07,-15775.625,36,3014,23102.5,606
1891948,0.02,0.05,1000.0,20000.0,-10000.0,37,3120,0.0,606
1955948,0.02,0.05,1000.0,20000.0,-10000.0,38,3226,0.0,606
2019948,0.02,0.05,1000.0,20000.0,-10000.0,39,3332,0.0,606
