time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,rollout/ep_len_mean
128,-0.012750690802931786,0.9990005493164062,-100315.0,4,0.001,286285376.0,463,6,0,-22.602035522460938,11.5
788,0.21683281660079956,0.963283360004425,-781919.41915975,8,0.001,300621984.0,147,171,5,-197.30259704589844,65.125
1196,0.14248697459697723,0.9832313656806946,-873001.3198814165,12,0.001,326382144.0,145,273,8,-632.8378295898438,80.25
1808,-0.669367253780365,1.0440709590911865,-879864.4852758751,16,0.001,246180384.0,141,426,12,-960.5834350585938,81.25
1892,-0.8672970533370972,1.0544544458389282,-790603.7269927,20,0.001,377204352.0,141,447,13,-940.9085693359375,72.2
2648,-3.054226875305176,1.1631100177764893,-1279853.7838632918,24,0.001,313199360.0,140,636,18,-999.6236572265625,93.125
2844,-3.190480947494507,1.1898506879806519,-1224152.3046289287,28,0.001,305130624.0,139,685,20,-972.1536254882812,90.71428571428571
3032,-3.412796974182129,1.2120108604431152,-1212137.3761869697,32,0.001,206402176.0,138,732,21,-874.158203125,88.57575757575758
3096,-3.8171629905700684,1.220807433128357,-1126854.8822847777,36,0.001,271751936.0,138,748,22,-804.4200439453125,83.38888888888889
5516,-18.328615188598633,1.6337220668792725,-1779520.187836475,40,0.001,198338304.0,141,1353,39,-974.26220703125,105.0
6840,-23.10070037841797,1.9130007028579712,-2602778.080874795,44,0.001,149891680.0,141,1684,48,359.2930908203125,137.1590909090909
7800,-21.522851943969727,2.107426881790161,-2816165.115330063,48,0.001,68382400.0,141,1924,55,659.689208984375,148.08333333333334
8148,-22.820133209228516,2.172628402709961,-2668947.305958231,52,0.001,117009792.0,141,2011,57,343.0845947265625,146.48076923076923
8316,-24.08089828491211,2.2047622203826904,-2489152.6855743215,56,0.001,76356912.0,140,2053,59,940.5894775390625,137.94642857142858
