train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
99,408,4.76837158203125e-06,-99566.20535714286,-8.496344566345215,0.9971877336502075,-246.67955017089844,66.35714285714286,4,2000,0.0007,100,1035.676025390625
199,399,-1.1920928955078125e-07,-99795.88114754099,-8.503653526306152,0.9984742403030396,-244.55215454101562,64.04918032786885,10,4000,0.0007,200,1024.5404052734375
299,401,1.5795230865478516e-05,-100258.45,-8.5247163772583,1.0018491744995117,-250.005126953125,47.31,14,6000,0.0007,300,1014.7693481445312
399,403,-1.1920928955078125e-07,-100286.725,-8.565574645996094,1.0092012882232666,-36694.984375,39.74,19,8000,0.0007,400,499710048.0
499,404,-1.1205673217773438e-05,-100168.2,-8.580463409423828,1.0115180015563965,-236.5581512451172,48.27,24,10000,0.0007,500,996.3204956054688
599,404,-1.0728836059570312e-06,-100173.45,-8.582195281982422,1.0116159915924072,-247.2090301513672,58.9,29,12000,0.0007,600,987.1408081054688
699,403,4.5299530029296875e-06,-100172.3,-8.604698181152344,1.0158722400665283,-230.2421417236328,68.92,34,14000,0.0007,700,978.0706176757812
799,404,0.0,-100385.475,-8.643089294433594,1.0217061042785645,-193397.921875,80.17,39,16000,0.0007,800,1939823232.0
899,403,0.0,-100479.975,-8.656825065612793,1.0240510702133179,-256.2796325683594,90.25,44,18000,0.0007,900,959.9249877929688
999,400,2.8014183044433594e-06,-100652.45,-8.656551361083984,1.0242927074432373,-240.80349731445312,97.22,49,20000,0.0007,1000,950.6531372070312
1099,401,-2.384185791015625e-07,-100784.75,-8.650275230407715,1.0233194828033447,-234.520751953125,110.45,54,22000,0.0007,1100,941.5119018554688
1199,400,-1.430511474609375e-06,-100910.65,-8.679755210876465,1.027930498123169,-252.82334899902344,123.04,59,24000,0.0007,1200,932.5949096679688
1299,400,-1.1920928955078125e-07,-100245.5,-8.669082641601562,1.0265429019927979,-233.7609405517578,146.41,64,26000,0.0007,1300,923.853515625
1399,401,-1.1920928955078125e-07,-100310.0,-8.650174140930176,1.02372145652771,-220.3555145263672,152.86,69,28000,0.0007,1400,914.9132690429688
1499,402,1.1920928955078125e-07,-100514.05,-8.672088623046875,1.0272059440612793,-233.69175720214844,163.13,74,30000,0.0007,1500,906.01025390625
1599,403,6.556510925292969e-07,-100689.85,-8.665000915527344,1.0257716178894043,-241.77407836914062,180.71,79,32000,0.0007,1600,897.125
1699,404,0.0,-100693.05,-8.666332244873047,1.02678382396698,-149349.65625,181.03,84,34000,0.0007,1700,1938240896.0
1799,404,4.649162292480469e-06,-100783.8,-8.707338333129883,1.0330867767333984,-239.8691864013672,179.37,88,36000,0.0007,1800,880.0323486328125
1899,405,-2.384185791015625e-07,-100752.5,-8.733957290649414,1.0378944873809814,-232.3768768310547,86.67,93,38000,0.0007,1900,871.5424194335938
1999,405,-2.384185791015625e-07,-100460.15,-8.740175247192383,1.0386862754821777,-48104.2265625,67.49,98,40000,0.0007,2000,498996384.0
2099,405,0.0,-100402.95,-8.760215759277344,1.0412583351135254,-293101.71875,71.94,103,42000,0.0007,2100,2398282496.0
2199,405,0.0,-100429.55,-8.780879974365234,1.04599928855896,-231.634521484375,74.6,108,44000,0.0007,2200,845.9613647460938
2299,404,2.980232238769531e-07,-100488.35,-8.795412063598633,1.0487996339797974,-222.70787048339844,80.48,113,46000,0.0007,2300,837.0714721679688
2399,405,5.960464477539063e-08,-100638.625,-8.796463012695312,1.0484702587127686,-191.2041015625,105.95,118,48000,0.0007,2400,626.5702514648438
2499,405,0.0,-100749.85,-8.783194541931152,1.0463447570800781,-235.2046356201172,119.78,123,50000,0.0007,2500,820.5473022460938
2599,406,-1.1920928955078125e-07,-100925.65,-8.786090850830078,1.0472900867462158,-227.9038543701172,137.36,128,52000,0.0007,2600,812.0956420898438
2699,405,-1.1920928955078125e-07,-100812.85,-8.79394817352295,1.0485610961914062,-239.8140411376953,147.73,133,54000,0.0007,2700,803.9957885742188
2799,405,0.0,-100933.85,-8.768478393554688,1.0448771715164185,-118698.5,159.83,138,56000,0.0007,2800,1466595072.0
2899,405,1.1920928955078125e-07,-101069.8,-8.773195266723633,1.0453805923461914,21918.787109375,163.37,142,58000,0.0007,2900,24009224.0
2999,406,1.7881393432617188e-07,-100827.825,-8.801959037780762,1.0494111776351929,-143.1777801513672,173.11,147,60000,0.0007,3000,396.0465393066406
3099,407,0.0,-100672.675,-8.784923553466797,1.04694402217865,-180.294921875,183.94,152,62000,0.0007,3100,581.9107666015625
3199,406,-4.76837158203125e-07,-100243.125,-8.789875030517578,1.0477583408355713,-227.8210906982422,163.81,157,64000,0.0007,3200,764.416748046875
3299,406,1.1920928955078125e-07,-99823.81666667,-8.792553901672363,1.048384666442871,-116.9238510131836,142.16,162,66000,0.0007,3300,380.8999938964844
3399,406,5.960464477539063e-08,-99511.36666667,-8.779963493347168,1.0464037656784058,-158.2733612060547,112.94,167,68000,0.0007,3400,563.9113159179688
3499,406,-7.152557373046875e-07,-99694.54166666999,-8.79621410369873,1.0488801002502441,-220.9924774169922,108.47,172,70000,0.0007,3500,741.1970825195312
3599,407,0.0,-99718.58333334,-8.797026634216309,1.0496517419815063,-151.9735565185547,111.63,176,72000,0.0007,3600,552.0870971679688
3699,407,0.0,-99372.14166667,-8.82182502746582,1.0536694526672363,-39658.03125,103.04,181,74000,0.0007,3700,498256352.0
3799,407,2.1457672119140625e-06,-98974.64166667,-8.864943504333496,1.0611990690231323,-143.37295532226562,114.59,186,76000,0.0007,3800,414.7105407714844
