time/fps,train/step_size,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,time/total_timesteps
275,1.3020112987760513e-07,-59329.21875,463.5625,107,0,0.05,47042.60546875,0.049,29668
273,1.4996740560491162e-07,-31956.25,758.375,285,1,0.05,40842.20703125,0.049,78204
273,1.2909998758914298e-07,-62016.25,577.1875,420,2,0.05,47443.84375,0.049,115144
274,1.266538021127417e-07,-54778.359375,705.375,584,3,0.05,48360.17578125,0.049,160288
274,1.3640719487284514e-07,-65396.625,558.5,714,4,0.05,44902.3203125,0.049,196032
274,1.2969418605734973e-07,-41816.09375,703.625,877,5,0.05,47226.48046875,0.049,241064
275,1.4931784164673445e-07,-30875.0,867.1875,1078,6,0.05,41019.87890625,0.049,296564
274,1.478514661812369e-07,-33146.25,814.875,1268,7,0.05,41426.7109375,0.049,348716
274,1.4224595190626133e-07,-33082.8125,877.6875,1473,8,0.05,43059.22265625,0.049,404888
274,1.3293183087625948e-07,-44539.375,704.3125,1638,9,0.05,46076.24609375,0.049,449964
274,1.343736784065186e-07,-38773.125,815.125,1828,10,0.05,45581.84375,0.049,502132
274,1.6044312189933407e-07,-26286.25,925.0,2043,11,0.05,38175.51953125,0.049,561332
274,1.5356287974555016e-07,-30885.90625,823.5625,2235,12,0.05,39885.94140625,0.049,614040
274,1.8588771126815118e-06,-9176.25,1000.0,2470,13,0.05,3295.0,0.049,678040
274,2.717089842008136e-07,-15635.625,938.625,2690,14,0.05,22542.5,0.049,738112
274,2.0288382529543014e-07,-21012.5,921.1875,2906,15,0.05,30189.689453125,0.049,797068
274,49000.0,-10000.0,1000.0,3141,16,0.05,0.0,0.049,861068
274,2.6072149239553255e-07,-15873.125,962.375,3367,17,0.05,23492.5,0.049,922660
273,2.3631539534108015e-06,-9352.03125,1000.0,3601,18,0.05,2591.875,0.049,986660
273,2.486304424564878e-07,-15414.84375,982.9375,3832,19,0.05,24634.955078125,0.049,1049568
273,2.366577973589301e-06,-9352.96875,1000.0,4066,20,0.05,2588.125,0.049,1113568
273,1.8753019048745045e-07,-22566.328125,925.3125,4281,21,0.05,32661.40625,0.049,1172788
273,49000.0,-10000.0,1000.0,4516,22,0.05,0.0,0.049,1236788
273,49000.0,-10000.0,1000.0,4751,23,0.05,0.0,0.049,1300788
273,2.0893557461931778e-07,-20683.8541666875,952.0,4974,24,0.05,29315.2578125,0.049,1361716
273,49000.0,-10000.0,1000.0,5209,25,0.05,0.0,0.049,1425716
273,49000.0,-10000.0,1000.0,5443,26,0.05,0.0,0.049,1489716
273,49000.0,-10000.0,1000.0,5677,27,0.05,0.0,0.049,1553716
273,49000.0,-10000.0,1000.0,5912,28,0.05,0.0,0.049,1617716
273,49000.0,-10000.0,1000.0,6147,29,0.05,0.0,0.049,1681716
273,49000.0,-10000.0,1000.0,6381,30,0.05,0.0,0.049,1745716
273,49000.0,-10000.0,1000.0,6615,31,0.05,0.0,0.049,1809716
273,49000.0,-10000.0,1000.0,6849,32,0.05,0.0,0.049,1873716
273,49000.0,-10000.0,1000.0,7084,33,0.05,0.0,0.049,1937716
273,49000.0,-10000.0,1000.0,7317,34,0.05,0.0,0.049,2001716
