train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,train/learning_rate
-4.734598159790039,68.0,452,117854104.0,0.9971491098403931,5,-90464.9375,75,4,87,-0.026186702772974968,0.0001
1.1627068519592285,53.0,612,467.425537109375,0.9956976175308228,7,-94107.3125,82,8,127,-0.03912199288606644,0.0001
7.159202575683594,42.666666666666664,712,195368480.0,0.9948669075965881,8,-96141.54166666667,85,12,152,-0.047456756234169006,0.0001
11.668701171875,36.75,860,118518792.0,0.9936277866363525,9,-97151.15625,88,16,189,-0.05850415676832199,0.0001
8.763509750366211,44.55,1000,195216640.0,0.9924220442771912,11,-97291.675,90,20,224,-0.061395201832056046,0.0001
4.279363632202148,42.041666666666664,1180,156644544.0,0.9910340905189514,12,-97790.5625,92,24,269,-0.0652109682559967,0.0001
-18.609725952148438,44.357142857142854,1816,1166477.25,0.986629843711853,18,-97800.52678571429,97,28,428,-0.0773707926273346,0.0001
-37.87057113647461,63.5625,2304,271922368.0,0.9843356609344482,23,-95679.609127,99,32,550,-0.03895844891667366,0.0001
-46.25736618041992,72.86111111111111,3064,155815184.0,0.9825631976127625,30,-94569.72200177779,101,36,740,-0.03345262259244919,0.0001
-22.02072525024414,115.425,6284,38690196.0,0.9870811700820923,58,-84928.347718275,106,40,1545,0.026052027940750122,0.0001
-12.804913520812988,130.61363636363637,6932,843238.375,0.9907121658325195,64,-83250.14565297727,107,44,1707,0.018728552386164665,0.0001
-4.107987403869629,141.60416666666666,7124,413325.90625,0.9918436408042908,66,-81557.37830689583,107,48,1755,0.02383485436439514,0.0001
-8.131303787231445,131.96153846153845,7252,37009976.0,0.9926130175590515,67,-82601.81074482693,107,52,1787,0.017406553030014038,0.0001
1.7762980461120605,125.19642857142857,7800,74839736.0,0.9953967928886414,72,-83501.41354876787,107,56,1924,0.011011531576514244,0.0001
-21.617115020751953,132.83333333333334,8428,837332.8125,0.9977040886878967,78,-83959.79847885,107,60,2081,0.002937919460237026,0.0001
-19.00029182434082,129.453125,8748,39431532.0,0.9989181756973267,81,-84509.06888642187,107,64,2161,0.0018605131190270185,0.0001
