time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1760,129.0,412,2.438091395440267e-10,54,0.02,0.05,-3844821.794503562,726076,10253922.0
1760,3.6875,412,3.608012946187955e-07,55,0.02,0.05,-86919.3142951875,726312,6929.021484375
1760,65.375,415,3.330890285813126e-10,56,0.02,0.05,-1962034.5138354376,730496,7505500.5
1759,3.0625,415,1.316409338869562e-06,57,0.02,0.05,-85647.9645230625,730692,1899.1053466796875
1758,127.9375,420,2.4415866550775434e-10,58,0.02,0.05,-3830880.103965625,738880,10239243.0
1757,3.25,420,1.1057279607484816e-06,59,0.02,0.05,-85112.9757826875,739088,2260.953857421875
1757,3.0625,420,1.0096727010022732e-06,60,0.02,0.05,-85949.5622231875,739284,2476.0498046875
1756,3.3125,420,8.775647302172729e-07,61,0.02,0.05,-85032.556384875,739496,2848.792724609375
1756,127.875,425,2.441120916518713e-10,62,0.02,0.05,-3832812.4644154375,747680,10241196.0
1755,127.8125,430,2.4386814789778555e-10,63,0.02,0.05,-3836174.034363375,755860,10251441.0
1755,127.875,435,2.4391133557344347e-10,64,0.02,0.05,-3836646.9718398754,764044,10249626.0
1755,3.25,435,7.887705919529253e-07,65,0.02,0.05,-84092.5969583125,764252,3169.4892578125
1755,3.3125,435,1.4596075743611436e-06,66,0.02,0.05,-85374.618961375,764464,1712.7890625
1755,128.25,440,2.4387827868288525e-10,67,0.02,0.05,-3836441.161043125,772672,10251015.0
1755,3.625,440,6.729449353315431e-08,68,0.02,0.05,-76167.1306409375,772904,37150.140625
1755,66.1875,442,3.3276939537252304e-10,69,0.02,0.05,-1965473.4161563125,777140,7512710.0
1755,65.75,445,3.330710429683137e-10,70,0.02,0.05,-1961456.2271302503,781348,7505905.5
1754,3.25,445,5.817964279231091e-07,71,0.02,0.05,-84299.89554162501,781556,4297.03564453125
1754,3.8125,445,3.3270649169026e-07,72,0.02,0.05,-86452.517586625,781800,7514.1298828125
1754,128.0625,450,2.4394650188774847e-10,73,0.02,0.05,-3835120.208021812,789996,10248149.0
1753,4.1875,450,2.449388318837009e-07,74,0.02,0.05,-85751.5444796875,790264,10206.6298828125
1754,66.3125,452,3.332538411893182e-10,75,0.02,0.05,-1954477.9368579374,794508,7501788.5
1754,65.5625,455,3.329758690995277e-10,76,0.02,0.05,-1961885.7179160623,798704,7508051.5
1754,190.6875,462,2.0656951149611302e-10,77,0.02,0.05,-5713399.785178625,810908,12102463.0
1754,127.9375,466,2.4350263472250333e-10,78,0.02,0.05,-3842748.306264875,819096,10266829.0
1754,3.625,467,2.865424164610886e-07,79,0.02,0.05,-87641.2424500625,819328,8724.7109375
1754,3.3125,467,8.294347821902193e-07,80,0.02,0.05,-85717.370609125,819540,3014.100830078125
1753,3.5,467,4.4494422581919935e-06,81,0.02,0.05,-85357.5505574375,819764,561.8681640625
1753,3.8125,467,2.8633627380258986e-07,82,0.02,0.05,-87300.9426650625,820008,8730.9931640625
1753,65.75,470,3.3321001513542114e-10,83,0.02,0.05,-1960459.9534553748,824216,7502775.5
1753,3.25,470,4.364842880022479e-06,84,0.02,0.05,-85494.5831921875,824424,572.75830078125
1753,3.5625,470,2.2726638349013228e-07,85,0.02,0.05,-88076.8479843125,824652,11000.306640625
1753,65.4375,472,3.327517705820071e-10,86,0.02,0.05,-1963733.1760121249,828840,7513107.5
1752,65.6875,475,3.3343253158513164e-10,87,0.02,0.05,-1959691.2700671249,833044,7497768.0
1752,3.125,475,3.3796152365539456e-06,88,0.02,0.05,-85354.80804050001,833244,739.7291259765625
1751,65.875,478,3.3287245182478387e-10,89,0.02,0.05,-1964763.3041696877,837460,7510383.5
1751,3.0625,478,1.5613381947332527e-06,90,0.02,0.05,-85062.32835699999,837656,1601.1904296875
1751,3.375,478,2.8984808864152e-07,91,0.02,0.05,-87850.6809676875,837872,8625.2080078125
1750,3.3125,478,2.688960421437514e-06,92,0.02,0.05,-85588.757487875,838084,929.727294921875
1750,3.1875,478,2.549191549405805e-06,93,0.02,0.05,-85556.09807706249,838288,980.7030639648438
1750,65.625,481,3.331967479702769e-10,94,0.02,0.05,-1960398.745464625,842488,7503074.5
1750,3.375,481,9.003931040751922e-07,95,0.02,0.05,-85606.5368245,842704,2776.56494140625
1749,3.3125,481,2.3915740712254774e-06,96,0.02,0.05,-85371.1039319375,842916,1045.3365478515625
1749,3.5,481,2.137838237104006e-06,97,0.02,0.05,-85081.55682162498,843140,1169.405517578125
1749,3.9375,482,1.5110191498024506e-06,98,0.02,0.05,-84571.4198093125,843392,1654.512451171875
1749,4.0,482,1.3316853255673777e-06,99,0.02,0.05,-85370.47341618751,843648,1877.3204345703125
1748,4.125,482,1.7019978031385108e-06,100,0.02,0.05,-84459.22105575,843912,1468.862060546875
1744,66.4375,486,3.325308639556823e-10,101,0.02,0.05,-1963963.4602258748,848164,7518099.0
1744,4.125,486,1.559827524033608e-06,102,0.02,0.05,-84917.23962524999,848428,1602.7413330078125
1743,4.4375,486,1.7831081322583486e-06,103,0.02,0.05,-84333.5209583125,848712,1402.046142578125
1743,4.875,486,5.614292319933156e-08,104,0.02,0.05,-73451.191256375,849024,44529.20703125
1743,66.6875,489,3.3290620260473247e-10,105,0.02,0.05,-1965078.453949875,853292,7509622.5
1743,4.6875,489,3.5353690464035026e-07,106,0.02,0.05,-86093.48913075,853592,7071.3974609375
1743,4.375,489,7.329213644879928e-07,107,0.02,0.05,-86079.087373,853872,3411.007080078125
1742,67.0,492,3.32950861325898e-10,108,0.02,0.05,-1961322.9701448125,858160,7508615.5
1742,67.125,494,3.3294864087984877e-10,109,0.02,0.05,-1961155.5067476877,862456,7508665.5
1742,4.5625,495,1.0387770998931956e-06,110,0.02,0.05,-85714.02525968749,862748,2406.676025390625
1742,4.6875,495,2.6180055101576727e-07,111,0.02,0.05,-87068.48181825,863048,9549.25390625
