time/total_timesteps,train/learning_rate,train/delta_std,rollout/ep_len_mean,train/step_size,rollout/ep_rew_mean,train/iterations,time/time_elapsed,rollout/return_std,time/fps
10772,0.02,0.05,168.3125,1.1044673442484054e-07,-94791.71875,0,18,22635.345703125,590
19848,0.02,0.05,141.8125,8.116065686181173e-08,-88909.375,1,33,30803.099609375,588
40836,0.02,0.05,327.9375,5.7887810100965e-08,-72022.5,2,69,43186.984375,589
67280,0.02,0.05,413.1875,5.7021956934022455e-08,-72875.0,3,113,43842.76171875,590
90796,0.02,0.05,367.4375,5.748303877339822e-08,-72417.5,4,153,43491.08984375,590
114580,0.02,0.05,371.625,6.087793735787272e-08,-78708.75,5,193,41065.77734375,591
145552,0.02,0.05,483.9375,5.488021770361229e-08,-72867.265625,6,246,45553.75390625,591
175520,0.02,0.05,468.25,5.462987928694929e-08,-60187.03125,7,296,45762.5,591
212200,0.02,0.05,573.125,5.407655123690347e-08,-49476.875,8,358,46230.7578125,591
247980,0.02,0.05,559.0625,5.153613358288567e-08,-54426.875,9,418,48509.65234375,593
291708,0.02,0.05,683.25,5.2551012430512856e-08,-50578.125,10,491,47572.8203125,593
344204,0.02,0.05,820.25,6.42708286591187e-08,-23144.140625,11,578,38897.89453125,595
398512,0.02,0.05,848.5625,5.8741267849882206e-08,-32793.046875,12,669,42559.515625,595
443916,0.02,0.05,709.4375,5.509405553993929e-08,-43959.0625,13,746,45376.9453125,594
504004,0.02,0.05,938.875,1.0938193639731253e-07,-15013.125,14,847,22855.693359375,595
552540,0.02,0.05,758.375,5.804140812415426e-08,-36606.171875,15,928,43072.6953125,595
602172,0.02,0.05,775.5,6.14131394627293e-08,-32752.5,16,1011,40707.8984375,595
659588,0.02,0.05,897.125,6.560089360618804e-08,-27719.375,17,1108,38109.23828125,595
706064,0.02,0.05,726.1875,5.850747442082138e-08,-37881.5625,18,1186,42729.58203125,595
754048,0.02,0.05,749.75,5.247500212135492e-08,-50539.375,19,1267,47641.73046875,594
806364,0.02,0.05,817.4375,6.197890911607828e-08,-32525.0,20,1355,40336.30078125,594
866856,0.02,0.05,945.1875,1.1862076121360587e-07,-13922.8125,21,1456,21075.568359375,595
921272,0.02,0.05,850.25,6.627261939229356e-08,-26333.59375,22,1547,37722.96875,595
971256,0.02,0.05,781.0,6.126343521373201e-08,-32807.5,23,1631,40807.375,595
1031760,0.02,0.05,945.375,6.838127575292674e-08,-26936.015625,24,1733,36559.71484375,595
1082304,0.02,0.05,789.75,5.714488793273631e-08,-38499.140625,25,1817,43748.4453125,595
1140768,0.02,0.05,913.5,7.860032269491057e-08,-21633.75,26,1916,31806.486328125,595
1199240,0.02,0.05,913.625,7.859070194626838e-08,-21635.0,27,2013,31810.380859375,595
1263236,0.02,0.05,999.9375,9.753604501838709e-08,-15186.25,28,2120,25631.548828125,595
1323304,0.02,0.05,938.5625,1.0944143014057772e-07,-15010.0,29,2220,22843.267578125,595
1383436,0.02,0.05,939.5625,1.1867080473848546e-07,-13711.171875,30,2321,21066.681640625,596
1447436,0.02,0.05,1000.0,20000.0,-10000.0,31,2428,0.0,596
1507732,0.02,0.05,942.125,1.1021712253977967e-07,-15670.625,32,2529,22682.5,596
1569016,0.02,0.05,957.5625,7.572872107175499e-08,-22074.375,33,2631,33012.57421875,596
1629104,0.02,0.05,938.875,1.0918247284052995e-07,-14955.15625,34,2732,22897.447265625,596
1693104,0.02,0.05,1000.0,20000.0,-10000.0,35,2839,0.0,596
1757104,0.02,0.05,1000.0,20000.0,-10000.0,36,2946,0.0,596
1821104,0.02,0.05,1000.0,20000.0,-10000.0,37,3053,0.0,596
1884316,0.02,0.05,987.6875,1.138255356636364e-07,-15490.859375,38,3159,21963.4375,596
1948316,0.02,0.05,1000.0,20000.0,-10000.0,39,3267,0.0,596
2012316,0.02,0.05,1000.0,20000.0,-10000.0,40,3374,0.0,596
