time/fps,train/step_size,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,time/total_timesteps
273,1.6941974934070458e-07,-82753.59375,239.6875,55,0,0.05,36152.80859375,0.049,15340
272,1.9625758795882575e-07,-89728.75,223.75,108,1,0.05,31208.984375,0.049,29660
274,1.2591763720593008e-07,-59081.25,544.25,234,2,0.05,48642.90625,0.049,64492
273,1.2934593485169898e-07,-50395.0,664.9375,391,3,0.05,47353.6328125,0.049,107048
272,1.2832883555802255e-07,-43035.78125,715.375,560,4,0.05,47728.9453125,0.049,152832
273,1.3521719210984884e-07,-36470.46875,721.1875,728,5,0.05,45297.49609375,0.049,198988
270,1.2966179951945378e-07,-50313.125,656.75,890,6,0.05,47238.2734375,0.049,241020
271,1.377559755155744e-07,-43309.0625,724.75,1059,7,0.05,44462.6796875,0.049,287404
269,1.3674674903541018e-07,-38156.25,760.875,1248,8,0.05,44790.82421875,0.049,336100
268,1.4573186035704566e-07,-32501.5625,889.1875,1463,9,0.05,42029.2421875,0.049,393008
268,1.5449353440999403e-07,-32078.515625,839.0625,1660,10,0.05,39645.671875,0.049,446708
269,1.9285731411855522e-07,-21594.296875,982.0625,1891,11,0.05,31759.228515625,0.049,509560
269,2.449999783493695e-06,-9375.0,1000.0,2126,12,0.05,2500.0,0.049,573560
269,1.7364823179377709e-07,-26297.1875,893.6875,2336,13,0.05,35272.45703125,0.049,630756
270,2.4840821311045147e-07,-13866.25,962.375,2561,14,0.05,24656.9921875,0.049,692348
270,1.9369642245692376e-07,-20050.0,882.3125,2768,15,0.05,31621.6484375,0.049,748816
270,1.4127844849554094e-07,-38288.125,769.6875,2949,16,0.05,43354.09765625,0.049,798076
270,1.3279949939715152e-07,-48115.546875,712.3125,3116,17,0.05,46122.16015625,0.049,843664
270,1.851523876439387e-07,-21354.375,948.0625,3338,18,0.05,33080.859375,0.049,904340
270,1.948105676774503e-07,-21503.75,900.5,3551,19,0.05,31440.798828125,0.049,961972
271,1.92559284073468e-07,-17994.609375,917.875,3763,20,0.05,31808.3828125,0.049,1020716
271,1.5961035160216852e-07,-25736.328125,860.625,3966,21,0.05,38374.703125,0.049,1075796
271,1.8730658268850675e-07,-21205.0,933.125,4185,22,0.05,32700.396484375,0.049,1135516
271,2.6446460310580733e-07,-15790.0,954.0625,4410,23,0.05,23160.0,0.049,1196576
271,1.279768468975817e-07,-56278.75,628.375,4559,24,0.05,47860.21875,0.049,1236792
271,2.0147585644281207e-07,-19700.15625,911.75,4772,25,0.05,30400.662109375,0.049,1295144
271,2.580305249466619e-07,-15934.375,968.5,5002,26,0.05,23737.5,0.049,1357128
270,1.96042265088181e-07,-20207.1875,942.4375,5237,27,0.05,31243.26171875,0.049,1417444
269,1.9559978170491377e-07,-21458.125,895.9375,5466,28,0.05,31313.94140625,0.049,1474784
269,49000.0,-10000.0,1000.0,5720,29,0.05,0.0,0.049,1538784
269,49000.0,-10000.0,1000.0,5957,30,0.05,0.0,0.049,1602784
269,49000.0,-10000.0,1000.0,6193,31,0.05,0.0,0.049,1666784
269,49000.0,-10000.0,1000.0,6429,32,0.05,0.0,0.049,1730784
269,1.773434632923454e-06,-9136.5625,1000.0,6664,33,0.05,3453.75,0.049,1794784
269,1.5802628468009061e-06,-9031.015625,1000.0,6901,34,0.05,3875.9375,0.049,1858784
268,2.665267402335303e-07,-14844.0625,938.8125,7133,35,0.05,22980.80859375,0.049,1918868
268,1.2536009990071761e-06,-7738.359375,1000.0,7376,36,0.05,4885.92431640625,0.049,1982868
268,1.339536765954108e-06,-8331.640625,1000.0,7611,37,0.05,4572.47607421875,0.049,2046868
