time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
8192,782,134.64285714285714,10,-485411.17939071433,1,,,,,,,,,,,
16384,433,190.8658536585366,37,-633894.0850478659,2,3408090057.4,0.0005126953125,1.0000449419021606,0.2,10,0.0018585094,1900744448.0,-3.0994415283203125e-06,-12.770703126490115,0.0003,-0.002608091446018079
24576,394,200.33,62,-655468.7858187701,3,2946227290.3,0.0,0.9996784925460815,0.2,20,0.0007033792,1622131584.0,-2.384185791015625e-07,-12.769284053891898,0.0003,-0.001607975495790015
32768,371,156.94,88,-532479.45667049,4,3319762837.1,1.220703125e-05,0.999882698059082,0.2,30,0.0010822418,1547678848.0,-1.1920928955078125e-07,-12.768433991074563,0.0003,-0.0018661251950106816
40960,360,174.29,113,-568317.3893118299,5,3223084955.8,0.0,0.9999909996986389,0.2,40,0.00052310474,1587086336.0,-1.1920928955078125e-07,-12.76989114806056,0.0003,-0.0014623198399931424
49152,352,177.1,139,-549843.0774847701,6,2663116179.9,3.662109375e-05,1.0000584125518799,0.2,50,0.0013140469,1309179904.0,0.0,-12.770721391588449,0.0003,-0.002172482222886174
57344,346,170.0,165,-524364.2204706899,7,2710096099.6,6.103515625e-05,0.999836802482605,0.2,60,0.0012002613,1376155264.0,-1.1920928955078125e-07,-12.770102226734162,0.0003,-0.0019995909922727153
65536,345,176.82,189,-543088.49699565,8,2896401298.8,0.0,0.9996554255485535,0.2,70,0.00063072704,1632779648.0,5.960464477539063e-08,-12.76809980943799,0.0003,-0.0014020940492628143
73728,343,172.65,214,-512795.3311125701,9,2605807131.5,4.8828125e-05,0.9995389580726624,0.2,80,0.0014202157,1254292992.0,0.0,-12.766776875406503,0.0003,-0.00220378947124118
81920,340,180.14,240,-527042.0821984799,10,2516235407.4,1.220703125e-05,0.9994006752967834,0.2,90,0.0010381651,1194882560.0,5.960464477539063e-08,-12.765707332640886,0.0003,-0.001584081825785688
90112,338,161.9,266,-477129.12857454,11,2666773415.7,0.00040283203125,0.9994279146194458,0.2,100,0.0020424721,1275304192.0,0.0,-12.765227485448122,0.0003,-0.002532246670307359
98304,337,163.3,291,-477245.22549324,12,2531153127.7,0.0,0.999151885509491,0.2,110,0.00068072625,1288630272.0,0.0,-12.764014694094659,0.0003,-0.0014424373875954188
106496,336,187.87,316,-541878.6778532,13,2472240270.1,0.0,0.9989985227584839,0.2,120,0.0007661035,985408896.0,-1.1920928955078125e-07,-12.76194220483303,0.0003,-0.0014242079258110607
114688,335,185.33,342,-519587.77130217,14,2395474736.2,0.0,0.9989679455757141,0.2,130,0.0007985691,1234708736.0,-1.1920928955078125e-07,-12.761215033382177,0.0003,-0.0015061985988722882
122880,334,164.88,367,-460441.07154238,15,2144077671.5,0.0,0.998857319355011,0.2,140,0.0007142661,1236384512.0,1.1920928955078125e-07,-12.760689256340266,0.0003,-0.0013012212148169056
131072,333,164.63,392,-457230.76167377,16,2446750132.3,1.220703125e-05,0.9987456202507019,0.2,150,0.0007264849,1589756160.0,0.0,-12.759559750556946,0.0003,-0.001376667240037932
139264,333,186.92,417,-506623.73006581,17,2224456843.7,2.44140625e-05,0.9987671971321106,0.2,160,0.0011201699,1174618624.0,0.0,-12.759173334389924,0.0003,-0.0016185468703042716
147456,333,186.27,442,-497647.49119146005,18,2190435879.3,0.0,0.9984866380691528,0.2,170,0.0010452137,971524416.0,0.0,-12.758043970912695,0.0003,-0.001657711782536353
155648,332,165.88,468,-457160.59720054996,19,2158130032.4,0.0,0.9983047842979431,0.2,180,0.0010525677,1389158016.0,0.0,-12.755938205868006,0.0003,-0.0015781947189680069
163840,332,173.69,493,-469421.99634784006,20,2369960654.7,2.44140625e-05,0.9980696439743042,0.2,190,0.0010460129,1150670720.0,-1.1920928955078125e-07,-12.754104371368886,0.0003,-0.001531148156573181
172032,331,176.93,518,-483731.77398896,21,2138474920.5,0.0,0.9975077509880066,0.2,200,0.00046283152,1070348288.0,-1.1920928955078125e-07,-12.750391806662083,0.0003,-0.0011566987359401537
180224,331,189.85,542,-498717.27621313,22,2354685569.0,0.0,0.997435986995697,0.2,210,0.0010199782,1181461504.0,5.960464477539063e-08,-12.747539826482534,0.0003,-0.0016118480485602048
188416,332,197.55,567,-505520.8828588101,23,1821843036.3,0.00079345703125,0.9970479607582092,0.2,220,0.002261594,747637952.0,0.0,-12.74542864859104,0.0003,-0.0025527877874992554
196608,332,215.4,591,-533369.84362795,24,2059990285.0,0.0,0.9968374371528625,0.2,230,0.0008376419,1090092288.0,0.0,-12.742767034471035,0.0003,-0.0015334982330386993
204800,332,207.9,615,-518864.69671124994,25,1914452334.6,0.0,0.9964741468429565,0.2,240,0.0012211059,881996864.0,-1.1920928955078125e-07,-12.740259417891503,0.0003,-0.0019330544924741843
212992,332,164.44,639,-422677.66059084,26,1913475839.0,0.0,0.9953104853630066,0.2,250,0.0007033471,1020668096.0,1.1920928955078125e-07,-12.733222442865372,0.0003,-0.0012432014569640159
