time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1710,567.9375,21,1.641569519206243e-10,0,0.02,0.05,-16890083.38471506,36348,15229328.0
1711,752.25,49,1.875975902398963e-10,1,0.02,0.05,-22493339.269474253,84492,13326397.0
1687,629.625,73,1.6752167708578014e-10,2,0.02,0.05,-18834051.42664931,124788,14923442.0
1687,817.0,104,2.091729567332834e-10,3,0.02,0.05,-24440829.02513519,177076,11951831.0
1690,752.4375,133,1.8756769748495827e-10,4,0.02,0.05,-22502175.788541377,225232,13328521.0
1694,814.875,163,2.0818220758389572e-10,5,0.02,0.05,-24378070.565126687,277384,12008711.0
1700,628.9375,186,1.6750280329436151e-10,6,0.02,0.05,-18814592.042829562,317636,14925122.0
1701,876.0,219,2.4505747431291525e-10,7,0.02,0.05,-26284809.30637619,373700,10201688.0
1705,815.875,249,2.0809615142169946e-10,8,0.02,0.05,-24481967.208551876,425916,12013677.0
1713,1000.0,285,1.902372481765724e-08,9,0.02,0.05,-30012553.74408125,489916,131414.84375
1718,1000.0,322,3.515365420980743e-08,10,0.02,0.05,-30021748.271460876,553916,71116.359375
1720,813.6875,352,2.0754847840365187e-10,11,0.02,0.05,-24376575.44989925,605992,12045378.0
1722,690.5,377,1.7495155324454004e-10,12,0.02,0.05,-20675711.2206005,650184,14289670.0
1723,689.6875,402,1.7472899516146612e-10,13,0.02,0.05,-20665310.367112,694324,14307872.0
1724,690.3125,428,1.7482354452980076e-10,14,0.02,0.05,-20683771.663862936,738504,14300133.0
1722,566.125,449,1.6321832774224276e-10,15,0.02,0.05,-16942275.452148374,774736,15316907.0
1721,690.0,475,1.7493241577515306e-10,16,0.02,0.05,-20650858.2628265,818896,14291233.0
1716,628.25,500,1.6781137590626827e-10,17,0.02,0.05,-18768273.735434815,859104,14897679.0
1715,503.25,519,1.6174611650043857e-10,18,0.02,0.05,-15075866.405886374,891312,15456321.0
1714,440.6875,536,1.6282548920276696e-10,19,0.02,0.05,-13215139.73315756,919516,15353861.0
1713,441.0625,553,1.6294351978807242e-10,20,0.02,0.05,-13209103.783306874,947744,15342739.0
1714,503.25,571,1.6165584149074874e-10,21,0.02,0.05,-15096728.806998875,979952,15464953.0
1715,644.7857142857143,594,,,,,-19317712.450326927,1020000,
1715,689.1875,596,1.746306016459087e-10,22,0.02,0.05,-20662574.14111375,1024060,14315933.0
