time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1726,814.1875,30,2.0760647367890073e-10,0,0.02,0.05,-24395321.564398687,52108,12042013.0
1715,628.25,53,1.676371957914924e-10,1,0.02,0.05,-18772116.071891,92316,14913159.0
1703,690.5,80,1.7507160998686544e-10,2,0.02,0.05,-20656714.40926625,136508,14279870.0
1695,875.5625,113,2.451138458869906e-10,3,0.02,0.05,-26224504.462535128,192544,10199342.0
1695,380.0625,127,1.6773014921422913e-10,4,0.02,0.05,-11319995.501716688,216868,14904894.0
1670,813.5,160,2.0729665206609127e-10,5,0.02,0.05,-24414688.81688044,268932,12060012.0
1659,566.0625,183,1.632921020622291e-10,6,0.02,0.05,-16951357.192277063,305160,15309988.0
1634,565.125,208,1.631262347423501e-10,7,0.02,0.05,-16939473.4132585,341328,15325554.0
1616,378.5,226,1.6713457007266896e-10,8,0.02,0.05,-11334007.327529624,365552,14958006.0
1595,441.75,246,1.6323337126422643e-10,9,0.02,0.05,-13197509.013029687,393824,15315496.0
1581,441.125,266,1.6339980757340555e-10,10,0.02,0.05,-13178250.564717375,422056,15299895.0
1571,316.375,281,1.7445170308327818e-10,11,0.02,0.05,-9463860.255599374,442304,14330613.0
1557,502.5,304,1.6189911911101973e-10,12,0.02,0.05,-15064523.88298475,474464,15441715.0
1545,440.8125,325,1.6303694505559463e-10,13,0.02,0.05,-13211771.342112876,502676,15333948.0
1541,378.3125,341,1.6722720430628613e-10,14,0.02,0.05,-11320455.667569125,526888,14949721.0
1531,627.375,370,1.6704995720040472e-10,15,0.02,0.05,-18830868.535489812,567040,14965582.0
1529,253.4375,381,1.8708724847105174e-10,16,0.02,0.05,-7574432.587549,583260,13362749.0
1526,502.6875,403,1.616918127167466e-10,17,0.02,0.05,-15076877.375349125,615432,15461512.0
1522,502.0,425,1.6219135756667669e-10,18,0.02,0.05,-15025628.120076312,647560,15413891.0
1518,377.75,442,1.6674810143779695e-10,19,0.02,0.05,-11348071.672820376,671736,14992674.0
1516,253.625,453,1.872459409746341e-10,20,0.02,0.05,-7571682.067050688,687968,13351423.0
1514,440.1875,472,1.630557355802864e-10,21,0.02,0.05,-13196013.365533125,716140,15332181.0
1516,377.125,488,1.668114119057762e-10,22,0.02,0.05,-11340618.37075275,740276,14986983.0
1514,252.625,499,1.8631052256523617e-10,23,0.02,0.05,-7603241.6669701245,756444,13418459.0
1513,252.625,510,1.8619562835997527e-10,24,0.02,0.05,-7606102.905176375,772612,13426738.0
1515,252.9375,520,1.8674060908718815e-10,25,0.02,0.05,-7593849.852386688,788800,13387554.0
1517,190.4375,527,2.0688954716074903e-10,26,0.02,0.05,-5726151.445866125,800988,12083743.0
1517,377.1875,543,1.6699384930429773e-10,27,0.02,0.05,-11329687.6767685,825128,14970611.0
1516,252.9375,554,1.866517496118547e-10,28,0.02,0.05,-7586982.430984438,841316,13393927.0
1514,190.5,563,2.0701285130542146e-10,29,0.02,0.05,-5718805.289212874,853508,12076544.0
1511,189.9375,572,2.0643814435672425e-10,30,0.02,0.05,-5733881.04410025,865664,12110164.0
1508,315.0,587,1.7416178221818512e-10,31,0.02,0.05,-9475447.435606249,885824,14354469.0
1506,253.3125,598,1.864729065603754e-10,32,0.02,0.05,-7608534.860106749,902036,13406773.0
1503,252.5,610,1.8628636133666276e-10,33,0.02,0.05,-7602076.667645,918196,13420198.0
1501,190.0,619,2.0746154794082372e-10,34,0.02,0.05,-5704326.2024759995,930356,12050426.0
1499,127.9375,625,2.439878021842645e-10,35,0.02,0.05,-3851265.7008976247,938544,10246414.0
1495,252.75,638,1.8634185861010621e-10,36,0.02,0.05,-7608658.833919812,954720,13416202.0
1494,252.4375,649,1.8628426579070378e-10,37,0.02,0.05,-7602645.428197,970876,13420349.0
1493,128.3125,655,2.4398946751880146e-10,38,0.02,0.05,-3856884.766653375,979088,10246344.0
1490,252.5625,667,1.8618835639916398e-10,39,0.02,0.05,-7608406.276791312,995252,13427262.0
1488,252.3125,679,1.863058041173815e-10,40,0.02,0.05,-7601802.241657812,1011400,13418797.0
