time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
1,142.3,16384,61,-96991.13876260999,265,,,,,,,,,,,
2,162.93,32768,148,-93061.53531857001,220,-8.546873705461621,0.04112548828125,0.2,0.0011,674669760.0,10,911160688.51875,1.0097477436065674,-0.0041506965095322815,-1.1920928955078125e-07,0.005199884
3,183.56,49152,235,-94611.85262625001,208,-8.612462539970874,0.020196533203125,0.2,0.0011,809657216.0,20,753465557.0375,1.02174973487854,-0.0022515312120958697,-1.1920928955078125e-07,0.0033120823
4,194.93,65536,321,-93673.31659090001,203,-8.707685684785247,0.02901611328125,0.2,0.0011,397850176.0,30,640589796.09375,1.0408926010131836,-0.002716487838915782,0.0,0.004946682
5,203.99,81920,407,-91948.63468614001,201,-8.814449017122389,0.024676513671875,0.2,0.0011,225816400.0,40,642154152.81875,1.0592527389526367,-0.002484145995731524,-1.1920928955078125e-07,0.0044638123
6,218.42,98304,493,-94002.67694444001,199,-8.919474764913321,0.029412841796875,0.2,0.0011,404358400.0,50,603497652.76875,1.0772624015808105,-0.002658832808992884,0.0,0.0048764134
7,206.5,114688,578,-94754.3204662,198,-9.03714376911521,0.02978515625,0.2,0.0011,478814656.0,60,566642814.9046875,1.1013505458831787,-0.0031713510252302513,0.0,0.005267816
8,218.66,131072,665,-93995.29497476,197,-9.153171473741532,0.027947998046875,0.2,0.0011,385863488.0,70,590699100.365625,1.1206293106079102,-0.0021832715821801683,0.0,0.0045613106
9,211.54,147456,751,-95243.06955129001,196,-9.244830255210399,0.023028564453125,0.2,0.0011,324177920.0,80,574253051.36875,1.1361746788024902,-0.0020246149641025115,5.960464477539063e-08,0.003993275
10,216.78,163840,838,-96965.21290015001,195,-9.341347732394933,0.020965576171875,0.2,0.0011,320875776.0,90,576893862.065625,1.157109260559082,-0.0015112627937924118,0.0,0.003853362
11,226.6,180224,923,-95369.78807692001,195,-9.43810764849186,0.029205322265625,0.2,0.0011,412841664.0,100,528438907.36875,1.1730047464370728,-0.0018978586411321885,0.0,0.004438562
12,241.54,196608,1010,-94455.97261905,194,-9.539956187456847,0.028668212890625,0.2,0.0011,233017904.0,110,508643389.61875,1.1959537267684937,-0.0024197954748160556,5.960464477539063e-08,0.0049479604
