time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
1,134.35,16384,61,-97627.69940477,265,,,,,,,,,,,
2,134.65,32768,149,-98181.75865385,219,-8.542159260809422,0.0288818359375,0.2,0.0011,1063027520.0,10,944726973.7125,1.008246898651123,-0.003149611630578875,4.231929779052734e-06,0.004320241
3,158.99,49152,236,-98694.64638889,208,-8.606247110292315,0.027978515625,0.2,0.0011,537079168.0,20,953108407.8125,1.0210379362106323,-0.0027792391605544254,0.0,0.004139985
4,178.46,65536,323,-98990.15833333001,202,-8.6798415645957,0.02005615234375,0.2,0.0011,669550848.0,30,793650326.39375,1.0333976745605469,-0.002357972404570319,0.0,0.0035600453
5,191.65,81920,411,-98450.64388889,199,-8.757403706014156,0.027337646484375,0.2,0.0011,349972896.0,40,677199089.025,1.0473687648773193,-0.0028686224701232276,-1.1920928955078125e-07,0.004244024
6,206.4,98304,498,-98096.47027777001,197,-8.829088481143117,0.014459228515625,0.2,0.0011,446766656.0,50,627352155.778125,1.0588507652282715,-0.0015564190340228378,0.0,0.0030921407
7,214.72,114688,586,-98215.27083333001,195,-8.916178105771541,0.02235107421875,0.2,0.0011,387328768.0,60,586262468.3375,1.076991319656372,-0.002195711002332246,0.0,0.003970571
8,224.09,131072,673,-97314.07115801,194,-9.015389349684119,0.026397705078125,0.2,0.0011,293381792.0,70,556742343.56875,1.0945024490356445,-0.0024857239779521477,5.960464477539063e-08,0.004095065
9,245.52,147456,760,-98549.26993589001,193,-9.1276032846421,0.033514404296875,0.2,0.0011,657659008.0,80,551873989.896875,1.1168785095214844,-0.0030477959091513183,-1.1920928955078125e-07,0.005422174
10,226.51,163840,848,-99052.74900794,193,-9.244174651429057,0.022991943359375,0.2,0.0011,279025568.0,90,491876685.6140625,1.1384681463241577,-0.00197075506184774,5.960464477539063e-08,0.0043784473
11,229.97,180224,936,-98556.04861111,192,-9.34779393300414,0.0280517578125,0.2,0.0011,278529472.0,100,540503539.9125,1.1565907001495361,-0.002822458973241737,1.1920928955078125e-07,0.0044195172
12,251.16,196608,1023,-98169.10119047001,192,-9.458070527017117,0.03106689453125,0.2,0.0011,689596928.0,110,516439559.7625,1.1804749965667725,-0.002712937874457566,0.0,0.004747874
