time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
1,219.99095153808594,1.0030252933502197,38,55.322242736816406,-0.06745915859937668,167,0.0001,256,4,51.5,-98005.0
2,1056.2418212890625,1.0062516927719116,83,68.91342163085938,-0.1314820498228073,150,0.0001,436,8,47.0,-97960.0
7,412.2831115722656,1.0158237218856812,227,56.19292068481445,-0.08922415971755981,139,0.0001,1012,12,61.5,-98105.0
9,997.8515625,1.0181142091751099,298,62.15896987915039,-0.11484818160533905,134,0.0001,1296,16,72.625,-98841.25
11,217.2346954345703,1.0198148488998413,345,67.14065551757812,-0.13891491293907166,133,0.0001,1484,20,69.05,-98180.5
12,802.7058715820312,1.021727442741394,394,69.37356567382812,-0.1222558319568634,133,0.0001,1680,24,65.70833333333333,-98563.75
14,412.4414367675781,1.0237224102020264,443,73.2220687866211,-0.14490896463394165,133,0.0001,1876,28,65.07142857142857,-98855.0
17,588.163330078125,1.029064655303955,562,81.79795837402344,-0.18808232247829437,132,0.0001,2352,32,65.4375,-99081.875
19,197.9855194091797,1.0316568613052368,616,85.568359375,-0.1817636340856552,132,0.0001,2568,36,68.02777777777777,-99281.38888888889
21,978.4829711914062,1.0350350141525269,681,91.50569915771484,-0.24881622195243835,132,0.0001,2828,40,68.75,-99170.0625
23,588.3251342773438,1.0389291048049927,752,96.4624252319336,-0.2480444461107254,131,0.0001,3112,44,67.88636363636364,-99298.46590909091
25,783.4223022460938,1.0419093370437622,804,99.22747802734375,-0.2760207951068878,131,0.0001,3320,48,67.91666666666667,-99412.96875
26,998.0843505859375,1.0443553924560547,845,100.71702575683594,-0.25359463691711426,131,0.0001,3484,52,66.5,-99495.43269230769
29,412.85369873046875,1.0496631860733032,932,109.1283950805664,-0.31953948736190796,131,0.0001,3832,56,64.98214285714286,-99384.50892857143
32,822.5039672851562,1.0570753812789917,1045,115.13062286376953,-0.27666234970092773,130,0.0001,4284,60,64.25,-99292.45833333333
34,607.9363403320312,1.0612874031066895,1107,121.0489273071289,-0.4225400388240814,130,0.0001,4532,64,69.1875,-99425.5859375
37,1173.7552490234375,1.0673753023147583,1193,126.40894317626953,-0.41316622495651245,130,0.0001,4876,68,69.3529411764706,-99501.13970588235
39,413.1053771972656,1.0738317966461182,1280,131.14569091796875,-0.4172617197036743,130,0.0001,5224,72,69.48611111111111,-99429.27083333333
42,218.15371704101562,1.08074152469635,1371,136.00689697265625,-0.47614869475364685,130,0.0001,5588,76,69.0657894736842,-99491.15131578948
45,393.7518310546875,1.087238073348999,1452,143.07418823242188,-0.5675455331802368,130,0.0001,5912,80,71.425,-99574.21875
47,1193.2816162109375,1.0917116403579712,1508,143.90069580078125,-0.5585685968399048,129,0.0001,6136,84,72.26190476190476,-99636.39880952382
50,1193.189697265625,1.0999408960342407,1608,150.70083618164062,-0.5641592144966125,128,0.0001,6536,88,72.14772727272727,-99456.20738636363
53,393.4230651855469,1.1032437086105347,1671,140.196044921875,-0.029746562242507935,127,0.0001,6788,92,71.01086956521739,-99499.41576086957
55,198.36378479003906,1.1040974855422974,1731,142.49087524414062,-0.09403040260076523,127,0.0001,7028,96,71.75,-99556.8359375
56,783.4178466796875,1.1047276258468628,1777,144.08233642578125,-0.04006852209568024,127,0.0001,7212,100,71.12,-99596.5625
59,1173.4515380859375,1.1057403087615967,1857,145.4617919921875,0.014695262536406517,126,0.0001,7532,104,72.1,-99706.3625
62,783.41357421875,1.1071996688842773,1961,147.7957763671875,-0.03342578560113907,126,0.0001,7948,108,74.2,-99827.3625
65,393.3531494140625,1.1083924770355225,2037,151.13699340820312,-0.03787730634212494,126,0.0001,8252,112,72.95,-99814.8625
68,218.0086669921875,1.1099251508712769,2152,154.8455047607422,-0.12839160859584808,126,0.0001,8712,116,72.35,-99604.7375
72,413.05340576171875,1.111924171447754,2279,156.0709228515625,-0.08218050748109818,127,0.0001,9220,120,74.67,-99523.9125
73,783.4325561523438,1.1124616861343384,2313,157.15147399902344,-0.049077779054641724,127,0.0001,9356,124,76.88,-99546.0125
77,588.4488525390625,1.114572525024414,2430,158.84243774414062,-0.06768020987510681,127,0.0001,9824,128,77.59,-99453.1125
78,198.4986114501953,1.1151295900344849,2463,161.30426025390625,-0.17486248910427094,127,0.0001,9956,132,78.19,-99459.1125
80,237.60104370117188,1.1167536973953247,2551,162.0728759765625,-0.10328531265258789,127,0.0001,10308,136,77.79,-99355.1125
84,23.14249610900879,1.1189502477645874,2661,162.42218017578125,-0.09544836729764938,127,0.0001,10748,140,77.76,-99357.525
86,588.4579467773438,1.1202389001846313,2730,166.64535522460938,-0.1507367491722107,127,0.0001,11024,144,78.78,-99367.725
89,413.0880126953125,1.122606635093689,2841,168.5622100830078,-0.0938321202993393,127,0.0001,11468,148,80.22,-99279.4125
90,198.651123046875,1.1232221126556396,2873,169.56346130371094,-0.20971783995628357,127,0.0001,11596,152,80.92,-99286.4125
92,393.5790100097656,1.124558448791504,2927,168.88372802734375,-0.10199113190174103,127,0.0001,11812,156,80.71,-99384.3125
95,393.6649169921875,1.12734854221344,3037,173.13922119140625,-0.1695915162563324,127,0.0001,12252,160,81.06,-99488.8625
98,803.2510375976562,1.1297922134399414,3125,173.73477172851562,-0.07738983631134033,127,0.0001,12604,164,80.28,-99380.275
101,978.6880493164062,1.1321184635162354,3208,171.964599609375,-0.027479134500026703,127,0.0001,12936,168,79.77,-99375.175
103,588.7374877929688,1.1348832845687866,3300,175.33847045898438,-0.09645644575357437,128,0.0001,13304,172,81.32,-99284.5375
106,608.2985229492188,1.1376549005508423,3397,175.96298217773438,-0.13105329871177673,128,0.0001,13692,176,83.76,-99204.65
110,842.2147827148438,1.141585350036621,3515,177.25430297851562,-0.07610383629798889,128,0.0001,14164,180,82.5,-99192.05
112,1173.5552978515625,1.1434457302093506,3575,180.9161376953125,-0.15177114307880402,128,0.0001,14404,184,82.25,-99189.55
114,608.3200073242188,1.1457529067993164,3645,178.83346557617188,-0.015476297587156296,128,0.0001,14684,188,82.25,-99289.4625
118,393.90045166015625,1.1498184204101562,3760,180.30191040039062,-0.020908329635858536,128,0.0001,15144,192,84.31,-99110.0625
120,413.43072509765625,1.152853012084961,3838,182.6142578125,-0.07004131376743317,128,0.0001,15456,196,84.33,-99110.2625
121,978.6664428710938,1.1543707847595215,3876,183.032958984375,-0.10330590605735779,128,0.0001,15608,200,84.46,-99011.5625
124,588.8709716796875,1.1580408811569214,3967,184.62594604492188,-0.19065839052200317,127,0.0001,15972,204,83.83,-98905.2625
127,394.0594482421875,1.160941481590271,4038,185.1409454345703,-0.09825892746448517,127,0.0001,16256,208,82.95,-98796.4625
128,199.16668701171875,1.1634317636489868,4100,185.08444213867188,-0.1340441107749939,127,0.0001,16504,212,84.28,-98809.675
132,394.23065185546875,1.1685563325881958,4209,186.15548706054688,-0.13447336852550507,128,0.0001,16940,216,83.3,-99004.0
134,23.834747314453125,1.1721198558807373,4282,186.97805786132812,-0.18145336210727692,128,0.0001,17232,220,81.75,-99191.7375
138,608.5338134765625,1.1783339977264404,4414,188.3286590576172,-0.19197630882263184,128,0.0001,17760,224,81.05,-99084.7375
140,199.5545654296875,1.1815286874771118,4480,188.79969787597656,-0.055272117257118225,128,0.0001,18024,228,82.17,-99095.9375
142,784.0741577148438,1.18485426902771,4553,190.84979248046875,-0.10212504863739014,128,0.0001,18316,232,82.62,-98899.57083333
145,43.209693908691406,1.1905574798583984,4655,190.3280029296875,-0.0316174291074276,128,0.0001,18724,236,83.05,-98903.43333333
149,589.1288452148438,1.1970731019973755,4765,190.4088134765625,-0.11241786926984787,128,0.0001,19164,240,84.85,-98812.50833333
150,803.4669189453125,1.199141263961792,4797,191.13116455078125,-0.23940765857696533,128,0.0001,19292,244,83.8,-98699.03333333001
153,1193.1806640625,1.2057836055755615,4905,194.52597045898438,-0.3394126296043396,128,0.0001,19724,248,82.31,-98686.67083333
155,803.8866577148438,1.211379885673523,4990,195.8142547607422,-0.2618216574192047,128,0.0001,20064,252,83.83,-98501.07083333
159,238.777099609375,1.2188146114349365,5098,197.43893432617188,-0.19805721938610077,128,0.0001,20496,256,86.47,-98222.47083333001
161,589.5755615234375,1.2234578132629395,5171,197.86062622070312,-0.161045104265213,128,0.0001,20788,260,87.09,-98026.04083333
163,219.04412841796875,1.2280890941619873,5239,196.7387237548828,-0.1471053510904312,128,0.0001,21060,264,85.09,-98106.82833333
165,394.5406188964844,1.233093023300171,5315,200.32635498046875,-0.2705354690551758,128,0.0001,21364,268,84.97,-98105.62833333001
167,238.78695678710938,1.237898349761963,5379,199.36578369140625,-0.2984052896499634,128,0.0001,21620,272,83.84,-98300.46583333
170,628.5916137695312,1.245426893234253,5477,198.197998046875,-0.15121020376682281,128,0.0001,22012,276,83.06,-97993.57416666001
173,804.1998291015625,1.2533695697784424,5572,202.8463134765625,-0.18551349639892578,128,0.0001,22392,280,81.7,-97878.66166666002
175,1173.8447265625,1.2585911750793457,5642,199.59970092773438,-0.04493512213230133,129,0.0001,22672,284,82.29,-97578.54666666001
178,803.9845581054688,1.266593098640442,5738,200.44435119628906,-0.11636169999837875,129,0.0001,23056,288,83.22,-97688.54666666001
180,609.1246337890625,1.2717738151550293,5802,202.22479248046875,-0.31377601623535156,129,0.0001,23312,292,82.21,-97777.92166666001
182,395.1839904785156,1.2780377864837646,5869,203.04241943359375,-0.2425454556941986,129,0.0001,23580,296,80.95,-97765.32166666
