time/fps,train/step_size,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,time/total_timesteps
273,1.505637925447445e-07,-32694.21875,836.875,195,0,0.05,40680.4296875,0.049,53560
277,1.3149968935977085e-07,-34875.9375,784.8125,374,1,0.05,46578.0546875,0.049,103788
277,1.333558685701064e-07,-42632.03125,755.875,549,2,0.05,45929.734375,0.049,152164
276,1.4555178040609462e-07,-33507.5,851.0,747,3,0.05,42081.2421875,0.049,206628
276,1.3694554468202114e-07,-37889.375,811.375,936,4,0.05,44725.8046875,0.049,258556
275,1.2450973940758558e-07,-56143.4375,741.1875,1110,5,0.05,49192.9375,0.049,305992
275,1.3445936986045126e-07,-48762.65625,702.8125,1274,6,0.05,45552.7890625,0.049,350972
275,1.2940039084696764e-07,-49004.0625,740.625,1446,7,0.05,47333.703125,0.049,398372
275,1.6235379973750241e-07,-26397.1875,852.125,1644,8,0.05,37726.25,0.049,452908
275,1.9141980089898425e-07,-21709.375,921.0625,1859,9,0.05,31997.734375,0.049,511856
275,1.376529610297439e-07,-39045.625,779.875,2041,10,0.05,44495.95703125,0.049,561768
275,2.5721783458720893e-07,-15953.125,970.375,2267,11,0.05,23812.5,0.049,623872
275,1.3391159825459908e-07,-44180.0,794.8125,2453,12,0.05,45739.1328125,0.049,674740
274,1.5892561577857123e-07,-31489.609375,837.625,2649,13,0.05,38540.04296875,0.049,728348
274,1.3904913487294834e-07,-38719.375,809.9375,2839,14,0.05,44049.17578125,0.049,780184
274,1.4590665387004265e-07,-33445.625,844.8125,3037,15,0.05,41978.89453125,0.049,834252
274,1.490663379399848e-07,-35767.083333312505,837.75,3232,16,0.05,41089.08984375,0.049,887868
274,1.6462333007893903e-07,-27271.25,914.8125,3447,17,0.05,37206.14453125,0.049,946416
274,2.534919758545584e-07,-16040.625,979.125,3676,18,0.05,24162.5,0.049,1009080
274,2.0145114376646234e-07,-21125.625,929.1875,3894,19,0.05,30404.39453125,0.049,1068548
274,2.864827024495753e-07,-15345.0,972.0625,4122,20,0.05,21380.0,0.049,1130760
274,1.9718268617907597e-07,-20241.875,927.0625,4337,21,0.05,31062.5625,0.049,1190092
274,49000.0,-10000.0,1000.0,4572,22,0.05,0.0,0.049,1254092
274,2.5843880280262965e-07,-15925.0,967.5625,4798,23,0.05,23700.0,0.049,1316016
274,2.6080476800416363e-07,-15871.25,962.1875,5024,24,0.05,23485.0,0.049,1377596
274,49000.0,-10000.0,1000.0,5258,25,0.05,0.0,0.049,1441596
274,49000.0,-10000.0,1000.0,5493,26,0.05,0.0,0.049,1505596
273,2.4526980269001797e-07,-16243.125,999.375,5728,27,0.05,24972.498046875,0.049,1569556
273,2.7173913963451923e-07,-15635.0,938.5625,5948,28,0.05,22540.0,0.049,1629624
273,49000.0,-10000.0,1000.0,6182,29,0.05,0.0,0.049,1693624
273,1.9896850744771655e-07,-21263.75,939.875,6402,30,0.05,30783.763671875,0.049,1753776
273,49000.0,-10000.0,1000.0,6636,31,0.05,0.0,0.049,1817776
273,49000.0,-10000.0,1000.0,6870,32,0.05,0.0,0.049,1881776
273,49000.0,-10000.0,1000.0,7104,33,0.05,0.0,0.049,1945776
273,49000.0,-10000.0,1000.0,7338,34,0.05,0.0,0.049,2009776
