time/episodes,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/fps,train/learning_rate,train/ent_coef,time/total_timesteps,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
4,336363.9375,0.0,8.75,5,-18.136592864990234,-4728.45054925,251,0.001,0.9990005493164062,144,0,,
8,56078.109375,-0.2558485269546509,39.0,111,37.037811279296875,-7967.192693000001,309,0.001,0.9643274545669556,992,3,,
12,98714.171875,0.2924359440803528,54.583333333333336,173,-114.92756652832031,-10477.763274416668,305,0.001,0.953167736530304,1488,4,,
16,77356.3828125,0.01904822513461113,78.5,355,-366.2386474609375,-14338.575355750001,308,0.001,0.9977543950080872,2944,9,,
20,47380.76171875,-0.20773187279701233,120.15,501,-55.738040924072266,-17075.74020775,310,0.001,1.0414446592330933,4112,13,,
24,64102.4765625,-0.17883998155593872,144.79166666666666,662,-42.09503936767578,-18899.517906375,311,0.001,1.074644684791565,5400,17,,
28,143087.40625,-0.2604578137397766,157.17857142857142,845,71.52186584472656,-19171.772666071432,312,0.001,1.1057018041610718,6864,21,,
32,81835.21875,-0.32296276092529297,161.65625,957,111.12059783935547,-18200.7880129375,312,0.001,1.1267937421798706,7760,24,,
36,27998.990234375,-0.34268099069595337,210.72222222222223,1017,109.02050018310547,-20959.850106666665,312,0.001,1.138663411140442,8240,26,,
40,100149.515625,-0.508898138999939,199.525,1217,115.38945007324219,-19349.69537415,311,0.001,1.1852458715438843,9840,31,,
42,161193.796875,-0.47872817516326904,206.3095238095238,1237,225.53350830078125,-19696.789084000004,311,0.001,1.1903196573257446,10000,32,,
,,,,,,,,,,10000,,131.8,-3123.0481185999997
44,132550.40625,-0.5648757219314575,203.1590909090909,1263,230.80108642578125,-19125.22775959091,299,0.001,1.1962834596633911,10208,34,,
48,27791.6640625,-0.7790161371231079,196.1875,1355,248.72389221191406,-18383.471589875004,298,0.001,1.2207268476486206,10944,36,,
52,75544.90625,-0.8086599111557007,199.82692307692307,1430,266.3506774902344,-18036.074079230773,298,0.001,1.241544485092163,11544,38,,
56,25301.61328125,-1.1721125841140747,194.94642857142858,1521,174.09222412109375,-16953.117575428572,299,0.001,1.272996425628662,12272,40,,
60,148316.03125,-0.9598681926727295,203.81666666666666,1684,248.6644744873047,-16788.17725281667,302,0.001,1.3330752849578857,13576,44,,
64,128497.1796875,-0.8118548393249512,207.109375,1714,264.1294860839844,-15648.555705125002,302,0.001,1.343415379524231,13816,45,,
68,196157.78125,-1.2749823331832886,198.33823529411765,1767,225.2068328857422,-15067.739130926473,302,0.001,1.3606549501419067,14240,47,,
72,118984.515625,-1.294296383857727,200.77777777777777,1905,266.2877197265625,-14608.21657575,304,0.001,1.4099677801132202,15344,50,,
76,49806.9296875,-1.343526840209961,198.47368421052633,1966,254.22216796875,-14282.047833328947,305,0.001,1.432309627532959,15832,51,,
80,105695.171875,-0.6787495613098145,193.7,2045,260.3971252441406,-13821.544500950002,305,0.001,1.4631191492080688,16464,53,,
84,46301.8671875,-0.5825544595718384,189.46428571428572,2122,296.8487548828125,-13467.87892379762,306,0.001,1.4815444946289062,17080,55,,
