time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1565,756.3125,30,1.8950976898857164e-10,0,0.02,0.05,-22438705.249438375,48404,13191932.0
1511,816.25,66,2.1153710727528363e-10,1,0.02,0.05,-24156994.588385373,100644,11818257.0
1545,755.75,96,1.8889838304669837e-10,2,0.02,0.05,-22401107.71162494,149012,13234628.0
1572,876.3125,130,2.4722907054908205e-10,3,0.02,0.05,-26051900.746474937,205096,10112079.0
1594,691.25,156,1.761180645765137e-10,4,0.02,0.05,-20540589.349191062,249336,14195023.0
1599,631.1875,181,1.6882821529673464e-10,5,0.02,0.05,-18679777.640164874,289732,14807950.0
1601,690.8125,208,1.761494977658984e-10,6,0.02,0.05,-20512296.121383626,333944,14192490.0
1611,753.1875,237,1.8761683873158574e-10,7,0.02,0.05,-22461387.802130878,382148,13325030.0
1621,815.375,267,2.0932557076580594e-10,8,0.02,0.05,-24256006.183697127,434332,11943118.0
1628,506.75,286,1.6325450713505774e-10,9,0.02,0.05,-14994044.590853248,466764,15313512.0
1631,506.6875,306,1.629056334273571e-10,10,0.02,0.05,-15034752.6171965,499192,15346308.0
1640,876.1875,338,2.4640611773207866e-10,11,0.02,0.05,-26085270.198408753,555268,10145852.0
1646,505.3125,356,1.6250847889587305e-10,12,0.02,0.05,-15030688.78553325,587608,15383813.0
1656,753.125,383,1.8832725656725557e-10,13,0.02,0.05,-22430743.665770687,635808,13274765.0
1663,813.9375,413,2.0854423743443817e-10,14,0.02,0.05,-24258203.61418675,687900,11987864.0
1670,628.625,435,1.6802217950306897e-10,15,0.02,0.05,-18713930.68280969,728132,14878987.0
1673,442.3125,451,1.6377499356678982e-10,16,0.02,0.05,-13153112.790923938,756440,15264845.0
1678,505.0,469,1.6304431416092058e-10,17,0.02,0.05,-14975888.926715313,788760,15333255.0
1682,752.875,497,1.8790666245216414e-10,18,0.02,0.05,-22433485.243659437,836944,13304477.0
1685,753.3125,525,1.8781320942906632e-10,19,0.02,0.05,-22508125.939763628,885156,13311098.0
1687,628.375,548,1.683807954178107e-10,20,0.02,0.05,-18668298.928344127,925372,14847299.0
1689,567.0,569,1.6487011755828007e-10,21,0.02,0.05,-16807326.614177812,961660,15163450.0
1691,814.75,599,2.083851563527972e-10,22,0.02,0.05,-24353872.38107775,1013804,11997015.0
