train/entropy_loss,rollout/ep_len_mean,train/policy_loss,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/std,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/explained_variance,train/n_updates
-12.775915145874023,57.03030303030303,-148221.5,100,369,2000,5,1.0007132291793823,256220112.0,0.0007,-535767.131964394,0.0,99
-12.7901611328125,65.30357142857143,-171522.734375,200,373,4000,10,1.002348780632019,550132160.0,0.0007,-482708.1544120714,-1.1920928955078125e-07,199
-12.834100723266602,76.33333333333333,-132931.171875,300,370,6000,16,1.00754714012146,177457136.0,0.0007,-456885.04637345334,1.7881393432617188e-07,299
-12.828210830688477,80.36458333333333,-115640.625,400,379,8000,21,1.0066038370132446,214122224.0,0.0007,-433860.1608416354,-1.1920928955078125e-07,399
-12.803479194641113,86.46,-165262.703125,500,387,10000,25,1.0038506984710693,334619712.0,0.0007,-383949.38689575,-1.1920928955078125e-07,499
-12.817950248718262,91.11,-87203.3671875,600,397,12000,30,1.0056043863296509,139622496.0,0.0007,-332065.47136214003,0.0,599
-12.821585655212402,91.54,-151756.578125,700,397,14000,35,1.0055439472198486,198907520.0,0.0007,-311810.47293405,0.0,699
-12.818138122558594,95.75,-177521.046875,800,393,16000,40,1.0053772926330566,396811104.0,0.0007,-316379.23450637,-1.1920928955078125e-07,799
-12.840402603149414,95.54,-80032.1484375,900,390,18000,46,1.007965087890625,132824488.0,0.0007,-318524.3397432,5.960464477539063e-08,899
-12.8455810546875,105.72,-202315.046875,1000,391,20000,51,1.0087615251541138,1168765568.0,0.0007,-339676.46492246,-1.1920928955078125e-07,999
-12.844393730163574,95.04,-54517.18359375,1100,397,22000,55,1.0082424879074097,39773152.0,0.0007,-319582.15224943997,0.0,1099
-12.86247730255127,82.93,-63543.19921875,1200,400,24000,59,1.0106232166290283,49924164.0,0.0007,-293918.21396635,5.960464477539063e-08,1199
-12.879968643188477,83.04,-278980.90625,1300,401,26000,64,1.0121941566467285,1968548736.0,0.0007,-276339.71498851,0.0,1299
-12.847132682800293,81.09,-39942.9140625,1400,401,28000,69,1.0088409185409546,41237144.0,0.0007,-263978.38156295,0.0,1399
-12.8563871383667,91.93,-30030.833984375,1500,402,30000,74,1.0101555585861206,23008386.0,0.0007,-275544.88041855,0.0,1499
-12.895733833312988,88.9,-36320.76171875,1600,400,32000,79,1.0146485567092896,48774296.0,0.0007,-257785.21276591998,0.0,1599
-12.925444602966309,78.52,-584962.4375,1700,402,34000,84,1.0179332494735718,3719071488.0,0.0007,-225449.97045059,0.0,1699
-12.937695503234863,61.57,-226121.796875,1800,405,36000,88,1.0198249816894531,1553170688.0,0.0007,-198756.86458157,0.0,1799
-12.982449531555176,67.48,-171171.421875,1900,408,38000,92,1.0248727798461914,1573291392.0,0.0007,-215215.63862091998,0.0,1899
-13.029131889343262,62.78,-213045.875,2000,407,40000,98,1.0298714637756348,1504114304.0,0.0007,-215001.0331669,0.0,1999
-13.001944541931152,68.53,-244167.953125,2100,407,42000,103,1.0266410112380981,1539673856.0,0.0007,-220505.70453509,2.384185791015625e-07,2099
-13.02064037322998,69.15,-108878.265625,2200,406,44000,108,1.0289089679718018,121430288.0,0.0007,-225655.69392324,0.0,2199
-13.000699043273926,68.23,-349937.6875,2300,406,46000,113,1.0268635749816895,2422691072.0,0.0007,-227444.92140870995,0.0,2299
-13.047833442687988,72.8,-114067.1796875,2400,405,48000,118,1.0324671268463135,1004597696.0,0.0007,-237900.68991955998,2.384185791015625e-07,2399
-13.069464683532715,75.77,-182000.875,2500,404,50000,123,1.0348150730133057,557460352.0,0.0007,-250519.59128507,0.0,2499
-13.053277969360352,80.95,-87162.9453125,2600,403,52000,128,1.0328824520111084,92702608.0,0.0007,-256644.43144570003,0.0,2599
-13.071990966796875,78.26,-245063.90625,2700,403,54000,133,1.0348894596099854,1078472320.0,0.0007,-234044.88883186,0.0,2699
-13.065421104431152,73.78,-365954.71875,2800,401,56000,139,1.0346474647521973,2655421184.0,0.0007,-217373.94109103,0.0,2799
-13.078906059265137,61.42,-296416.0625,2900,400,58000,144,1.036109209060669,1750723840.0,0.0007,-178679.59680912,0.0,2899
-13.086615562438965,63.16,-1155.61865234375,3000,399,60000,150,1.0368412733078003,8737.86328125,0.0007,-178009.52895491,5.960464477539063e-08,2999
-13.090838432312012,69.48,-36227.36328125,3100,398,62000,155,1.0375944375991821,29254452.0,0.0007,-182170.08369899995,0.0,3099
-13.094680786132812,63.74,-50705.7265625,3200,399,64000,160,1.0379582643508911,69323256.0,0.0007,-177352.73028361998,0.0,3199
-13.098225593566895,62.39,-41298.8515625,3300,399,66000,165,1.037997841835022,30760212.0,0.0007,-182385.11674298998,-1.1920928955078125e-07,3299
-13.126235008239746,58.44,-35912.234375,3400,399,68000,170,1.0415960550308228,29845646.0,0.0007,-173992.34895682998,0.0,3399
-13.105122566223145,49.69,-305424.25,3500,399,70000,175,1.0388706922531128,2003558400.0,0.0007,-154660.36632285,-1.1920928955078125e-07,3499
-13.104098320007324,50.22,-86690.1953125,3600,400,72000,179,1.0387681722640991,94399576.0,0.0007,-151278.58183453,-1.1920928955078125e-07,3599
-13.125267028808594,49.16,-184154.484375,3700,401,74000,184,1.041591763496399,1466370688.0,0.0007,-161746.93860964,0.0,3699
-13.128344535827637,51.54,-1211.7523193359375,3800,401,76000,189,1.0414434671401978,8558.78125,0.0007,-168139.78714933002,0.0,3799
-13.146469116210938,45.71,-15889.6357421875,3900,401,78000,194,1.0438162088394165,10339086.0,0.0007,-147739.90516515,0.0,3899
-13.179794311523438,51.34,-313048.09375,4000,402,80000,198,1.0479236841201782,2402032896.0,0.0007,-159197.29731793999,5.960464477539063e-08,3999
-13.194269180297852,54.63,2045.5345458984375,4100,403,82000,203,1.0496841669082642,245340.171875,0.0007,-177514.0829495,0.0,4099
-13.215011596679688,60.94,-80200.3125,4200,404,84000,207,1.052156925201416,104425688.0,0.0007,-187274.10706515,5.960464477539063e-08,4199
-13.213702201843262,64.09,-41054.10546875,4300,405,86000,212,1.0520930290222168,52288532.0,0.0007,-181062.96311050997,-1.1920928955078125e-07,4299
-13.215472221374512,66.34,-270182.28125,4400,406,88000,216,1.0524746179580688,1648480128.0,0.0007,-168895.07924376,0.0,4399
-13.2367525100708,70.17,-369632.21875,4500,406,90000,221,1.0542163848876953,2705443584.0,0.0007,-190294.75982431,-1.1920928955078125e-07,4499
-13.229995727539062,66.98,-1219.2332763671875,4600,406,92000,226,1.0532070398330688,8382.5986328125,0.0007,-185017.87186597995,-1.1920928955078125e-07,4599
-13.2930326461792,65.93,-137449.703125,4700,407,94000,230,1.0611250400543213,444571968.0,0.0007,-181134.06437936,-1.1920928955078125e-07,4699
-13.294084548950195,65.86,-174111.921875,4800,407,96000,235,1.061583399772644,1124243712.0,0.0007,-178463.07358051,1.1920928955078125e-07,4799
-13.289955139160156,77.39,-56800.7578125,4900,406,98000,240,1.0607753992080688,60169576.0,0.0007,-186250.94977517004,1.1920928955078125e-07,4899
-13.27704906463623,82.25,-49032.1953125,5000,407,100000,245,1.0596826076507568,499550528.0,0.0007,-200445.83711989998,0.0,4999
-13.319254875183105,84.21,-8981.2060546875,5100,407,102000,250,1.0644861459732056,5236392.5,0.0007,-210818.33579756998,0.0,5099
-13.355673789978027,86.94,-85332.375,5200,407,104000,254,1.0687650442123413,125325736.0,0.0007,-210364.42312151004,1.1920928955078125e-07,5199
-13.352495193481445,81.6,371.4557189941406,5300,408,106000,259,1.0681862831115723,239797.078125,0.0007,-203613.92663493005,0.0,5299
-13.36987018585205,77.84,-293614.46875,5400,408,108000,264,1.0703481435775757,2247373568.0,0.0007,-192216.23771893003,-1.1920928955078125e-07,5399
-13.398154258728027,53.94,-75436.3984375,5500,408,110000,269,1.0736010074615479,95762128.0,0.0007,-166868.72045191002,1.1920928955078125e-07,5499
-13.431735038757324,37.71,-34411.94140625,5600,408,112000,274,1.0783284902572632,50595732.0,0.0007,-146111.46509915998,0.0,5599
-13.447073936462402,45.09,-89191.1875,5700,409,114000,278,1.079905390739441,240177872.0,0.0007,-149018.78178905,0.0,5699
-13.472269058227539,50.38,621.9199829101562,5800,409,116000,283,1.0828903913497925,159079.1875,0.0007,-153532.13758824999,0.0,5799
-13.4939603805542,63.52,-54988.19921875,5900,409,118000,288,1.0853968858718872,69505144.0,0.0007,-162879.67692497,0.0,5899
-13.492090225219727,52.96,-450980.75,6000,409,120000,293,1.0849777460098267,2644041472.0,0.0007,-154122.0265773,5.960464477539063e-08,5999
-13.526907920837402,29.74,-58591.17578125,6100,409,122000,297,1.089152216911316,50751352.0,0.0007,-154622.10393916,-2.384185791015625e-07,6099
-13.555892944335938,38.2,-19215.560546875,6200,410,124000,302,1.0935723781585693,21768544.0,0.0007,-169296.30640427998,-1.1920928955078125e-07,6199
-13.535143852233887,45.23,-229866.40625,6300,410,126000,307,1.091155767440796,1143814016.0,0.0007,-167290.15924459998,0.0,6299
-13.540631294250488,53.62,-182307.328125,6400,410,128000,311,1.091753363609314,295279200.0,0.0007,-178324.02374396,-1.1920928955078125e-07,6399
-13.559531211853027,68.52,-27352.78515625,6500,411,130000,316,1.093650221824646,20193886.0,0.0007,-209721.02432683,-1.1920928955078125e-07,6499
