train/entropy_loss,rollout/ep_len_mean,train/policy_loss,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/std,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/explained_variance,train/n_updates
-13.1015625,52.92,-28872.724609375,2200,416,44000,105,1.0381429195404053,16038893.0,0.0007,-165241.50184888,0.0,2199
-13.106460571289062,52.37,-59976.18359375,2300,417,46000,110,1.038630723953247,511762848.0,0.0007,-170955.89317537996,0.0,2299
-13.158978462219238,42.65,-200955.078125,2400,417,48000,115,1.0447903871536255,1474333056.0,0.0007,-150054.00247437996,-1.1920928955078125e-07,2399
-13.212908744812012,39.85,-64946.96875,2500,417,50000,119,1.0510586500167847,80943976.0,0.0007,-136222.27540463,0.0,2499
-13.209418296813965,42.55,-179571.296875,2600,416,52000,124,1.0513850450515747,1647522688.0,0.0007,-141109.98771097997,1.7881393432617188e-07,2599
-13.23974323272705,43.97,-35397.81640625,2700,417,54000,129,1.0545117855072021,27691194.0,0.0007,-136976.30521479002,0.0,2699
-13.220013618469238,47.16,-30016.443359375,2800,418,56000,133,1.0518726110458374,48007484.0,0.0007,-136452.43564351,-1.1920928955078125e-07,2799
-13.235333442687988,43.56,-72780.6640625,2900,419,58000,138,1.0540411472320557,148321920.0,0.0007,-131848.07655279,-1.1920928955078125e-07,2899
-13.224408149719238,41.27,-33082.52734375,3000,419,60000,143,1.0522370338439941,65227948.0,0.0007,-138965.16727704,0.0,2999
-13.212959289550781,42.9,-227358.859375,3100,419,62000,147,1.050782561302185,635221696.0,0.0007,-157886.13346416,0.0,3099
-13.229476928710938,38.5,-239564.90625,3200,419,64000,152,1.0527161359786987,1490268544.0,0.0007,-156385.17913213003,0.0,3199
-13.244437217712402,41.74,-107017.078125,3300,419,66000,157,1.0546120405197144,111360856.0,0.0007,-151232.10427055001,0.0,3299
-13.240521430969238,49.81,-247548.625,3400,419,68000,161,1.0540308952331543,1516637568.0,0.0007,-155876.20075871,0.0,3399
-13.26343059539795,49.23,-224558.484375,3500,419,70000,166,1.0568472146987915,1396812928.0,0.0007,-152725.42318271002,0.0,3499
-13.320361137390137,42.73,-35067.046875,3600,419,72000,171,1.063577651977539,37906396.0,0.0007,-141066.62233330996,0.0,3599
-13.333983421325684,41.56,-45414.29296875,3700,419,74000,176,1.0647399425506592,32587588.0,0.0007,-142026.99347954,0.0,3699
-13.378646850585938,44.66,-27657.712890625,3800,419,76000,181,1.0701358318328857,781209984.0,0.0007,-141901.95219455,0.0,3799
-13.41271686553955,47.87,-45935.77734375,3900,419,78000,186,1.074577808380127,41159176.0,0.0007,-148953.67304418,0.0,3899
-13.427390098571777,42.44,-42363.37890625,4000,419,80000,190,1.0761277675628662,36158100.0,0.0007,-147652.0616941,5.960464477539063e-08,3999
-13.455588340759277,36.11,5584.98681640625,4100,419,82000,195,1.0796066522598267,5389403.5,0.0007,-129381.34878762999,0.0,4099
-13.459933280944824,37.65,-205442.296875,4200,419,84000,200,1.0801560878753662,1598707968.0,0.0007,-127356.30212056,0.0,4199
-13.453387260437012,45.13,24882.248046875,4300,419,86000,205,1.0794819593429565,8799679.0,0.0007,-143679.61593742,0.0,4299
-13.463586807250977,48.03,-254541.859375,4400,419,88000,209,1.080920696258545,1986009344.0,0.0007,-144282.73123871,0.0,4399
-13.463081359863281,40.59,-134004.078125,4500,418,90000,214,1.0805484056472778,1006804288.0,0.0007,-123332.03573216,2.980232238769531e-07,4499
-13.483227729797363,32.09,-71204.421875,4600,419,92000,219,1.0836219787597656,116449240.0,0.0007,-119453.91716521002,0.0,4599
-13.499676704406738,30.8,-59046.54296875,4700,418,94000,224,1.0851796865463257,100874744.0,0.0007,-125228.07353694997,0.0,4699
-13.515625,25.6,-176812.125,4800,418,96000,229,1.0873677730560303,1467144576.0,0.0007,-125018.56791650999,0.0,4799
-13.540771484375,31.93,-81357.46875,4900,418,98000,233,1.0898053646087646,63369308.0,0.0007,-139736.95052479,0.0,4899
-13.544821739196777,39.28,-64799.86328125,5000,418,100000,238,1.090212345123291,65590556.0,0.0007,-147688.33128821,1.7881393432617188e-07,4999
-13.585583686828613,40.22,-90883.4296875,5100,418,102000,243,1.0957444906234741,106530920.0,0.0007,-144464.53714546,1.7881393432617188e-07,5099
-13.561785697937012,44.02,-292847.46875,5200,418,104000,248,1.0925284624099731,1970760576.0,0.0007,-153893.85296558,0.0,5199
-13.55652141571045,44.66,-285130.6875,5300,418,106000,253,1.0917307138442993,1980548736.0,0.0007,-155313.28293497002,0.0,5299
-13.601040840148926,33.64,4767.67578125,5400,418,108000,257,1.097185492515564,752214.0,0.0007,-119552.86212812999,0.0,5399
-13.595314025878906,34.23,-149362.703125,5500,418,110000,262,1.0967472791671753,603501696.0,0.0007,-118784.24340427,0.0,5499
-13.578699111938477,40.24,-85722.890625,5600,418,112000,267,1.0944173336029053,54672028.0,0.0007,-124838.73848447,0.0,5599
-13.578317642211914,43.85,-77768.3359375,5700,418,114000,272,1.0943695306777954,55463680.0,0.0007,-128208.03674245,0.0,5699
-13.599510192871094,52.81,-35651.37890625,5800,418,116000,277,1.0968354940414429,52325592.0,0.0007,-150444.11292415002,0.0,5799
-13.561958312988281,50.22,-122119.1484375,5900,418,118000,282,1.0921646356582642,244038560.0,0.0007,-150863.69999604998,0.0,5899
-13.546027183532715,43.86,-307672.0,6000,418,120000,286,1.0900417566299438,1974790144.0,0.0007,-134544.47991116002,0.0,5999
-13.541277885437012,30.68,-277131.09375,6100,418,122000,291,1.0896934270858765,1568115328.0,0.0007,-113965.05658758999,0.0,6099
-13.539546012878418,35.05,-480224.59375,6200,418,124000,296,1.089253544807434,3367894272.0,0.0007,-120238.07420126001,0.0,6199
-13.53770637512207,39.8,-36346.1640625,6300,417,126000,301,1.0894546508789062,34782816.0,0.0007,-123362.61363218998,0.0,6299
-13.557879447937012,40.58,-5272.58154296875,6400,417,128000,306,1.091606855392456,12939320.0,0.0007,-125987.80409403001,-1.1920928955078125e-07,6399
-13.565546035766602,40.83,-17978.880859375,6500,417,130000,311,1.0925225019454956,32133722.0,0.0007,-125743.41303273998,0.0,6499
-13.598254203796387,46.09,3836.859130859375,6600,417,132000,316,1.0963082313537598,883011.1875,0.0007,-128287.08916481,0.0,6599
-13.616681098937988,52.39,1813.7421875,6700,417,134000,320,1.09864342212677,232144.796875,0.0007,-136165.29438533998,0.0,6699
-13.654070854187012,46.73,-324153.71875,6800,417,136000,325,1.1037979125976562,2240731392.0,0.0007,-137607.93018805,-1.1920928955078125e-07,6799
-13.697046279907227,25.33,-76774.21875,6900,417,138000,330,1.1093430519104004,522582528.0,0.0007,-123935.27935939001,-1.1920928955078125e-07,6899
-13.767755508422852,28.93,-235477.109375,7000,417,140000,335,1.117301344871521,1466643968.0,0.0007,-116261.00340058003,-1.1920928955078125e-07,6999
-13.797070503234863,30.07,-163118.4375,7100,417,142000,339,1.1219929456710815,1016646336.0,0.0007,-115113.88900595,2.384185791015625e-07,7099
-13.8234224319458,28.74,-22382.482421875,7200,417,144000,344,1.124962329864502,26399112.0,0.0007,-107041.74797386998,5.960464477539063e-08,7199
-13.848906517028809,31.52,-27227.45703125,7300,417,146000,349,1.1281683444976807,17035462.0,0.0007,-108156.15716553002,0.0,7299
-13.875164985656738,37.83,-82548.953125,7400,417,148000,354,1.131063461303711,506971040.0,0.0007,-114124.46779307003,0.0,7399
-13.850308418273926,37.28,-105087.4609375,7500,417,150000,359,1.1286580562591553,182848944.0,0.0007,-118101.93325838998,0.0,7499
-13.862390518188477,41.95,-179596.328125,7600,417,152000,363,1.1301040649414062,1466114048.0,0.0007,-127092.01381231999,1.7881393432617188e-07,7599
-13.880011558532715,43.92,-257890.65625,7700,418,154000,368,1.1321579217910767,1935903360.0,0.0007,-136215.25925044,-1.1920928955078125e-07,7699
-13.899786949157715,46.15,-242998.28125,7800,418,156000,373,1.1349130868911743,1645058432.0,0.0007,-154253.35005014998,1.1920928955078125e-07,7799
-13.91955280303955,55.2,-92186.515625,7900,418,158000,377,1.1374372243881226,223331440.0,0.0007,-179549.74336659999,0.0,7899
-13.92273235321045,64.63,-211821.953125,8000,418,160000,382,1.1377843618392944,1482354304.0,0.0007,-191214.19715373003,0.0,7999
-13.959205627441406,71.29,-179903.34375,8100,418,162000,387,1.1427979469299316,1464195328.0,0.0007,-190239.79678352,0.0,8099
-13.970623970031738,23.35,-329827.78125,8200,418,164000,391,1.1441764831542969,2440110592.0,0.0007,-102465.93632191002,-1.1920928955078125e-07,8199
-13.972750663757324,30.45,-28548.84375,8300,418,166000,396,1.145174264907837,27216484.0,0.0007,-107929.41275481001,0.0,8299
-13.989535331726074,40.17,-367257.46875,8400,418,168000,401,1.1468998193740845,2412390912.0,0.0007,-126176.39724906,0.0,8399
-14.010653495788574,48.58,-325930.6875,8500,418,170000,405,1.1496961116790771,2402512384.0,0.0007,-140423.95374124,0.0,8499
-14.018038749694824,42.94,-11374.140625,8600,418,172000,410,1.150424599647522,27020430.0,0.0007,-126846.80446058999,5.960464477539063e-08,8599
-13.99106502532959,40.15,-55966.57421875,8700,419,174000,415,1.1470662355422974,37485088.0,0.0007,-119713.94870764,-1.1920928955078125e-07,8699
-13.992632865905762,39.46,9703.5283203125,8800,419,176000,419,1.1470545530319214,1527127.5,0.0007,-125259.37675545999,0.0,8799
-14.006731986999512,39.47,804.3734741210938,8900,418,178000,425,1.1493198871612549,5847157.5,0.0007,-120731.21159603998,2.384185791015625e-07,8899
-14.004617691040039,44.89,-18258.572265625,9000,418,180000,429,1.148645043373108,39473416.0,0.0007,-118709.84581661999,0.0,8999
-13.9857177734375,53.75,-244375.859375,9100,419,182000,434,1.1459814310073853,1506774656.0,0.0007,-126775.04823919,0.0,9099
-13.987006187438965,66.83,-81559.9140625,9200,419,184000,439,1.1465340852737427,106085040.0,0.0007,-145093.78692544,0.0,9199
-14.068285942077637,72.9,-313564.46875,9300,418,186000,444,1.15684175491333,1945706880.0,0.0007,-162317.48259618,-1.1920928955078125e-07,9299
-14.109265327453613,77.28,-278035.25,9400,418,188000,448,1.1625347137451172,1951847808.0,0.0007,-163819.84887455,0.0,9399
-14.095797538757324,51.81,-19792.708984375,9500,418,190000,453,1.1606930494308472,29242462.0,0.0007,-139902.15935647,0.0,9499
-14.116744995117188,36.79,-59579.09375,9600,418,192000,458,1.163572907447815,67072680.0,0.0007,-141767.75022585999,0.0,9599
-14.177825927734375,32.19,-355910.09375,9700,418,194000,463,1.1710420846939087,2333723904.0,0.0007,-135278.4024329,0.0,9699
-14.189376831054688,31.42,-62050.5625,9800,419,196000,467,1.17333984375,132507752.0,0.0007,-123415.01867780002,-1.1920928955078125e-07,9799
-14.190131187438965,37.3,-427600.5,9900,419,198000,472,1.1733633279800415,2719730432.0,0.0007,-132373.86529641002,5.960464477539063e-08,9899
-14.1930570602417,43.56,21841.8828125,10000,419,200000,476,1.1736854314804077,6795396.0,0.0007,-155746.61452575,0.0,9999
-14.215807914733887,33.96,-126306.953125,10100,419,202000,481,1.1760501861572266,991225664.0,0.0007,-129569.04271578001,0.0,10099
-14.233421325683594,30.75,-45700.54296875,10200,419,204000,486,1.1791329383850098,54386344.0,0.0007,-111068.73755402998,1.1920928955078125e-07,10199
-14.274530410766602,33.91,-100210.1328125,10300,419,206000,491,1.184217095375061,281045248.0,0.0007,-109240.47319967,0.0,10299
-14.276385307312012,34.29,-442903.71875,10400,419,208000,495,1.1841200590133667,2721278720.0,0.0007,-109950.80042351,-1.1920928955078125e-07,10399
-14.29272747039795,37.85,-487278.59375,10500,419,210000,500,1.186432957649231,3255136000.0,0.0007,-116879.72673408,-2.384185791015625e-07,10499
-14.302273750305176,46.55,-40605.1015625,10600,419,212000,505,1.1878827810287476,55987648.0,0.0007,-130130.13349595,5.960464477539063e-08,10599
-14.327010154724121,47.02,-30672.259765625,10700,419,214000,509,1.1915860176086426,30746420.0,0.0007,-131188.8511202,1.7881393432617188e-07,10699
-14.376315116882324,38.26,-218088.484375,10800,419,216000,514,1.1977890729904175,1571554688.0,0.0007,-120436.56667905001,0.0,10799
-14.412396430969238,35.82,-81356.2109375,10900,419,218000,519,1.2025227546691895,93150160.0,0.0007,-123817.74991409,5.960464477539063e-08,10899
-14.424145698547363,40.19,-36996.921875,11000,419,220000,523,1.2040703296661377,25348806.0,0.0007,-141179.06700537997,2.384185791015625e-07,10999
-14.423379898071289,52.67,-9226.962890625,11100,420,222000,528,1.2038675546646118,11170543.0,0.0007,-159563.68080750998,0.0,11099
-14.427070617675781,40.62,-634423.0,11200,420,224000,532,1.2045809030532837,4627657728.0,0.0007,-131441.20323046998,0.0,11199
-14.46141242980957,27.55,-361851.71875,11300,420,226000,537,1.209083080291748,2409482240.0,0.0007,-103183.76069663,1.1920928955078125e-07,11299
-14.477862358093262,28.4,-78778.8828125,11400,420,228000,542,1.211236596107483,107950232.0,0.0007,-104343.75034423,-1.1920928955078125e-07,11399
-14.543423652648926,33.2,-174310.0,11500,420,230000,547,1.219508409500122,1008422528.0,0.0007,-113091.46522274999,1.1920928955078125e-07,11499
-14.545862197875977,34.37,-156092.296875,11600,420,232000,552,1.219658613204956,1003197056.0,0.0007,-119549.70953023,0.0,11599
-14.563240051269531,37.71,-11010.333984375,11700,420,234000,556,1.222176432609558,20823270.0,0.0007,-120757.08001078998,1.1920928955078125e-07,11699
