time/episodes,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,train/ent_coef
4,117,589.1699829101562,572,3,-98561.25,108.25,86.63435363769531,0.0003,-0.5827791690826416,188,1.0256019830703735
8,179,413.97369384765625,820,4,-97121.5625,92.0,95.55906677246094,0.0003,-0.8595768213272095,180,1.041449785232544
12,305,609.05859375,1324,7,-97441.875,84.08333333333333,118.58589935302734,0.0003,-1.681624174118042,167,1.0768437385559082
16,381,648.214599609375,1628,10,-96471.5625,91.875,130.593994140625,0.0003,-2.0301363468170166,159,1.099509835243225
20,513,609.5885009765625,2156,14,-95853.76190474999,93.85,143.22874450683594,0.0003,-2.216402053833008,153,1.1331734657287598
24,569,258.5185852050781,2380,15,-96312.509920625,97.125,153.3783416748047,0.0003,-2.289480686187744,154,1.1480581760406494
28,646,1019.2435913085938,2688,17,-96910.36564625,90.5,166.07797241210938,0.0003,-2.656020164489746,154,1.1692858934402466
32,801,24.992883682250977,3308,21,-96824.38244046875,97.5,181.70755004882812,0.0003,-2.231494426727295,156,1.2114577293395996
36,844,414.8579406738281,3480,22,-97227.22883597222,91.77777777777777,187.016357421875,0.0003,-2.2557826042175293,155,1.2208739519119263
40,953,395.7002868652344,3916,25,-97335.755952375,92.0,207.87258911132812,0.0003,-2.5406501293182373,155,1.2460500001907349
44,1072,395.4694519042969,4392,28,-97686.82359306818,94.61363636363636,214.2197723388672,0.0003,-1.8394043445587158,155,1.274672508239746
48,1123,395.6138610839844,4596,29,-97738.12996031251,93.9375,220.14959716796875,0.0003,-1.5103617906570435,155,1.2824970483779907
52,1265,999.4989624023438,5164,33,-97784.42765567309,93.82692307692308,237.73101806640625,0.0003,-1.6922521591186523,156,1.304160237312317
56,1390,629.6144409179688,5664,36,-97836.43282312501,94.64285714285714,255.96978759765625,0.0003,-1.7966105937957764,156,1.3249132633209229
60,1458,590.6452026367188,5936,37,-97902.29563491668,97.41666666666667,265.32086181640625,0.0003,-1.615605354309082,156,1.336890697479248
