time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,rollout/ep_len_mean
572,-0.12518064677715302,0.9652463793754578,-473358.1225815,4,0.001,71268512.0,163,117,3,-131.70758056640625,78.5
772,0.04338928312063217,0.9588456749916077,-342869.38119174994,8,0.001,143476896.0,156,167,4,-370.0246276855469,49.125
840,0.04162667319178581,0.9584006667137146,-352083.1928224166,12,0.001,238531200.0,155,184,5,-484.26226806640625,46.5
892,0.12637674808502197,0.9585179686546326,-315894.357784625,16,0.001,242341440.0,152,197,5,-564.9830322265625,40.5625
964,0.15749850869178772,0.9594542980194092,-279005.24670759996,20,0.001,135879536.0,147,215,6,-738.4569091796875,34.85
1576,0.08328121900558472,0.9925829768180847,-402346.31333829166,24,0.001,237068736.0,145,368,10,-800.7796020507812,51.291666666666664
1796,-0.18371039628982544,1.0150651931762695,-594472.5651619287,28,0.001,159345200.0,142,423,12,-696.1453857421875,59.607142857142854
1900,-0.3500005900859833,1.0281749963760376,-539930.1402510938,32,0.001,305959936.0,141,449,13,-372.93023681640625,54.3125
2052,-0.5547884106636047,1.047348976135254,-498122.68922947225,36,0.001,334324896.0,140,487,14,-457.2249755859375,51.77777777777778
2108,-0.5783629417419434,1.0530060529708862,-469668.59329304995,40,0.001,313327744.0,140,501,15,-459.3307800292969,50.825
2156,-0.6827921867370605,1.058524250984192,-435915.17860899994,44,0.001,259524192.0,140,513,15,-515.611328125,48.38636363636363
2184,-0.7201836109161377,1.062646746635437,-408454.70267281245,48,0.001,133021304.0,139,520,15,-490.2143249511719,45.229166666666664
2224,-0.6813539266586304,1.066749930381775,-384886.14400226914,52,0.001,226299040.0,139,530,15,-591.5548095703125,42.25
2276,-0.8200398683547974,1.072175145149231,-361426.3178030526,56,0.001,177746048.0,138,543,16,-737.1761474609375,39.35087719298246
2324,-0.8672747611999512,1.0776233673095703,-352988.8416337333,60,0.001,254925696.0,137,555,16,-508.27716064453125,38.43333333333333
2448,-1.0309938192367554,1.0926740169525146,-339622.72175321874,64,0.001,339743232.0,136,586,17,-369.0316162109375,37.203125
2528,-1.2405675649642944,1.1009063720703125,-326956.0625066029,68,0.001,326102848.0,135,606,18,-470.92852783203125,35.970588235294116
2796,-1.7769362926483154,1.1337902545928955,-330975.56158615276,72,0.001,319990144.0,127,673,22,-22.907058715820312,36.708333333333336
3616,-4.003801345825195,1.24832284450531,-353822.7556999079,76,0.001,228113376.0,123,878,29,237.5123748779297,39.723684210526315
3992,-4.853248119354248,1.3047934770584106,-415157.3443659125,80,0.001,112845008.0,123,972,32,639.6243896484375,44.7375
4196,-5.1071906089782715,1.3351542949676514,-469831.6967254762,84,0.001,176110464.0,123,1023,34,522.1367797851562,49.095238095238095
4472,-5.810651779174805,1.376470685005188,-459333.9644645341,88,0.001,164846656.0,122,1092,36,753.29833984375,48.97727272727273
4744,-6.841923236846924,1.4198822975158691,-444919.5469885543,92,0.001,141722560.0,121,1160,39,933.26416015625,47.58695652173913
5256,-8.448019981384277,1.5072674751281738,-450996.13968458335,96,0.001,255155680.0,121,1288,43,1172.21533203125,48.875
5572,-9.171712875366211,1.5612953901290894,-519634.26319306,100,0.001,186992720.0,120,1367,46,2015.871337890625,51.59
