train/policy_loss,time/iterations,time/total_timesteps,train/entropy_loss,train/value_loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/std
-154.50827026367188,100,8000,-8.577407836914062,377.17547607421875,28,-91879.8173319322,281,0.00244,1.1920928955078125e-07,117.30508474576271,99,1.011709213256836
16747.736328125,200,16000,-8.535815238952637,13094319.0,57,-92366.11750523471,279,0.00244,0.0,160.30612244897958,199,1.0054059028625488
32.56776809692383,300,24000,-8.429774284362793,136.4905242919922,84,-90518.64495311,283,0.00244,0.00011014938354492188,198.18,299,0.9860062003135681
21491.19921875,400,32000,-8.454863548278809,17893684.0,114,-94017.41845238,279,0.00244,0.0,106.31,399,0.991107165813446
-220.48355102539062,500,40000,-8.464969635009766,775.5746459960938,142,-89963.81742063,280,0.00244,9.47713851928711e-06,142.72,499,0.9920002818107605
-136.57760620117188,600,48000,-8.441545486450195,308.9156188964844,173,-83774.84551586998,276,0.00244,0.00031572580337524414,209.38,599,0.9886332750320435
-61.40900421142578,700,56000,-8.481719017028809,61.82461166381836,204,-77228.15849206,273,0.00244,1.4901161193847656e-06,283.4,699,0.9957159757614136
-0.000573071010876447,800,64000,-8.939312934875488,5.090260213336251e-09,235,-70087.47099206,271,0.00244,0.12409120798110962,359.05,799,1.0778623819351196
-0.0001170574250863865,900,72000,-10.060078620910645,5.944457703854766e-10,266,-63286.00432539,270,0.00244,0.02028679847717285,431.51,899,1.2983200550079346
-0.1947811096906662,1000,80000,-11.608332633972168,0.0003166315727867186,297,-56122.516825390005,269,0.00244,1.3709068298339844e-06,504.95,999,1.6802380084991455
13753.705078125,1100,88000,-12.689518928527832,7063205.0,328,-48831.35432539,268,0.00244,0.0,587.22,1099,2.003086566925049
-6.409536838531494,1200,96000,-12.55874252319336,0.3217413127422333,356,-44278.539325390004,269,0.00244,7.492303848266602e-05,654.06,1199,1.965754508972168
0.0005623687175102532,1300,104000,-13.285346984863281,3.0144293727829563e-09,387,-37379.192301580006,268,0.00244,-1.134504795074463,726.07,1299,2.2236721515655518
-45183.85546875,1400,112000,-13.967398643493652,313936864.0,416,-30956.553134919996,268,0.00244,-3.314018249511719e-05,804.14,1399,2.489208936691284
